comment,like
你看这个塑料子弹又贵且没法二次利用，我有一个想法，我们为什么不用更稳定的金属做弹壳呢，比如说铜,3775
我不认同，我认为最牛逼的子弹是拿夜明锭做的夜明弹，可以无限穿透,1256
再特别也打不进我的心[害羞],1189
这种子弹的设计初衷一是减重，让战士可以在同等重量下携带更多的子弹。二是防止战时铜料被其他国家卡脖子而无法生产子弹的情况出现！跟经济环保根本就没一毛钱关系。,946
这个一颗.308折合人民币27元，国内靶场.22一颗20元，不知道的还以为打的是什么高精度竞技子弹呢[吃瓜],789
塑料子弹壳的弊端，主要还是对于枪管散热的问题。不像金属子弹抛掉之后会带走一部分枪管的热量，塑料子弹给枪管的散热是很少的，长时间的发射的话会导致枪管过热，某种意义上，这是塑料子弹没有普及的一个关键原因之一，这是塑料，这种材料本身的缺陷,722
"不要小看工程塑料，在体积相当的同时，能够做到相当高的强度，而且更轻，相对于现有的材料，可以携带的弹药量更多。
看发展了，全替代也不是没可能，生产工艺可以简化至两步：注塑、去边。
铜或铁弹头工艺为：裁料（圆饼料）、连续拉伸（拉伸弹壳，底部冲压冷塑形）、裁边（弹丸口修边）、钻孔（底火口，也可冲针冲孔）、旋压（步枪弹斜边为旋压加工或模具冲压塑形）。",624
"塑料不环保呀，要不试试做出可食用的，就像包子雷一样。
[doge][doge]",556
防万磁王的[doge],552
"厉害，枪枪命中
多亏了……
[doge]",412
"NGSW计划的产物。
我原文找不到了，根据之前我看到过的参数，这个6.8mm全威力弹在那个XM-几步枪上使用时，其膛压峰值已经比M68坦克炮版本的M1基础型膛压都高（105炮的M1）；
美国人为什么会要求步兵班的交战距离提高到600~1000米这一点，可能是治安战打疯了吧。
但是，其实就NGSW计划来说，我倒是觉得这个计划的重点还是那几个已经小体积化的、具备弹道修正功能的瞄准镜。
毕竟NGSW计划的枪弹设计研发投入仅2040还是2070万美刀，而在配套瞄具方面的设计研发投入高达27亿美刀，当然不排除美国优良的军火商坑钱传统，隔壁朱姆沃尔特还没死呢。",269
聚合物子弹这种东西我国也是有的，珠海航展有展出。我国对这种子弹也很关注，从国家角度来看，批量型军工产品不仅要看成本，还要看资源。不论是铁还是铜，国外都能卡我们脖子。但是聚合物的原材料玉米是从地里长出来的，而且现在淀粉也能通过二氧化碳制取。在这种情况下，即便聚合物弹壳成本高于金属蛋壳成本的50%，国家也是可以接受的。,219
援铜壳.308 win[doge],141
那也比国内的“射击场”便宜N多啊！！！！！！！[笑哭],131
所以普通308多少钱一个,97
一场战争，就算是特别军事行动，一天的子弹消耗量也是以数十万为单位，那可是巨额利润啊，众所周知，薄利多销才能赚大钱[吃瓜],70
反万磁王子弹是吧？[doge],65
这是猎人荒野的召唤里的那个.308聚合物尖弹吧,60
比金属弹贵是肯定的，但是肯定没有国内打.22贵[滑稽][滑稽][滑稽],56
军方要采购的话，价格是无限接近于成本价的。但成本价多少真不好说,49
一发子弹顶上我一包细支芙蓉王，我的天，要是我们大规模使用这种价格的子弹，我不得改抽中华[笑哭],42
"聚合物子弹，不能重新装。
不应该比黄铜造价要便宜一点吗？它要是能重新装的话，比起黄铜优势明显，但是现在看没啥优势。",33
我有个想法，老李和汤黑联动办一场射击比赛怎么样？手枪步枪狙击都打一打，正好三局，按三局两胜制，先打近的然后距离越来越远，脱靶一次计一分，谁先落后三分本局输[doge],28
用这个子弹吃泡面咋样[doge],25
其实主要是枪准[doge],20
子弹哪里贵了，我们阿妹你看一直用的都是这个价,18
你看这个聚合物的壳还是有点重，抛出来的弹壳不好回收。但是改用金属又有点重。不如我们直接用纸壳吧，打完直接在膛内烧完了，还能减重。底火好像也有点浪费，那不如我们直接用燧石吧，还能重复利用[脱单doge],15
G11现在估计是弄不到了，那个无壳弹是真的科幻,13
这个也不是最特别吧去年湖南兵器集团就参展了聚合物弹壳子弹也是白色 不过口径是12.7的,12
怎么不把🦌干掉,8
打，给我放开了打，让隔壁老外看见以为我们玩不起呢，一人一盒给我打[微笑],6
"不，你没见过国内俱乐部的.22,的价格。368，8发。折合46一发（qiang自己选，中间可以换，续也是368，8发[辣眼睛]）",5
鹿竟然没被声音吓跑吗，还是已经习惯了,4
要是一颗子弹27块钱，按照美军那个造法，多少军费也不够,4
鹿 :兄弟们你敢信？我去人类靶场逛了一圈儿屁事儿没有，我吹一辈子[吃瓜],4
NGSW中通用动力RM277与西格XM5竞争的武器系统所用的子弹技术，塑料壳钢底缘。结构与西格fury弹很类似，不过西格选择更保守的铜壳钢底缘。塑料壳最大的问题是自动射击时必须采用开膛待机（扣动扳机后枪机复进，供弹并发火），采用闭膛待机（上一次自动循环中完成供弹与闭锁，扣扳机直接发火，自动机不运动）连射后膛内温度高，弹壳留膛时间长会造成强度下降与变形，以至于抽壳失败。但是开膛待机会造成扳机延迟与单发精度下降。最终通用动力用一套机械结构实现了半自动状态下闭膛射击，全自动时开膛设计，成为了RM277超重与竞标失败的其中一个原因,4
这种子弹除了 弹壳材料不同以外没有其他区别了吧 火药量比例应该与铜壳和钢壳不一样，子弹射出后的弹壳温度一般在70-85度左右，这主要看各自火药填充量来看的，再就是这种新材料的弹壳能否回收虽然只要弹壳外形没有太多变形也就是直接压一颗弹进去继续使用但子弹稳定性肯定会大打折扣的。,4
老李[doge],3
27块.308抢钱？27块的.22了解一下[doge],3
我觉得咱们国家该出一个强化版的摔炮摔炮知道吗加大一下威力唉[妙啊][doge],3
这子弹……美团外卖上给送吗？,3
不懂就问，射击场为什么不能猎鹿,3
想看这个[doge],3
如果弹头也换成“聚合物”的，是不是可以带上飞机呀。,2
"这个可能会在特殊场景应用，例如狙击。普通士兵应该还是传统的子弹。
现在的几个大国很难被打到劣势，以至于要靠这30％来多带弹药。
至于精度那更是不必要。
实力不强的国家估计也用不上这种弹药。",2
中国在航展出过这种塑料封装子弹！好像是株洲还是哪里产的！绝对比你那个便宜！,2
主要是为了减重，塑料弹体子弹比铁铜的轻30％左右，相当于增加30％的带弹量，尤其对于机枪来说，战斗力提升是实打实的,2
之前看新闻，国内也生产了,2
国内靶场你去试试，贵不死你[阴险],2
一发15的.22怎么说,2
今后安检应该思考了,2
不要小瞧工程塑料，很多塑料的机械性能完全不输金属。而且大规模量产后che根本肯定会比金属便宜因为塑料的材料和加工工艺远比金属的那一系列简单得多。,2
国内一发.22都要20多[doge],2
500刀以下点赞，500刀-1000刀一个币，1000+刀两个币[doge],2
75美元/20发，也就3.75美元/发，赚美元花美元很便宜呀，国内实弹射击馆的手枪子弹要10元1发（100元/10发），同样是普通工工作8小时，美国月薪2...,2
要是中国的企业能把它干到10块钱以内[doge][doge][doge][doge][doge],2
但是塑料可以重塑啊,1
我没记错的话，我小时候家里用的猎枪的子弹就是塑料弹壳的，这个不算新东西吧！,1
万磁王：防我？以为我真像电影里那样弱鸡？人身体里有很多金属，要是没了立刻就噶了。我只要远距离把人身上的金属抽出来，还有什么人能活？,1
优点就是重量和发热量，其他全是缺点[妙啊][妙啊][妙啊],1
[疑惑]国内是不是也有塑料弹壳的子弹生产厂！我印象中记得有视频提过塑料子弹减重可以增加士兵的带弹量,1
我们没有塑料子弹，哩什么蓬说的,1
"聚合物材料其实更适合用来做护甲和枪械，因为它可以用更轻的材料去做出更好的材质和强度，随着耐久的提升，二手三手甚至四手都没有问题，唐线都磨平三个了，枪体还完好无损的那种[doge][doge]。
  如果弄在子弹上的话个人理解是有利也有弊，个人和雇佣兵团类亡命徒来说肯定是好事儿，毕竟可以携带更多的子弹和更多的空间去装一些无人机啊，炸弹啊这些战术设备，让自己的存活率更高。
  至于弊端的话，目前自动开火久了容易出现枪膛内温度问题，而不是枪口温度问题，那种在钢铁厂里极限温度50度和零下20度的极限温度下，合成塑料是没问题的，但问题是里面的火药可能会出问题，在这把这些东西再考虑进去的话，叠加完叠加去，反倒是没有常规的金属子弹好，所以还有待提升。",1
感觉这种子弹最大的作用就是让军火商从政府部门圈更多钱。[吃瓜]什么携带子弹量没啥太大意义。,1
这一发比国内一发点二二要便宜的，我之前看别人打40多元一发,1
你们没看过2023珠海航展的吗？这种聚合物子弹国内早就有了,1
把世界调成静音聆听子弹上膛的声音,1
好事，以后他们去学校能带更多子弹了[doge],1
很好~[tv_微笑],1
话说，老美最后会不会被这个子弹穷死。,1
27一枚复活币[脱单doge],1
能降解不，环不环保啊,1
