comment,like
"如果， 宇宙中有我这么一颗『星』
我会希望， 是你 发现 我
今年最惊喜的圣诞礼物！
周杰伦Jay Chou
Jay式圣诞小品
圣诞星

有它陪你过圣诞，一个人也可以孤单得很浪漫！
本世纪最浪漫的圣诞小品！ 在全球歌迷千呼万唤、引颈期盼下， 天王周杰伦送给歌迷们这首最惊喜的圣诞礼物「圣诞星」。幸福来得出奇不意， 甚至事先连公司都不知道的这首惊喜「圣诞星」， 周杰伦笑说自己写过很多跟节日有关的歌， 像端午节的「疗伤烧肉粽」、母亲节「听妈妈的话」， 关于圣诞节的歌曲还没写过， 以后大家听圣诞节的歌曲，除了玛丽亚凯莉的， 还有这首歌的选择。而这首歌也是继「等你下课」后，与Gary杨瑞代再度合作， Gary在这首歌中献声， 也一同拍摄MV。

这首「圣诞星」MV，在独具风味的欧洲小镇取景， 以及在充满圣诞节装饰、有壁炉的小木屋里拍摄对嘴画面，周杰伦和杨瑞代与乐手们特别以红色、绿色、格纹、毛衣等穿搭出「圣诞风」造型，更将麦克风架以白色圣诞叶装饰， 加上烛光、灯泡灯饰， 将整个演唱空间营造出浪漫的圣诞氛围！

这首以「圣诞节」为主题的小品「圣诞星」， 描绘在欢乐节庆里「剩单」的心情，原本约好一起共度圣诞的对象，却在这天之前分手了， 只好独自一人布置圣诞树， 心情就像圣诞树上的星， 无人共享； 只能写成一首歌， 献给世界上每个被落单的人。

我的爱就像圣诞树顶的星星
装饰完到最后才能够献上真心
等不及的你没有伫留的脚印
依偎怀里的热情已结冰
我的爱就像圣诞树顶的星星
冰天雪地的夜里只为了你证明
你就像头也不回任性的流星
怎么体会极光的美丽

在充满欢乐、跟最爱的人团聚的圣诞节， 整个世界都准备着礼物、布置圣诞树， 街道变成一片片灯光海， 唯美、欢乐的气氛日日彻夜不眠； 卡片、许愿、圣诞袜、礼物， 这些都只是希望， 重要的人此刻能在身边。如果事与愿违，那就代表， 你长大了。",3716
"如果， 宇宙中有我这么一颗『星』
我会希望， 是你 发现 我
今年最惊喜的圣诞礼物！
周杰伦Jay Chou
Jay式圣诞小品
圣诞星

有它陪你过圣诞，一个人也可以孤单得很浪漫！
本世纪最浪漫的圣诞小品！ 在全球歌迷千呼万唤、引颈期盼下， 天王周杰伦送给歌迷们这首最惊喜的圣诞礼物「圣诞星」。幸福来得出奇不意， 甚至事先连公司都不知道的这首惊喜「圣诞星」， 周杰伦笑说自己写过很多跟节日有关的歌， 像端午节的「疗伤烧肉粽」、母亲节「听妈妈的话」， 关于圣诞节的歌曲还没写过， 以后大家听圣诞节的歌曲，除了玛丽亚凯莉的， 还有这首歌的选择。而这首歌也是继「等你下课」后，与Gary杨瑞代再度合作， Gary在这首歌中献声， 也一同拍摄MV。

这首「圣诞星」MV，在独具风味的欧洲小镇取景， 以及在充满圣诞节装饰、有壁炉的小木屋里拍摄对嘴画面，周杰伦和杨瑞代与乐手们特别以红色、绿色、格纹、毛衣等穿搭出「圣诞风」造型，更将麦克风架以白色圣诞叶装饰， 加上烛光、灯泡灯饰， 将整个演唱空间营造出浪漫的圣诞氛围！

这首以「圣诞节」为主题的小品「圣诞星」， 描绘在欢乐节庆里「剩单」的心情，原本约好一起共度圣诞的对象，却在这天之前分手了， 只好独自一人布置圣诞树， 心情就像圣诞树上的星， 无人共享； 只能写成一首歌， 献给世界上每个被落单的人。

我的爱就像圣诞树顶的星星
装饰完到最后才能够献上真心
等不及的你没有伫留的脚印
依偎怀里的热情已结冰
我的爱就像圣诞树顶的星星
冰天雪地的夜里只为了你证明
你就像头也不回任性的流星
怎么体会极光的美丽

在充满欢乐、跟最爱的人团聚的圣诞节， 整个世界都准备着礼物、布置圣诞树， 街道变成一片片灯光海， 唯美、欢乐的气氛日日彻夜不眠； 卡片、许愿、圣诞袜、礼物， 这些都只是希望， 重要的人此刻能在身边。如果事与愿违，那就代表， 你长大了。",3716
周陶王林就你拉了大胯，咱都能理解，嗓子不行了，你就老老实实开演唱会满足老粉丝的情怀，新歌咱能不出就不出，以免狗尾续貂，给路人听了来一句还没我家哥哥的好听，我怎么怼回去都不知道,44
敢不敢再无聊一点，还是万年不变的几个和弦吉他弹分解，不想认真做音乐真别做了,31
勾史,17
副歌拉了，编曲也敷衍…杰伦啊！要不咱们还是啃老本算了吧！[tv_吐血],16
看不出一丁点用心的感觉…,12
在？为什么时间排序？,12
我直说了哥现在真的很像普信男,11
有一说一确实一般，但对于我这种老粉来说，杰伦只要还能继续出歌我就很满足了[笑哭],3
