comment,like
一位医生，能在看了那么多生死之后，还能保持一腔热血，是一种十分十分难得的品质,610
这期视频太有意义了，我一直都觉得中国对于死亡的教育很少，反正我自己是真的不知道怎么面对死亡这件事，没办法坦然面对,196
"沧州市人民医院 ~ 安宁疗护科室 ~ 电话：0317—3523575 （非诚勿扰）

小策的简介，希望大家理性看待，不要过多打扰，感谢大家！",13
有时去治愈，常常去帮助，总是去安慰。,6
今年3月份，在心外科CCU，一个19岁的男孩，6岁的时候因为先心病做了手术，现在病情恶化，心衰，肾衰，因为他是右心衰，人工心脏没有手术指征，等于说是没有治疗价值了。他爸爸是海员，那时候在船上，说还有一周爸爸才能回来，医生我知道我快不行了，能不能让我再看一眼爸爸，我在医院会乖乖的，配合治疗。他爸爸提前两天赶了回来，还有他的同学，从别的城市来和他道别。第二天要准备回家了，我在他床边把他身上的管子，一根一根的拔掉，切口缝合，虽然遇到的死亡病人很多，但是如此年轻的小生命逝去，还是接受不了[大哭][大哭][大哭],6
弟弟最后说他很疼，不想在身上开口子抢救，我们没听。走的时候他全身扎满了管子，嘴角不断有血水渗出，如果…假如…有个地方能让他不那么痛苦，给他尊严地走，如果活着的人对死亡不那么恐惧，保持敬畏之心，我会不会看这个视频就不会哭的这么伤心了,4
沧州人，看见这些画面，听医生说话，我的第一感觉就是真实，语气动作措辞都是我熟悉的老乡会说的话，真的看不下去,4
沧州人，看见这些画面，听医生说话，我的第一感觉就是真实，语气动作措辞都是我熟悉的老乡会说的话，真的看不下去,4
外婆在外公去世后就因为脑梗塞脑子开始不清醒，记忆开始混乱。一开始还不是很严重，还有自主意识，可以自由活动。最近这几年，记忆越来越模糊，开始出现幻觉，以至于在某天晚上起夜的时候把腿给摔断了。从那以后，外婆的身体越来越差，大小便失禁，话也说不清，吃饭也要人喂，洗澡穿衣上床睡觉都要人帮，医院都记不清去了几次了，甚至有一次我差点以为外婆就要挺不过去了。看了这个视频，我忍不住在想，外婆是否有过哪怕一瞬间清醒？如果有过，她是否也和视频里的人一样希望自己能离开这个世界？可惜她现在没有办法告诉我们她的感受，以我家的情况也无法给她提供更好的帮助，我们能做到的只有陪伴。,2
[保卫萝卜_哭哭]这行是很难的，我学医的，之前上课的时候老师说自己曾经是干安宁疗护的，在那里工作很难有像医生的那种成就感，因为你认识的接触的都是命不久矣的人，她说她受不了回来读博，但是她很佩服她曾经那些至今还干着的同事[保卫萝卜_哭哭],1
