comment,like
就喜欢实诚的，之前吃拌面，很饿，就在那里加了四次面，还没饱，但是不好意思再要，就说给老板加钱，那老板就笑我，叫我使劲吃，说给我吃撑他都还有钱赚，看我吃得虎，说明他的面好吃，还给我加了个煎蛋[呲牙],7821
你说利润高我真没有反感，一些商家：真不赚钱，做一份还倒贴。我真的想笑[吃瓜],4349
950/50一碗小20？？？？？？怎么敢买这个贵啊,2814
"感觉up是听推荐去吃的吧，没想到价格这么黑，那么多人进度不点吃的就走又说不过去，但是明码标价在这了。换我我是肯定不会去吃的只能说。还有就是高档酒楼的早茶，咸蛋黄肉粽可能都没她这里卖的贵，这个老板把自己的贪心挂脸上了，看着好像很和蔼亲切的样子，实际上想着怎么多坑你一点。up点那么多玩云吞了，里面的利润多少，大家有自己做菜或者喜欢看家里人做菜的都能看出来，就馄饨成本基本不过百，现在猪肉多少钱一斤大家心里有数。就这么多油水了，人家还是拍视频的博主，会来事的应该是送除了云吞外的小吃，而不是用诱导性的话术，好像是看你点这么多我请你尝尝我们粽子，好在是up问了一嘴，才说只来两个尝尝味道，万一以为老板送的一人一个，这26一个的粽子，哈哈。
本来视频是应该是起正向的宣传的作用，结果评论区一目了然了，老板为了多坑一点，这种蝇头小利，把自己贪财的一幕暴露的淋漓尽致，引起了观众的反感。
没有说爱钱有错，但是作为老板的格局和远见还是要有的？不能只盯着眼前。假设除了云吞之外的小吃是老板送的，那观众大概率会觉得老板热情好客，但是东西有些小贵，有个可以接受的程度在。现在的情况就是一边倒的嫌贵，而且感觉老板。。。。[妙啊]",2317
看菜单，馄饨有两种，小碗15或17，粽子26一个，酸粉小碗15，菜单上有个椰子油炸板12一个，估计就是那个月亮包。不知道长沙物价，反正在我这挺爆炸的[笑哭],1636
这价格真黑啊，，但是明码标价我就不多说了，，反正这种店我看一眼就走  不可能吃的,1435
感觉老板越健谈优惠力度越少，话少的老板折扣挺大的，有一期直接请刚哥吃[笑哭],1322
学员说这不会是黑店吧[笑哭],1030
主打2个字 随性[doge] 我家附近有家羊肉串，我基本2.3天就去吃一次。夏天有半个月没营业，急死我了。回来一问人家三口出发去海南旅游了[吃瓜],904
"不好评，感觉像专宰老实人的店，看上去热情要死实际上收的钱多的该收一样收，像是几十年前酒楼表演节目陪酒的，稀里糊涂一碗就二十。这一碗在我们这最多八到十块
别犟说什么味道好，我看不出哪味道好了，一个街边小店真能做到什么地步大家心里有数，老板娘市侩的很，不强行招呼两声刚哥这一期视频估计一点活没有，尬的要死",759
特别赚钱但没赚到钱[doge],628
感觉不便宜[嘘声],380
刚哥真是瘦面圣心[doge][doge],329
老毕登，不是什么正经买卖人，小时候家里开包子铺，根本没多少利润，利润高是怎么来的？别的不说，不同的店铺用的那肉馅，成本能查两三倍，我们家都是用的最好的肉馅，根本没多少成本，隔壁某毛水饺用的肉全是那种迷之肉馅，还是连锁的水饺店,281
"我家也是干小餐饮的，不过是早餐店。老板娘前面说比开酒店饭店还赚钱，包括她在内好多人是真的这样认为的。这些人属于是真的不动脑子，只考虑利润率，不考虑营业额，一天营业额两千多块钱，即便是65的利润率，一家人也就1600左右的利润，一天就这么多生意，多了你也做不过来。那大酒店，30的利润，但人家一天营业额能上八九万，看起来才3成利润，架不住营业额高啊。
我就发现，生意越大，利润率就越低，像造桥修路动辄千万上亿的，利润率也就几个点啊。当然了，垄断行业除外。不知道各行各业的朋友同意我这个说法不。",247
[吃瓜]950快最少得赚700块钱感觉，就那个陷量和个数一碗成本估计也就3，4块钱。,224
这价格赶上上海了，上海街边小店一碗小馄饨也就差不多这个价,221
感觉老板不太实在，不过做生意，这样倒是正常[doge][doge][doge],218
海南物价很高的，但收入却是很低。18一碗的花确实比海南还高了。不过人家也说了利润高，明码标价，说黑店不至于，大不了不吃直接走人就好了。本海南人在强调一下:来海南无非就是吃喝玩乐，但是不要以为这边的人普遍收入低生活成本就低，来海南旅游还是要做好攻略的，宰客也是有的，消费之前先问好价格，不合适直接走人就行。海南适合自驾游，风景还可以，环境确实也不错，毕竟没有什么工业发展。,187
千里香馄饨？[doge],183
倒醋吗[doge],174
[疑惑]五十四碗扁肉，加两个粽子，八个什么椰子点心，九百五，还是减掉八碗以后的钱，一碗扁肉十几，还不如吃沙县，沙县扁肉虽然难吃点，一碗的钱够吃三碗,152
我做梦都想继承混沌店[doge],128
大家都是看价格觉得黑，我就不一样了，从这老板处事上我就觉得黑！up主已经点了很多份锟饨了，你就送两份小吃又有何妨？更何况是你主动提的，结果一问还要收费，那你不如不提！又或者你提这个的意图是什么？真当大家不知道！无非up主带这么多人来吃他不好拒绝，这和设计陷害他人有什么区别？up主说老板很热情，但在我眼里这就是一种假热情！如果就自己来吃会这么热情吗？如果老板不是把up主当钱包会这么热情吗？显得无比虚伪！,111
几个婆婆都掉钱眼里了，还说命苦哈哈哈,77
阿这，好贵,72
这种小馄饨在苏州一碗最多10元。最好吃的是那种温州的“鲜烫肉小馄饨”一直很想吃。就是小馄饨里除了紫菜虾皮还有一份鲜肉,64
…这…怎么开了十几二十年？是吃的人都秀逗了？还是真的好吃？,58
肉粽厦门这边5–15这26就离谱，馄饨这么大碗要12这边18。外卖app上的标价吧。长沙物价真不至于。。。这转让费保守点估计没个60万以上都不会动的，热情？价格摆在这里是我我也热情。,57
其实价格是很高的啦，我们坐标皖南，生活水平很高，但是这里的闽南馄饨，一碗才6块钱，15个，没有什么海南粽子，但是有贵州的糯米饭，超大大一份加脆哨才8块，没有海南的煎饺，自己这块的特色锅贴一块钱四个。,46
真几把贵，哎，给刚哥多投个币吧，希望下次少遇到宰人的,41
实属帮大家避雷了,40
成本150有没有,35
这50碗连汤带水有没有30斤？,32
这个还是没啥肉那种馄饨 这种馄饨一般只卖6 7块钱一碗。 我吃那种包很多肉的  配现熬骨头汤一大碗才12块钱。48碗➕几个小吃要950 实在黑心,31
一直强调手艺传承，一面还说要好多钱，这人坏的很，一个混沌谁不会做啊，还用花钱找你教?,29
新闻里那个客人多加调料就骂人还要打人的哪去了😋,26
价格表，说实话真贵,25
如果是刚哥去那家千里香放那么半瓶醋，那个老板会动手吗？[doge][doge],15
这比之前吃的牛肉拉面还贵,15
明码标价怎么能叫黑店？贵，确实贵，我们这里湖州也只有12块钱一碗的馄饨，和视频中的大小是差不多的，只能说看个人能力吧，尝个味道。17到20块钱。反正我应该是不会来第二次了。看这个分量也不是很大，像刚哥都能吃个八碗十碗的，份量，肯定是很小的，我能说完全没有性价比。就看好不好吃了，特别好吃的话可能会去两三趟，但是如果像我们打工人当中饭吃，那就算了吧，吃不起的[笑哭],13
一份夺少？共950元，我只能说真黑，餐饮利润高，但明码标价也就那样，生意肯定会慢慢黄。,13
坐标三亚，家在长沙。这个价格不管是在长沙还是海南都是贵，海南物价最高的就海口和三亚，三亚出了名的三线经济一线物价也没这么贵，这就是贵。我看到有人说做了这么多年都是这个价格说明老板能赚到钱，说明定这个价格没问题，是没问题，但是事实就是贵，这种类似价格的店子在长沙其实不少，说白了就是坑人店。最近刷到另一个视频，老板高价，然后说来他那吃点都是商业精英，吃不起别吃啥的，好像是去年的事情了，ljq领先版本。除了价格，老板令人反感就是因为那波问你吃不吃粽子，都买了那么多馄饨了，以为是送，结果是卖，而且这个粽子贵的离谱,12
感觉有点黑，当然可能是物价贵吧,10
福建两个小吃巨头，一个沙县一个千里香，去北方都能看到千里香,9
每次想到长沙人民，花两碗的价钱喝一碗，就很感动！顺便说一下6元一小碗。10元一大碗[doge],8
兽面人心李维刚[支持],8
转让费：指的是一次能赚好后面不继续做的钱[doge],8
"54碗馄饨，五个粽子，视频中出现了7个那个椰子角，应该是八个，老板最后除个八碗出来应该也是因为有八个人。所以说，粽子算26一个，980-5*26=850，八个椰包，设馄饨价格为x，椰包价格为y，假定两者的价格都在1-30之间，而且都是整数，写一段程序，穷举，得出x=15,y=8，这个价格确实贵",6
说粽子大是带话给螺纹钢让他少点两个吧？而且这从包的量看起来也就是小馄饨啊？这价格搁上海也就市中心精修门店能比，一般市区范围内的店也到不了这个价格,6
想看刚哥带小弟们去千里香馄饨吃一顿[doge],6
[doge][doge][doge]扁肉没有任何技术含量，肉用绞肉机打碎，卖肉那种绞肉机打三遍，扁肉皮有现成的。汤底，猪油蒜头醋酱油味精，然后开水一烫头完事,5
省流:老毕登,5
怪不得老板说成本低利润高，当地最多7块一碗[笑哭],5
这家是真不老实,4
以前小学的时候很喜欢对面一家馄饨店，夫妇是福建人跑这来做生意，我小学六年一直在那吃，后来升学了就很少来了，我现在大学了有一天骑车特地跑去吃，那对夫妇还把我认出来了😭😭😭,4
17一碗的馄饨，好贵啊，这种店子对我来说看一眼就溜了，我这17块都可以点一碗牛肉粉加鸭腿了,3
刚进去还问是不是黑店，原来真是黑店哦,3
"解释一下她为啥说她挣钱啊，
她前面说她不想干了，想把这家店盘出去哎，有个主播突然来一下。她肯定要说自己有多挣钱多挣钱，朝九晚，想开开，不想开不开也能挣钱了。想买店的都这样说，但凡不想买，以她的脸皮肯定说不挣钱了[笑哭]",3
贵，而且不是一般的贵[笑哭],3
"一碗馄饨20＋？就这店？里面包的龙虾肉吗？[辣眼睛][辣眼睛]  说是另一种意义上的黑店真的也不为过[辣眼睛][捂脸] 别来跟我说有多好吃，再好吃能好吃到哪里去？？就是一碗普通馄饨卖20的理由？？ 
老板内心：（没想到今天来了几个冤大头，接下来一个礼拜都不用开门了）[滑稽][吃瓜]",3
赚爽了，目测一下，评论区包括我，没有人比它们收入高,3
我们这儿一碗馄饨才6块[捂眼]成年男性吃8块就撑了，也是满满的虾米和紫菜，长沙的消费这么高吗,3
我记得有句顺口溜，杀人的饺子，宰人的面，最黑的是卖稀饭。这里把饺子换成馄饨一点也不违和[藏狐],3
为什么加醋没有被打,3
一开始说好赚钱的，我心想卖馄饨能有多赚钱，好家伙一看菜单，比我去的江西湖南，还有我家这里都要贵一倍[辣眼睛],3
好贵！,3
这种店真的是…看着实诚 后面问其他东西要不要那个嘴脸 恶心,3
馄饨这个物价 真的被坑了刚哥 以后这家店可以拉黑了 别去这种坑人的老比登店面了,3
这价格放在海南都是十分炸裂。一个肉粽26块，嘛玩意儿这是，海口卖一个也才15。,2
哈哈哈,2
给爷整乐了，这是刚哥给面子，要是换其他人早就带带骂的走了，这次大概是八个人反正不超过十个，980去哪里吃也不可能只吃这么点种类还是小吃，980饭店下馆子都够了，还有那价格真的无眼看馄饨十多块一碗，正常粽子3～5块，她粽子26一个我就算你有咸蛋黄就算你大点最多三倍15¥都是傻子（无脑爱面子也视为傻子）才买的程度，别人刚哥来宣传结果成这迪奥样，谁还会愿意去,2
门店就是大姐自己的吧，要不生意能这么随性～[呲牙],2
这个价格太逆天了，就这一个粽子加两碗馄饨够我点份水煮牛肉加小份素菜和几碗米饭了,2
老毕登，一个粽子26，你怎么不去抢,2
长沙的物价就是这么贵吗？在不止一个up那里看到长沙赶超一线的消费水平了。不知道长沙的工资水平怎么样？是因为网红城市导致的吗？,2
明码标价虽然贵了点但是也没话说，别人点了那么多馄饨又主动推荐韭菜盒子又推荐粽子的，还以为白送呢，一问正常收费，这不是恶心人吗,2
我高中学校外也有个做的和这差不多，6元一碗放咸菜嘎嘎好吃,2
故意推销粽子是吧。问要不要又不送，有啥意义？,2
真够贵的，就这馄饨10块钱一碗顶天了。。。,2
陵水已经是高物价了，但这个居然比陵水还贵,2
怎么老是去黑店呢？还是长沙物价就这么黑？,2
帮人，探店也不是这么探的，刚啊，有些店面便宜，有受众，有些虽然贵，但是手艺，原料，工艺那没的说大家也愿意接受，一个街边都能吃到的馄饨，搞成这样[笑哭],2
真就是黑店，别太荒谬,2
太贵了！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,2
别人明码标价了，你可以说贵但不能说黑，两个性质不一样的，明码标价觉得贵还要点，吃了就别说东说西的，觉得不值之后可以不去，实在不想给别人赚可以自己做嘛,2
我爸之前有一段时间自己做这个给我当宵夜。随便整点。够炫好多天。成本很低的。950不夸张的说，最少赚850,2
刚哥应该加一盆醋也不会有人想打他吧。。。,1
我去上海一个景区里面的大肉粽都没26那么贵，真黑啊，你这是皇帝吃的，[doge]，还是皇家原料，还是调料有专利，还是量大，我一个也没看出来啊，卖这么贵？我感觉这个就是平时没啥人，一来人就狠狠的坑一笔,1
万宁人表示，全听懂了，阿姨不会是万宁人吧,1
沙包大的拳头没见过，倒是见过粽子大的刚哥[脱单doge],1
海南人往南方跑，东北人往海南跑[doge],1
这个老板不咋地，认钱不认人。,1
上海都没那么贵……真黑,1
七个人54碗，平均一人八碗，看来健身的普遍这个饭量[吃瓜],1
太贵了，我这边8，9块钱馄饨够我吃到撑,1
开头一个学生说了句不会是黑店吧？就你们这几个大汉，黑店也不敢出声了[辣眼睛],1
刚哥管50多岁叫阿姨会不会叫老了[吃瓜],1
这阿姨真会推销，感觉社恐去只能吃哑巴亏的感觉。东西还这么贵,1
这他妈的，这馄饨价格有点贵。,1
海南人表示，这物价是真实的，海南的工资低物价高好多年了[OK],1
我小学的时候，长沙馄饨才5块钱一碗，很好吃，就喜欢这种馅少皮薄的，加酸菜汤。[奥比岛_委屈]现在路边都是外地网红店的馄饨，馅巨大，一点味都没有，25一碗[辣眼睛],1
那个粽子26一个。我瞪大眼睛了。,1
26一个粽子[辣眼睛]怎么着里边包了20块钱吗,1
长沙消费水平这么高了吗，广州那种小店也才几块、十几块钱一碗,1
刚想说还挺贵，忽然想起来我这里也是这个价，馅估计跟这比一半不到[无语]现在物价真是越来越贵了。,1
这价位在那边是正常的吗[思考]一碗在我这能买两三碗了，我这边都是6～10块,1
这什么狗吧价格？西湖正中心也就这个价吧。说不定西湖那还便宜一点。,1
海南人说闽南语，很抽象[笑哭],1
这我商圈，今天还送了，[吃瓜]，我看那粽子26/个的招牌，我还以为写错了。老某某。附近还有一家，没有老字，装潢更商务。湘春路。,1
肉粽 福建人狂喜 [P+魔法少女表情包_兴奋],1
我这街头小摊老奶奶卖，五元一碗，量两倍不止,1
"小区对面有两家小餐馆
一家沙县小吃，一家名字怪怪的记不清的面馆。
两家套餐啥的价格都差不多，
沙县小吃这，我去过两次，第一次去时，主要看到了一份很便宜的面，感觉配菜挺多，想点，但是老板说卖完了，那就要了份鸭腿饭。第二次去时带的朋友，我付完钱坐着等我朋友吃完。
老板就开始撵我走，说店里没位置了，不要在这占位，tm，10点钟，店里连我和我朋友一共三个人，她说没位置了，然后把些洗的菜放我和我朋友用的桌子上，她在旁边择菜。正好外边有人来送饮料送货，一堆东西全堆在我旁边，tm唉，吃完走不行吗，
后来再也没去过了。
另一家老爷爷开的面馆，我是无意间去的，
第一次去时，还没说吃什么，
老爷爷：你先歇会，吹吹空调，不吃也没事。
然后还给我倒了杯水，让我先坐着看看想吃什么
就是一股那种暖意，听着舒服，要了份炒面。
吃完我坐会想消消食，老爷子又倒了杯水，让我想坐多会就多会。
大冬天就是一股暖意，偶尔还能看到几个人坐里面不吃饭，在玩手机，老板也没赶走，也坐旁边玩手机刷视频",1
这种离谱的价格不赚钱才见鬼了，下次没必要到这种坑人的店里吃,1
福建莆田话我觉得才是最难的[脱单doge],1
老登不是一般的黑，我吃不起！还是沙县大酒店更有性价比[吃瓜],1
扁肉[doge],1
我老家包子铺的馄饨，比饺子还大，在北京工作吃了三年多的早餐馄饨，回老家一趟才知道有这么大的，一碗四块，在北京你四块只能喝个紫菜汤，给发小办婚礼忙了一夜，早上去吃早餐两个饥肠辘辘的大老爷们加个女的，三人吃一笼包子加两碗馄饨，包子原定一人一笼，等上桌发现太大了改成一桌一笼，馄饨更吓人一碗上来还以为是饺子，再三确认是馄饨，比杭州小笼包还大，看和旁边沾碟鸡蛋壳的比例，外卖五块是多一块的餐盒费，,1
一百碗馄饨，猪只受了点皮外伤,1
这价格在南京都相当贵了,1
这老登纯纯笑面虎,1
这tm一碗馄饨20块钱?,1
？！,1
至少，她说了实话，成本很低，利润很高，900多价格，食材成本一百都够呛,1
有没有加醋,1
平均一碗18块多，不知道里面几个馄饨，我这的馄饨店基本按个卖，猪肉馅4毛一个，牛肉馅5毛一个，一般人吃个10块钱的已经很饱了,1
这破店什么环境就敢卖20一碗,1
这还叫命苦？...想起了b站的几个视频,1
两分零四秒有价格表，这价格让我自杀我都不会去,1
厚呷！！！,1
刚哥去那家店吃馄饨调料加的多会不会掉牙齿[doge],1
那个打人的老板敢对这种阵容放一个p不，说到底看那个小伙子比较单薄，又是一个人。,1
看评论说海南肉粽就是这个价的，那得感谢刚哥为大家避雷，原来不是商家黑，是海南肉粽就是这么黑,1
确实贵,1
骗人，我去过海南，海南都说的东北话[doge],1
也不知道带个手套包馄饨，反正我是吃不进去，这手都是抠过脚的手,1
长沙是这样的，这馄炖看卖相就不好吃，她们加的那个菜一般水平不咋样的才会加，馄炖加这个菜特别不好吃。不如自己包，20块就能包她这么多碗出来，馄炖，饺子这种东西自己包的会更好吃的。把我刚哥当猪杀，1750%的利润，这年头这么黑的不多了，牛的[支持],1
不要去这个店，太黑了！,1
有个人拿大饺子没拿到[妙啊],1
好香哦[脸红][脸红]有个小白手没拿到椰子盒子,1
这老板真贪啊，这期看得出来刚哥明显不开心,1
"【既分胜负 也决生死-哔哩哔哩】 https://b23.tv/ZRmdVL1
刚哥成兵器了[脱单doge]",1
福建人在此，这个馄炖味道一看就凑合还这么贵，还什么转让费，这种东西没什么技术门槛的,1
说实话，刚哥就是去千里香馄饨加醋，那个老板也不敢狂[墨镜]敢动手的话先掉的肯定是自己的门牙,1
[doge],1
有点贵啊，一碗价格和满宝那种大个馄饨差不多了,1
高汤豆芽13？你这高汤是金子做的，还是豆芽是银子做的？,1
这价格离谱。,1
20多一碗馄饨嘛。。。有什么附加价值么？,1
刚哥这块头去可以放心大胆的加醋[微笑],1
这……这太贵了吧这……一般价格不过两位数，过了两位数的量都很多的……天哪被黑了一半钱,1
我经常去的普通馄饨店加量鲜肉的也才9块钱一碗，里面差不多20来个。,1
有没有全国其他地方的老哥告诉我一下你们那的馄饨都多少钱一碗啊？我家泉州这边随便一碗馄饨都20起步（但是我们有本地的类似馄饨的特色食品扁食，一碗5块左右），我都已经默认这就是馄饨的一般市价了，看到你们都说馄饨贵，我很想知道其他地方的馄饨多少钱一碗[大会员粉豆人_顶不住了],1
多少？950？,1
46×18+26×4+8×6=980，所以混沌18一碗，粽子26一个，那个啥椰子包6块钱一个，真他妈贵啊,1
我这馄饨是8-9-10块的，今年刚涨了一块，好家伙终究还是工资少了[喜极而泣],1
我们学校四块钱16个馄饨，六块钱24个,1
这混沌明码标价的贵啊。。[笑哭],1
真他妈黑，怪不得能赚钱，现在黑心钱赚完了还准备在黑一把转让费，笑死爹了。,1
蛋黄肉粽26，这价要赶上我今年吃过的星巴克的那个粽子了,1
成本低 利润高 就是费良心 全是淋巴肉做的馄饨 怪不得每次吃家门口的混沌面必定喷射 每次想要通通肠道了就去吃一次 包喷射,1
老板说了实话确实很赚钱，这小店的定价再说不赚钱自己都不好意思,1
馄饨魔君索伦森都觉得黑[doge],0
去年看过一个视频，一个普通掌心大点的肉包子20一个，想吃饱得200+，什么地方的忘了,0
这不是有价格[香香软软的小泡芙_迷之微笑],0
深圳这边的海南人开店都没他贵，美团故意调高几块钱毕竟要用优惠券，现场吃还便宜,0
