comment,like
我感觉犀利完全可以朝这种温馨聊天/讲故事的风格发展啊！虽然可能不是那么容易涨粉 但是真的会很多粉丝喜欢看 是和小潮视频风格不一样的那种[给心心],5317
那个煲仔饭换我能尴尬死哈哈哈哈哈哈我看视频寻思节目效果呢[妙啊],5068
有一次我们上音乐课，放了一个很嗨的音乐 然后我看我们班很多同学都在摇 我就学海皇的悲伤摇  摇完抬头发现大半个班盯着我。。,4471
"这期视频装扮圣诞的氛围好浓！一开始感觉有点小尬，但越看越觉得好温馨，就好像我也在team里是大家的一员听大家一边吃水果开故事会闲聊一样。看起来很快乐很幸福捏[星星眼]
犀利加油！！！爱看爱看，三连力！！！",4337
近期尴尬的就是本人24在地铁戴耳机看小潮视频，旁边坐了一个小学六年级左右的小孩儿，他应该是瞟到我在看潮t的视频了突然兴奋的把周围的同学都叫来围着我一起看，当时快成地铁孩子王了，真的是i人尴尬现场,3744
我尴尬的事是有一次过年的时候，我妈让我给所有老师都发一下新年祝福，我当时不会用群发，结果我给所有老师拉了个群……然后我很慌就自己退出来了，那个群没解散……[无语],3537
"初一那会成绩还很好，下课趴着睡觉也没人管
那天我前桌死活不让我睡，后来我趴着感觉又有人扒拉我，下意识朝前面竖了个中指
然后我听见了我班主任的声音………",3022
犀利能不能叫海皇更新[辣眼睛]已经两个月了,2027
有次和闺蜜去大学旁边的夜市，看见了卖生蚝，寻思买个尝尝吧，和人老板说了之后要付款。付款码找了半天没找到，一看，被前面的人挡住了。我看身高不是很高，想着可是能是小朋友出来买零嘴，就特别温柔的把手搭在他的肩膀上，轻声细语的说：小朋友让一下可以吗，姐姐付一下款。然后他挪开的同时回头看我，我俩对视后我才意识到那是一位中年大哥，嘴里还叼着烟。我当时脑子直接爆炸，都要扣出三室一厅了。,1277
晚自习睡觉，坐教室最后一排，头靠墙上，不小心把全班灯给关了,1244
学校拍照，摄影师说别眨眼睛，我听成让我眨眨眼睛，然后我就使劲眨眼睛,942
我小时候学美声那种民谣，要唱的那个歌有一个弹舌，然后我不会，最后终于弹出来一点点声，老师开心了，老师让我给大家表演一下，然后鼻涕chua一下出来了[辣眼睛],785
刚看到的图片哈哈哈[脱单doge],408
在香港，进地铁口的时候踩空了，连人带箱子滚到楼下，然后整个人双膝跪地，旁边一个外国友人：“Are u ok？”，脑抽了回了句：“u r welcome”，过去七年了现在想起来脚趾头还要扣地[鼓掌],282
小时候被爸爸带着逛街，我走神被落下了一段距离，当时有点慌，我看到一个背影很像我爸的人，连忙追上，然后把我嚼了半天的口香糖，塞到了他的手里，并帮他握上了拳。[微笑]我爸妈在我后面看呆了,190
高中语文考试的时候，我习惯性在写到阅读理解的时候睡一觉，以前每次睡完再写效果都特别好，结果那天被监考老师扒拉了好几次，我寻思我这以前这个姿势也没被抓到过啊，后来考完回班听同考场同学跟我说，我那天的呼噜声响彻整个班级,62
我来讲一个！第一次得奖学金的时候想给姥姥姥爷买个好点的枕头，就是那种乳胶的。但淘宝上的很贵，一套的话要六百多，我钱不够。就打算去闲鱼看看反正是自己用只要质量好也不需要什么包装什么的。看到了一家类似工厂的，评价啊什么的都不错我就开始和老板讲价。我说诶呀我买两套可不可以便宜一点会推荐给朋友什么的一通输出。老板答应如果我说了诚心要就给我便宜三十块。我刚准备下手，结果下面有推荐，说他家的价格是全网最低那种。我就点进去，又问哎呀可不可以便宜。结果老板说：这个店也是他家的，他给我的价格就是最低的了我怎么不信呢……[奥比岛_委屈][奥比岛_委屈][奥比岛_委屈][奥比岛_委屈],57
突然想到一件事，我高一的时候非常的热爱学习，经常去书店逛，有次在新华找书呢，那店是两层的，有很多人坐地上看书学习，有个人就坐在楼梯口，我上楼的时候，本来是要越过那个人的，然后一脚扒台阶上，摔人身上了，当场疯狂道歉，这不是最尴尬的，当时我穿的是拖鞋，然后我的鞋咕嘟咕嘟的滚下了台阶，我又要下去捡，捡上来，我穿好鞋再上去的时候，又被台阶害了，当场给人行了个大礼，那人说：“这么道歉不至于吧......”,53
学校停电 去厕所小便 厕所太黑了，啥都看不见 上小便池上不去，又试了两次， 才发现是有个人在前面小便，被我推了好几遍[热词系列_好家伙],44
感觉利利未必要往搞笑方面去走，潮t里不缺搞笑的（小潮海皇高斯小傲太卷了，利利可以每次视频结尾确定一个主题，大家在评论区分享自己相关的故事，下一期视频利利和潮t大家伙儿可以先分享自己对应主题的故事，然后评论区选中幸运观众的故事在节目里读出来，这样观众们和潮t又有互动，还可以丰富视频内容，甚至最后还可以升华，真心建议，望采纳[保佑],42
