comment,like
这样会感冒的啊，别因为视频质量伤害身体健康啊[笑哭],7719
真好又活一天还没冻死[doge],5013
刚看到别人的头发冻成了这样[呲牙],3296
哈尔滨-33℃啦😃哈哈😃洗了蒜了😃,3002
别说东北，就是河北，初中住校没有电吹风，早上起来去食堂的路上头发都能结冰 想当年两天洗一次头，每次都这样……这一点视频里面没有夸张,2143
这样会得偏头痛的。治不好那种。周周姐姐，拍视频也要保护好身体呀。,1998
要突破40°力,1156
这个我经历过，冬天去澡堂子洗澡，洗完出来走两步头发直接冻住了，到家梳子一梳开，抖掉冰碴子，头发直接干了哈哈哈，特别爽，都省得吹了,1086
"作为一个来齐齐哈尔工作的山西人，
以前我稍微有点不相信什么南方比北方冷的说法，现在是完全不信，30度的天会收拾所有“有地方比东北冷”的想法，对了，我说的是零下[笑哭]给孩子冻麻了印象中山西零下十五六度就是极限了[笑哭]",170
冬天千万不要来呼伦贝尔[来古-震撼],140
特产之一：奥特干,99
人在河北，前几天零下十八度，出门比较早，洗了个头不敢用电吹风怕吵人，用毛巾擦了一下，然后出去走了一圈，顶着一脑袋冰碴回来，化了以后头发成这样了[藏狐]一整个炸毛，跟个钢丝球似的,65
很喜欢之前南方小朋友的一句话《干冷而已》[笑],34
？大可不必。。。。。搞快点回家吹干。真不知道以后偏头痛啊。？,21
无所畏惧[脱单doge][脱单doge][脱单doge],20
老家牙克石有话要说,15
是这样的,5
旁边那个更吓人[辣眼睛],4
"你麻辣隔壁的，冻死我了[辣眼睛]
另附我妈妈的红烧肉一碗[藏狐]",3
突然发现北京还挺暖和的[微笑],3
