comment,like
这家伙，现在都没有导演编剧能整这么细节和生活的剧本，也没有青年演员能演绎出来这种年代背景下青年怀春悸动的感觉。,18542
出三个半小时的，我留着大年三十看[微笑],18458
冷知识：死缠烂打的前提是，对方也对你有好感！！！,10563
好喜欢这个系列啊，我爸妈就是在饭店认识的，不过他们都是服务员，是对方的初恋。我妈说我爸长得凶，熟起来是因为在看后厨杀🐟的时候，我妈吓得后退一步，被我爸扶住了，踩了他脚一下。之后我妈就每天看到我爸在她周围有事儿没事儿溜达，但是因为长得凶，和我妈一起的服务生都感觉他抱着膀子走来走去很吓人[喜极而泣],9852
东北甜宠爱恋童话幸福人生，《我经常请吃饭的漂亮瘪瘪嘴》，金鹰独播剧场，正在热播,9659
“不咋做饭”说明还是会一点点，也心细，知道豆角不熟会出问题，豆角新鲜水灵的刚摘的就想给喜欢的人尝尝，可能在家询问长辈了怎么做，也可能买的时候问了卖菜的了，所以做豆角的时候可能生怕不熟就把水都焖干了导致有点齁——家人们这不是观众经常说的，你不用按头让我嗑，把细节整好了我自己会脑补。,8245
啊啊啊我真的会因为这种不存在的cp磕得上头[笑哭],6066
可以出个2小时版吗？我留着春晚看[doge],4404
爸要给妈买鞋了[呲牙]好男人[doge],3115
重要情报:36码脚，下集该送鞋了[doge],2584
我突然觉得方言对影视剧的呈现真的挺重要的，以前人基本上都用方言唠嗑吧，就算是北京也有特有的腔调，所以现在的普通话台词才显得生硬,1826
第二！好爱这系列！[喜欢],1716
如果铁饭盒里打开是锅包肉或者是溜肉段，那将是绝杀[喜欢][喜欢][喜欢],1524
好像徐江和崔惠廷的爱情故事[doge],1479
整咸了妈妈都吃完了我哭死[委屈],1469
大瑶出个加长版吧呜呜呜根本不够看[大哭],1334
衣服里掏出筷子，早有预谋！[大哭],1184
狂练瘪瘪嘴,1148
"《东北爱情故事》
——“回去吧嗷，憋老来了。”
金鹰独播剧场，正在播出",907
来着学习学习咋谈恋爱[doge],865
好家伙，比偶像剧还带劲呢，我这嘴角就没下来过[doge],604
可以！我还以为会把咱妈吃中毒呢😂,315
细节，上次干架的黑眼圈还没散,298
明明背景是现代风，为什么脑子里都是那种砖瓦房，后边烟囱还冒着烟,213
大瑶演技好好啊，妈妈和爸爸的区别和人设从语言动作和神态的小细节上很自然地都展现出来了，完全不像演的,197
这演技，我天……真的很厉害啊，东北电视剧，传神,187
