comment,like
固态水一如既往发挥稳定[OK],7791
这台词功底挺好啊,5333
液态冰也是冰！,2833
《染上恋爱了》《二十几岁碰爱情》,2306
开开心心看视频，突然叫到自己名字[笑哭],2087
把钱花在自己身上，才发现，钱真经花[呲牙],1999
说真的，一人分饰两角，要把握反应啥的还挺难的，给你个币吧[doge],1431
你猜我为什么不笑[微笑],1258
这就是真正的艺术吗……,1195
我差点染上恋爱，然后被女方搞成友谊的小船，我差点变成舔狗，她很温柔的拒绝了我，现在我心特别舒服，如同重返天空的鸟儿，为自己飞翔[打call][打call],1083
最贴合现实的一集,957
你的王鹏是不是小学400m可以跑45秒,670
谈恋爱的人最后都立了,648
"心里想的那些谈恋爱的都结婚了，结果看到弹幕上面,有人说都变成蝙蝠侠的客户了，,想了一会儿,有点绷不住笑了。",476
谈完恋爱后发现一个人真的太爽啦[脱单doge],411
多爱自己，没有硬实力的爱不会长久,308
这是哪个牌子的手机呀，看后盖还怪好看的,296
连人都是p上去的，液态冰不会没有朋友吧[tv_目瞪口呆],270
男生真的都这么认为女生吗？这也太可怕了。我觉得不是全部人这样吧。,182
神作,173
"我的个人观点：
  遇是良人满是知悦，
  互联网所传播的感情观总是偏向大部分。而真正遇到喜爱的，能爱的，被爱的都是风运。祝福你[抱拳][抱拳]，希望你们笑意随心满家欢。",168
红棉袄，喜庆[doge],156
我不知该哭该笑，笑了我怕笑的是以后的自己，哭，不知哭的是不是自己的曾经,152
给自己花的钱，大部分都是能确定结果和价值的[微笑],148
up主为什么要一人饰两角啊？是没有朋友吗[doge],121
"下一个剧本我想好了，空军佬独有的爱情。主题就是，最爱鱼的人
空军佬，能钓上一切，但就是钓不上鱼。
可是，即使是这一切，他还是不开心。
让他开心的，只有那条鱼。
你又是谁的那条鱼，你的那条鱼又是谁呢？",84
每次看视频。心里都很怀疑真的有这么大方的对象嘛，笑死,79
好爽好爽这种被拆穿的感觉太奇妙了，惊讶 兴奋 恼怒，我维持二十多年的痛苦表演竟然被你这么轻描淡写的说出来了，我的情绪现在被你玩弄，太爽了哥再多说点,76
我说怎么这么熟悉，原梗是狂飙强哥说他弟染上毒品的事,75
演技台词都不错,73
"荷尔蒙可怕，因为你的自由意志会被冲动曲解
但你的自由意志，永远是攻破荷尔蒙的最优解",57
很符合标题[doge],55
和男朋友谈了一年多了，这是最近的精神状态,52
进来点赞数都是520开头哈哈哈哈哈[笑哭],52
现在的恋爱已经不能让人联想到双向的爱情了吗……,41
"涛哥:不是我染上了恋爱
是恋爱在追杀我！！！~~~[大哭]",40
《不要当面送》哈哈,31
可是下个月放假没生活费了[脱单doge],30
冷知识 :每年的元旦跟圣诞都连一块的[doge],25
隔壁那个叫王鹏的，多好一小伙，现在叫王朋了。,24
笑疯了哈哈哈不过确实，谈恋爱对男女来说，都很花钱，我闺蜜谈恋爱都攒不住钱了，哈哈哈就是过节互送礼物搞得,21
送礼物不是相互的吗[藏狐]今年男朋友过生日，我给他买了一大堆徐福记的沙琪玛，米果，草莓酥，凤梨酥，蓝莓酥，寄去学习了，外加两件新衣服,21
隔壁班的王鹏谈了三个月恋爱，现在成王朋了[doge],18
兄弟，我懂你,17
恋爱没那么简单，有前提的，好好努力，抓住之后好好珍惜,17
"送礼送到生活费不够是真逆天[笑哭]
双方都是",16
经济条件没有很好的时候没必要买很贵的礼物，有心意就行了，我每次还礼也很心痛的…….[妙啊],16
冰子为什么老是一个人拍独角戏，是没朋友吗[脱单doge],16
本来想发给我媳妇的，但是视频最后提到了节日礼物而我没准备…,15
我女朋友就不一样，对我超级好[喜极而泣]。给我的买的用的都是最好的哈哈哈生怕我受委屈了，护肤品一套不够给我买两套，平时还给我买零食，当然我给给她买。然后出去玩也是我订房间，她基本上付其它的所有，而且都是抢着付。搞的我都不好意思了我说宝贝，你也选几件自己喜欢的东西吧我给你买，然后她说不用，喜欢的她会自己买的，独立女性不需要我付钱。所以我觉得这也是分女生的价值观以及生活水平，并不是所有女孩子都只是想要男生单方面付出的，也有很好很疼男朋友的人[笑哭],15
这演技绝了，特别是最后一段,15
哈哈哈哈，虽然拍得跟搞笑。但是我想说真正好的恋爱并不是男孩子的单方面付出，是双向奔赴的。庆幸我遇到了这样的女孩，节日主动送我礼物我也送她了，平时也会帮我省钱。,14
不知道以后会怎么样，反正现在我是水泥封心ing，见过太多例子了，好的坏的都有，甚至有一天我在梦里梦见了我心目中的那一半，完美到醒来后怅然了一整天[酸了]我所追求的爱情，可能我配不上吧[墨镜],14
一直无法理解，不信教为什么要过圣诞节复活节？[疑惑],14
