comment,like
"不管大禹自己的主观意愿是什么，在他治水成功后，他已经具备了以下四点客观条件：
1.有人力。治水是一项巨大的工程，调集人力少则几万人，多则十几万人，几十万人，而且基本都是青壮年男性，在上古时代是一支非常庞大的力量了。
2.有组织。治水流程很复杂，而且环环相扣，需要所有参与的人紧密配合，服从命令，有组织有纪律，实际上具备了朝着正规军方向转化的基础。
3.有团队。大禹的治水时间长达十三年，这么长的时间，在严密的组织中大禹完全可以培养一支忠诚于自己的团队，为自己今后干事创业提供助力。
4.有声望。洪水灾患时间很长，破坏很大，大禹能够成功治理水患，肯定在民众心目中建立了巨大的威望。
有人力，有组织，有团队，有声望，这四项加起来，不管大禹自己的主观愿望如何，在客观上他都已经具备了另立中央或夺取政权的能力。而且上一期讲的大禹安排各地的进贡路线和贡品种类，这已经是天子的权力了。所以大禹的最后上位，已经不是舜能阻止了的。在禅让之前，舜极有可能已经被大禹事实上架空了。",6843
要是能发现夏朝的文字就好了，这么一个辉煌的王朝，应该是有文字的,1535
"家天下是当时历史的进步
符合生产力的选择",1490
在异国他乡也会支持木鱼[星星眼],1354
"我觉得对于舜禅让禹的这事没啥可讨论的。
因为他们不是君臣关系，而是皇帝和太子的关系。
因为禅让是舜唯一的选择。那时候又不是皇帝的一言堂，想搞死禹或者拿掉他的权利是需要理由的。
而禹又是众望所归的继承人选。所以除非舜打算让自己的儿子继位，否则就只能禅让给禹。
所以禹又有什么理由，冒着留下污点的风险逼宫舜呢？他的身份就是第一继承人，他可以明正言顺的继位。
所以我们要换个角度看，舜放权给禹，是为了锻炼继承人的能力，确保国家稳定。",1151
"其一，确实有人就是品德高尚不在乎自己家族的权势，以天下百姓为重
其二，上古时代的天下共主权力没有后来的专制皇帝大，并且各邦国的贵族都是沾亲带故，争天子位输了也就当下小弟，没必要搞得你死我活，搞个禅让大伙都留个体面，东周礼崩乐坏其实就是亲戚们都撕破脸了不体面了",581
内容挺不错，不过前四期的播放量是一期比一期低，不知道木鱼是打算低到一个程度就停了还是一直做完？如果中间插入别的影视剧内容，这个系列的播放量可能更受影响，不知道团队是如何规划的。,466
我觉得当年王国维提到过的“灾难避责说”非常有意思，尧末期发生了大洪水灾难，他自己年事已高无精力治理，而自己的后代丹朱看起来不似人形，那样的话，很可能会招致比天灾更可怕的后果——即黄帝家族的统治权威受到严重威胁乃至被推翻，在找到同家族的舜后，经过了数十年观察以赌博的心态将权力交给了这个远亲，而舜虽然也不精通治水，反而将原先治水的鲧治罪了，这里我个人理解颇有三国里曹操杀粮官的意味，恕我发表自己的大胆偏见——鲧很可能并不是因为治水不行被治罪，而是成为了舜平息民怨拖延时间的工具人背锅侠，只一点，足以解释为什么舜后来又启用了鲧的儿子禹来治水，因为舜也看到了鲧初步的成效，选择禹极有可能就是信任禹将继承其父亲的遗志完成治水大业！最后在禹成为治水英雄后，舜传位之，是认可更是一种愧疚的补偿。尧和舜都是情商极高的政治生物，他们二人前后的豪赌，赌出了黄帝家族平稳度过了一次巨大的危机，赌出了后世夏朝的四百年。,426
大禹让帝位变成了父传子，再也没有有能者居之了,364
"两周内更新（X）
两周后掐点更新（√）",115
我觉得是你们都想的太复杂了，其实很简单，那是什么时代，上古啊，连基本的国家雏形都还没诞生，就是个部落而已，说白了就像现在的村子一样，那选个村长什么的，当然是谁有能力就选谁了，原始部落时期，都是谁最有能力，谁能带领大家更好的活下去才当领导人，毕竟洪水猛兽的时代，活下去才是最重要的，哪有那么多歪心思搞权力这些虚的,52
其实如果看世界史，可以将舜类比苏拉，禹类比凯撒，启类比屋大维，通常认为凯撒是开启了罗马帝国时代，但是他生前无数人劝他上位，但是拒绝了并且把绝不称帝刻在了广场的石柱上，因为罗马共和国之前并不是禅让制，而是世袭制罗慕路斯，这点很像。但是凯撒遇刺后，继位者无法与拥有神之子身份的凯撒养子屋大维抗衡，导致了罗马由共和国变成了帝国，一直到1453年君士坦丁堡陷落。,26
强烈建议木鱼做一个中国神话系列的节目。,23
谈一个问题，世袭制的出现是历史的必然不是偶然，原因是这样的。奴隶制社会之前的部落社会政治形式是部落联盟，天子是部落联盟领袖，新石器时代晚期（在中国上古神话里对应的时期就是五帝时代结束的时间）生产力已经发展到一定程度，生产资料私有制基本普及，这意味着在天下各部落里面已经差不多普及了领袖的世袭制，如果这个天子还是推选来推选去，各部落只会为了私利不停的发动战争，天下就乱了，只有来自最强部落（邦国）的世袭领袖能保证天下的稳定，夏后氏四百年的统治就是如此，生产力的水平还不允许像商代一样建立国家体系，夏代本质上仍然是部落国家—城邦国家联盟。商代才是城邦国家联盟—领土国家联盟。夏商周都是奴隶制社会，都是社会生产力发展的结果，代表着社会形态的转变，与后世封建王朝的朝代变化有着本质的不同，夏商周的代际更替看似是政权的转变，实则是新社会形式取代旧社会形式。以上理论参加恩格斯《家庭、私有制和国家的起源》,23
黄帝作为人文始祖，舜和大禹使中国的国家架构初具雏形，这些功劳和影响远超后世帝王。可惜史料太少，希望有天夏能真正重现在世人面前。,11
