comment,like
笑死我了，从小看到大的老笑话，都没有阿姨这个角色，第一次看到,19655
每个分开都很合理，合起来逻辑起飞。,9950
阿姨的台词功底深厚，点睛之笔,8467
有意思，开始创意了,3384
用这梗拍的视频已经看了不知道多少个了,2828
本期视频衍生出了一个词，叫延边悖论,1739
"所以，大家走的路才是最安全的路，
没事不要轻易另辟蹊径[吃瓜]",1636
截图,1211
"前面的大哥：防人之心不可无
后边的大哥：害人之心不可有
后边的阿姨：侥幸心理必须有",1107
"就像国庆和五一放假，很多人都想到假期第一天出行的多，所以提前一天出发[笑哭]

然后堵在路上时明白了原来大家都和你一样想[吃瓜]",919
阿姨：防人之心不可有，害人之心不可无,726
卧槽  这升华成哲学问题了,109
好！！！全体出院！！！,106
不小心的[大哭],6
麦琪的礼物精神病版,6
这个笑容由我来守护[妙啊][呲牙],5
听一万遍反方向的钟，可以回到吃炒河粉之前吗,4
很真实啊，家里洗筷子也是只搓一头。笑嘻了,4
重来不洗。 刚好卡这了[笑哭],3
阿姨出来我蚌住了 哈哈哈哈哈,2
