comment,like
看到一个评论，短短一分半的视频竟然比一晚上的春晚味道还浓。[笑哭],24555
给我听哭了[大哭]有种重回08年奥运的感觉。才发现都这么久了。感觉还是很历历在目,9046
春晚看后又撤回个节目[笑哭][笑哭],6685
年轻一代人的民族自豪和国家荣誉感是毋庸置疑的，只是在现实的轮番击打和生活的疲于奔命中显得有些力不从心了[笑哭],4970
同志们，进京证还是要办的啊,2522
好温暖，像在电视上第一次听到众明星合唱的北京欢迎你～～,2487
真希望b站自己除夕也搞晚会，不用明星，就素人up主们，感觉比春晚好看[笑哭],2395
说真的，每次emo我都会看看北京欢迎你的MV，不知道是童年滤镜还是近年的对比，那段一去不复返的时光好像被镀上了金，在记忆里闪闪发光[大哭],1681
很喜欢北京，喜欢故宫、北海公园、天坛，喜欢他的历史悠久，但是太遥远了。他深刻告诉我，有些事生下来没有就一辈子也没有,1219
合唱的那句北京欢迎你出现的时候 我留下了12月的第一滴热泪 好像回到08年 那个真正那个人都充满朝气向往期待明天的日子 那个我还在草地上追逐无忧无虑的的日子 好想好想 可是最后只是随着日历划过了一页又一页一年又一年,599
这就让我想起了，贝贝，京京，欢欢，迎迎，妮妮，好像是这几个字儿我也忘了[笑哭],398
说得好 能先把进京证取消了不,189
长大了才发现，北京其实并不欢迎我……,92
北京倒也不是太欢迎咱乡里憋,34
北京早已经不欢迎外地人咯，北漂都知道,24
我家大门常打开 进来你得办进京证[doge],21
auv精✌🏻宁吉祥,9
真的欢迎吗？,8
哎，从小北漂，在北京待了十年，这首歌真的是承载了我最美好的一段回忆，外人看北京总是排外的，对于我来说却是包容的。从神州到奥运会，从雪灾到汶川地震，那时的新闻永远是振奋人心的温暖的，路上的车铃叮铃铃响，绿皮车穿过白桦林，那是我的童年故乡啊[保卫萝卜_哭哭],4
那种勃勃生机、万物竞发的境界，犹在眼前。[给心心],3
