comment,like
没想到这个视频的画风会这么不一样，以往都是看他们打打闹闹的，这还是第一次切实感受到了练武的辛苦。小孩哥是肉眼可见得越来越稳了，动作很威风，而且他真的每次都好认真地去完成！,12610
教练教练，我是后面那个小胖，我觉得我的训练强度不够，能不能给我单独上上强度？,10754
真好啊，不知道怎么敷衍别人，也不会敷衍自己的年纪,10584
小孩哥有点太实诚了，看看后面摸鱼的～,8594
可能他现在还不知道这么一直做同一个动作的意义在哪里，但在未来的某一天觉得自己坚持不下去的时候，想起几年前的某个下午一直做同一个动作做到哭的自己，或许就又重新有了支撑起自己的力量[打call],7774
有几个小孩在摸鱼，他虽然要哭了但是每个动作都没敷衍耶,6787
小胖感觉是家里想让来锻炼一下身体 所以教练也不会那么针对性的严格   小孩身上有那股子劲 是那种能走上这条路的苗子 所以教练格外严格吧。,6074
所以当你被老师最严厉的训练的时候，不要觉得老师在针对你，因为可能大概率你的老师最看重你，他最希望你能获得成功，比他更成功，对于其他一般且没有上进心的学生，他很难能提起来干劲。因为爱，所以更严厉。当然我说的是大概率。,5687
特别好。世界上当然有不该硬吃的苦，但是年纪尚小的时候就能在身体极限允许的范围内体悟到达成结果之路上的艰难不易，一定可以因为这份刻骨铭心的“痛”而在后来品尝到由自己的双手和智慧而亲自采摘到的“甜”。在还没进入“内卷”的角斗场时，一切都是公平的，积少成多，多磨多得，眼下这些小小的历练，都是为了在未来那个“吃人”的社会洪流中至少不会失去保护自我、认可自我的能力呀。,4593
快夸他快夸他快夸他快夸他！！！！,3270
明明打开b站想要偷懒摸鱼的 看见这个视频突然就想哭 明明还有几天就要考试了 学了吗学了累了吗也累了  但是我好像没有想他一样逼自己一把 感觉到累就偷偷摸鱼 舍不得对自己太狠 永远自己的需求优先  有点记不清自己咬着牙逼着自己一定要坚持流着泪绝不放弃是什么时候了 全力以赴能做到真的很了不起 还有四天考试  谢谢小孩哥给我的激励,2757
感觉做的最标准，也最委屈,2465
这是什么动作啊有懂行的老哥能讲讲吗,2250
这种绝不放弃的一般是主角，而我是旁边浑水摸鱼群魔乱舞负责谐星的NPC[抱拳][呆],2191
看这个视频有被鼓舞到诶，认真坚持的人最累但也最厉害[大哭]好像看到背书背到哭的自己，所以好好坚持下去吧，加油啊！！上岸吧！！,1756
他真的好有毅力啊，好可爱的小男子汉,973
小朋友这样子进步会很大的。我当初学羽毛球的时候报的班，然后那个羽毛球馆里别的小孩都是人均学了三四年的。然后看着比我小的小孩然后打出来吊打我，感觉有点尴尬，然后每次打的时候就尽全力去打，只有我自己知道我快累死了。结果最后教练和我妈说我爆发力强，要不要考虑进专业队训练[笑哭],829
谢谢你小孩哥，大学生姐姐这几天感冒但是还有三次校园跑没跑，杭州已经在1℃到-6℃徘徊了，今天外面雨夹雪，四级北风姐姐咬咬牙穿着羽绒服去跑了一下回来就感觉很难受，头疼，不想再跑了。别人说26次就及格了，可是完整目标是40次啊，姐姐跑了37次了怎么甘心，24号就截止了，姐姐在心里天人交战的时候看见了你，尽管明天后天都是零下，姐姐还是选择自己去跑完。谢谢你，姐姐也会坚持的,802
这小孩哥有前途,744
找不到我哭的视频，但是这些应该能代表我也有过这么努力的日子，加油叭大家！,689
我上了一学期防身术还没小孩哥动作标准哈哈哈哈哈哈哈,669
为啥不换一只手啊，光练一只手到时候不对称了,644
"不愧是有专属皮肤的前排小孩哥[脱单doge]
话说练武真的好辛苦",553
小朋友真棒！！！！！,506
"其实教练最喜欢他
大家也一样
不知道他长大了看这个视频得感动成什么样",487
看的我心血来潮试了下这个动作。现在闪了腰躺下了。,416
二十多年后  几个师兄弟坐在一起吃饭，老大说:武馆好像被收购了要推掉盖一栋写字楼。众人七嘴八舌说着什么 有说可惜的 有说以前练功真辛苦的 有说时间真快的 有说真不想武馆被推掉的   小孩哥只是看着他们然后夹起一筷子肉丢嘴里嚼了两口便咽了下去 说到:这事我来办。   后来武馆照常营业,358
居然真有得意门生啊？小孩哥太棒了,342
馆长是不是意识到要做点正面宣传了[doge],332
当你的身体一点一点地告诉自己“你做不到”的时候，你才有机会战胜自己，平时的你，根本看不到自己是什么样子，一次一次的怀疑，直到这种怀疑变成了坚持。,277
唯一一个学到本事的人了属于是,216
学的是武功 锻炼的是意志,189
这才是真实的练功，天天发嘻嘻哈哈的视频，连台上一分钟，台下十年功的简单道理都要模糊了,169
"想起来去年这个时候，在厕所隔间背考研单词，站起来的时候直接晕休克，十几分钟后醒来，满地的血，原来是下巴磕到蹲坑的旁边，门牙割掉下嘴唇一块肉。在学校的公共厕所里，没有人发现我。现在想想很好笑，但是当时从卫生间爬出来的时候，整个心里真的是难以形容的悲伤与无助。就想，如果当时没有醒来，是不是等三天后，人发臭了才会被清洁阿姨看见。
还好，挺过来了，挺过了睡不着满脑子都是专业课知识的每个夜晚，挺过了高烧42度的考场，挺过了复试失利补录前的绝望与迷茫。
目前研一了，感谢当初没有放弃的自己。不敢上课走神，因为哪怕只有一分一秒的懈怠，都是对昨天努力的亵渎。",162
能看出来小孩哥体力比我好[微笑]是我我已经躺下了,136
明明他是最努力的那一个，教练为什么却一直盯着他吼他，因为教练眼里看见了自己的过去，看见了孩子的未来,92
开始我一直在笑，后面我开始心疼，最后我很敬佩他，虽然他年纪小，但真是个汉子。,86
后面小胖已经开始摸鱼了,81
"小孩：杀不死我的只会让我更强大
我：杀不死我的只会让我多活一会",69
希望能奖励下这个孩子吧，感觉他不是觉得累，是真的每一下都做的很认真，小手拍地拍的疼哭的。[难过],66
馆长吧，声音里透着一股霸气,52
这小孩每一个动作都不敷衍，虽然最后哭得鼻涕眼泪一把一把的，但他的动作是镜头所至几个小孩里最好，最流畅，也是做得最认真的。这样既努力不敷衍又有天赋的小孩，只要坚持下去一定会成功的！,47
虽然哭，但每一下都很实在,42
这个真不算多累，最基本的基本功，最累的是拉体能，练身体素质。而且这个乌龙盘打最难受的不是拍的手疼，而是连着做手会充血，最后手背上全是小血点[doge],36
像极了我们十人团副本开荒[大哭],35
夸夸他吧～这孩子就像热血漫里的主角，无论经受怎样的磨练，都永不言弃。恍惚中看见曾经的自己，那个特别认真，特别纯粹的自己，可长大后也变的市侩，混浊，自私，泯然于众而已,33
真的很棒，即使很累，即使很委屈，他的每一个动作都没有摆烂，镜头里就他动作最认真，就算很累都哭出来了也没有摆烂，真的很佩服，我做不到,32
这个是关门大弟子，其他是入门弟子[脱单doge],31
今天这个视频真的让我非常感慨。因为我今年刚刚喜欢上的一位，算不上红的爱豆，他从七八岁开始就一直在武术班里学武打，他其实很少提起自己从小学武术这件事情，哪怕武术对他来说会是一个国籍红利。粉丝也都是从他直播时候偶尔提起，小时候和武打班的师兄弟们相处细节，才能窥到他从小学武术的一面。今天这个视频，小孩哥这个倔强的眼神，真的让我一下子好像看到了，这位爱豆能为武打比赛，练到动脊椎手术的那一面。所以很开心能关注这位up主，靠阿婆主去想象这位爱豆，更鲜活的武术生活。,27
小孩儿哥好坚毅呀！[打call],26
