comment,like
已经是一种新艺术了，是结合了电影，动画，雕塑，建筑，音乐，电子科技的智慧和意志的结晶了,3180
实际上各大公司已经反应过来了，订阅制的前景并没有那么好，你以为玩家会一年12个月固定付费，实际上越来越多的人只会有想玩的游戏入库后才会交一个月的钱，这就让收入变得没想象中高以及很不稳定，可想而知一旦缺少优秀游戏订阅就会快速下滑，而想让优秀游戏首发入库又得分让出更大的利益，因此订阅制的未来充满了不确定性,1650
小lin能不能评价一下字节跳动退出游戏行业布局这件事呀,1407
"看视频里提到了电子竞技，说它还有比较好的发展前景。这个我绝对持反对意见，甚至我觉得电子竞技基本已经到头了，很难再有大发展。
电子竞技的问题真的很大，首先它的规则就比传统的体育赛事复杂，也就是观赛门槛更高。而且在本身就具备更高观赛门槛的情况下，游戏还会不断的打补丁，不断的版本更新，导致观赛门槛进一步提高。并且电子竞技的变现模式对比传统体育来说，还要更难。
国内也曾经有过一段时间的电竞热，但是很多人砸了很多钱之后发现根本没有变现渠道。这股热潮在19年20年左右就退掉了。资本已经下场用大量热钱尝试过了，事实就是电竞这东西根本抬不起来，终究还是小众市场。",1028
这个视频看着心里就难受，本来是毕业想去进入游戏制作行业的，但是这行业工资低的离谱能力要求也高，工作量还大加班严重。视频里展示的欣欣向荣但是实际到从业人员并不太好,944
补充：游戏还可以通过传播意识形态等，潜移默化深刻影响玩家的世界观价值观，也可以作为政治工具。,853
20年前叫电子海洛因，现在叫新经济增长点。[吃瓜][吃瓜][吃瓜],783
游戏不仅仅是娱乐，更是你们人类探索自我和理解世界的一种方式。我相信，游戏产业影响下的未来，会是既浪漫又充满着可能。愿这个时代的人类，能永远好奇，永远梦想。,769
看完想起当初中国禁游的那段时间，称其为电子海洛因。现在回头看，才知道当时是多么的短视，限制了那么久的发展[捂脸]现在的虚幻引擎在元宇宙的地位就像微软在pc的地位一样，而经由过去扭曲的限制所产生的中国游戏巨头tx也只会并购而不具备开发的核心能力,582
游戏产业是一个快速发展的行业，全球规模超过2400亿美元。巨头公司如索尼和任天堂通过游戏机和订阅服务构建了生态系统。腾讯通过投资和游戏内购模式取得成功。Unity和Unreal Engine是主要游戏引擎，具有巨大潜力。云游戏是重要趋势，微软、亚马逊等公司在该领域竞争合作。游戏产业不仅是娱乐方式，还与科技交融，对社会具有影响力。,384
"补充2点疏漏：
1. 游戏的平台部分起码有Steam要提一提，移动增长部分周围有一个PC的份额，是超越主机的存在，即是Steam为主。
2. 网络与手机游戏的崛起还关联着一个重要因素，即高变现能力，ROI，也因为此价值的存在，使它盘活了互联网的“流量变现”途径，这也就导致了，大量流量向游戏的倾斜，变相影响了网络与手机游戏的大规模普及。",383
腾讯不是游戏公司，你说天美，光子这些工作室是可以是游戏公司，但是腾讯不是，腾讯应该是一个围绕文化领域开发的金融公司。[doge],301
不知道大家有没有这样的一种感觉，游戏虽然种类多了，画质也好很多了，但是很少有一款游戏能让我着迷了。想当年，一款游戏就能让我一次性熬上数十天的夜。（个人观点）,194
"游戏专业研究生在读的偏图形学程序员来说一下，小lin的科普还是比较全面和用心的。外行的观点不代表就是瞎说，“内行”能换个角度看问题也是很好的。

小lin的角度是从更宏观，经济的方向出发，赚不赚钱是用数据说话，虽然和深度玩家的体感和心之所向有出入，但这也是科技和经济发展的趋势，不得不承认和思考。

还有提到了epic的虚幻引擎5，实时光线追踪和全局光照技术，以及基于屏幕空间的渲染，都论证了小lin的观点和核心，经济，科技（学术）和游戏确实是相辅相成的，就像siggraph（最强图形学学术协会）的文章和GDC（游戏开发者大会）的talk总是会有多多少少的重叠。",186
"电子游戏产业是高科技产业最好的展示平台，没有之一！

一说到一个国家如何展示自己的科技水平，如何让老百姓真切的感受到高科技对于生活中的影响，电子游戏产业无疑是最佳的展示舞台。通过那些越来越精美的画面，那些越来越生动的NPC，人们会深刻理解，究竟什么事高科技~[脱单doge]",171
文案写的真好，简洁明了，如果有觉得视频里不够专业的业内人士，更希望能指出哪里有错误而不是只发出居高临下的质疑[微笑],167
"作为前职业选手给大家说一句：游戏不等于电子竞技也不等于游戏产业。
作为在电竞行业闯过的人奉劝一句，千万别用电竞来为你的网瘾行为进行诡辩。
还有腾讯也在布局，比如云长城，一比一在虚拟世界还原长城。随后越来越多的历史古建物都将会在虚拟世界里恢复。",134
讲的真的很好啊 给外行人讲明白了。科普就是这样子的啊 类似于咨询公司，给行业外的的人捋清楚，而不是追着一个点细究。不明白有些人还在说深浅问题，那不如自己去攻读博士来得实在，着实搞笑,131
