comment,like
三傻大闹史来屋那个弹幕给我笑吐了[笑哭][笑哭][笑哭],7281
花絮观后感：我们只是观众，，哥们有点越界了，，，,5973
我们至今不知道去韩国一趟王哥囤了几个视频[脱单doge][脱单doge][脱单doge],5698
我觉得老板一直在期待他们接受不了的反应，结果某幻每一个都竖大拇指哈哈哈哈哈,4284
坐等北子哥新视频跟踪你们仨,4193
山东吃史大王这个弹幕给我笑傻了，谁发的这么有才[笑哭],3894
来咯，我正好在蹲坑[傲娇]正好闻着味看,2270
"马老师
连红鱼都可以，为什么鱼腥草——
马老师！！！",1996
为什么中韩通用语言是日语啊哈哈哈哈[笑哭],1877
"王哥去一趟韩国拍了300个vlog
幻哥感冒都好了感冒时的视频还没发完[OK]",1737
贴心王瀚哲，知道是饭点，专门发出来，他真的，我哭死，说实话马老师是懂描述的，一下子画面丰富起来,1632
"马哥：我blue了！（宠溺）
茄哥：不录了！（宠溺）
憨憨：嘿嘿嘿嘿嘿嘿嘿❤️",1620
北子哥没尝到真是太可惜了[脱单doge],1551
给魟鱼单独开了一期，可见留下的影响有多深[妙啊],925
最近看了我是大哥大，两个男主越看越像某幻和番茄，连颜色都一样，一人血书求翻拍[打call],715
中文和韩语无法沟通的时候，可以折中一下，用日语[doge],501
其实我一直觉得我能接受这个鱼。。。因为高中我是化学科代表，上制氨气那节课的时候我去收拾器材，洗试管的时候把旁边装氨气的U形管（应该是）塞子打开了，我脑子跟抽风一样跑去凑闻，我感觉人生都通透了[惊喜][惊喜][惊喜][灵魂出窍][灵魂出窍][灵魂出窍],199
以为穿越了（不是）反复确认多次才点进来（,181
平时看boy视频都是下饭看，这回蹲坑终于也能看了,159
某幻是不是真吃过史啊 我看他很有经验的样子[脱单doge][脱单doge][脱单doge],151
老板：最不好卖的部分这一桌全解决了哈哈哈,137
马哥女团级表情管理,132
哥几个梦回怪味豆[doge],129
"一、一群人去吃韩国最臭的红鱼，其中有些人觉得很好吃，有些人则受不了那个臭味。同时，他们还点了其他菜品，包括猪肉小鱼制作的小汉堡。
00:17 - 讨论吃过最臭的食物，有人吃过腐烂的尸体和长沙臭豆腐。
01:18 - 点单时要向老板强调要最臭的鱼，但菜单看不懂。
02:50 - 尝试韩国最臭的红鱼，其中一个食客觉得还挺好吃。
二、一道美食的制作过程和味道描述，其中包括臭猪肉和鱼肉的搭配，以及吃进嘴里的感受和回忆童年的体验。
03:04 - 吃到嘴里全是酸的，一股臭味在嘴中炸开，让你反应不过来
04:09 - 整体的味道是偏咸的，但吃下去还行，后面慢慢有猪肉味和鱼肉味
05:10 - 这种感觉就像小时候在农村的旱厕里吃了口屎，建议大家体验一下
三、一位顾客在餐厅用餐的经历，包括对鱼竿、鱼汤和米饭的评价，以及对红鱼的科普。顾客表示有些菜品口感像屎，但整体还能接受。
06:00 - 气味有点臭，但勉强还能接受
06:55 - 鱼汤有鱼腥味，适合喜欢海鲜的人
08:48 - 红鱼的味儿是因为它没有排尿系统
四、一个人因为尿液无法通过膀胱排出来，只能通过皮肤排出，提醒大家不要憋尿，同时视频结束前还开玩笑说要拍吃屎的视频。
09:02 - 不要憋尿，因为他的尿是从皮肤排出来的
09:02 - 尿尿的颜色和气味都很恐怖，不要憋尿
09:14 - 更新视频内容，拍些吃屎的视频，叫我们两个吃好吃的都不叫吃，好吃的不叫兄弟
--本内容由AI视频小助理生成，关注解锁AI助理，由@剑柔情 召唤发送",124
这么看小马表情管理可以，吃完面部表情毫无波澜哈哈哈[笑哭],121
世界名画,112
不行了啊啊啊啊我要做成动图（）,80
“观众看着我的视频下饭边吃边说真香”,61
来的路上三个Volg我都不嫌多[doge],59
给大家看看昨天我在广安里吃的（fbb同款店）特别好吃,46
马哥的味觉系统太牛了 我的天啊，感觉是能面不改色吃鲱鱼罐头的人,37
总结:吃💩不能太干，得带点汤[doge],37
说哦依稀老板还秒懂的那一刻我真的笑喷了哈哈哈哈[大笑],32
来的路上三个volg都不嫌多,31
"看视频之前：好耶！下饭视频[打call]
看视频时听了某幻的奇妙描述之后：我真是谢谢你啊，马哥[藏狐]",28
怎么感觉马哥是那种，其实觉得还挺好吃的，但是大家都说臭他要附和一下的感觉[脱单doge],24
马哥你好像真的很能吃史的样子[哦呼],24
三位美食家来品鉴会员制餐厅的珍贵影像[支持],21
今天中午吃的可乐鸡块饭直接就着王哥的视频吃,21
真的好社牛，我都不敢想语言不通我会多么尴尬,19
某幻女团级的表情管理哈哈哈哈哈哈哈真的没什么反应[辣眼睛],17
整活三人组[吃瓜],17
感觉老番茄吃完魟鱼表情炸裂的能把鼻孔扩大10倍[妙啊],17
哥仨又一起吃哈,16
谁说的旱厕三结义哈哈哈哈哈哈哈哈哈哈哈,16
感觉像再看会员制餐厅，特别是老番茄那表情，有德川几分神韵,14
我在吃午饭，哥，看见视频就点进来了[藏狐],13
谢谢老番茄让我由I变E,13
吃播这种形式好爱看，正好是饭点[喜欢],11
马哥偶像包袱真的重重的啊啊啊一举一动就很那个 还怪可爱的,11
我梦到某老师和我一起去吃饭 他点了份面条叫“番茄叫爹”…… 他还从头笑到尾,10
勇士 你要知道在我们同学间这玩意是用来当惩罚的[脱单doge],10
不方便去韩国的，是不是找个旱厕直接炫一口就能体验了。但是天儿太冷旱厕都冻住了，不好咬啊。,10
"啊啊啊啊三兄弟携手在旱厕结义笑死我了
古有刘关张三人桃园三结义，
今有茄马猩三人旱厕三结义[OK]",10
软骨鱼血液里都是尿素，氨水味特别重……,10
這個視頻我都不敢放收藏夾，怕把我收藏夾給熏臭了[委屈],10
观后感：你们三别yue在我手机里,10
还得是boy 啊，韩国不虚此行，这么多选题[笑哭],10
《从百草园拉到三味书屋》[脱单doge],8
我是怎么做到看完这个视频吃完饭的,7
使命必达鱼腥草随能给个链接啊啊感谢！[饿了],7
饭点发，哥们别太贴心了[微笑],7
省流:《史遇记》,7
某幻这个外套好好看啊喜欢,6
我靠我在韩国吃过这个!我当时打赌一口气吃了三个，直接回去路上就晕了[笑哭]，精神恍惚，我朋友还打包了一路上闻那个味好几次差点哕出来，给别人吃人家都不吃最后扔了,6
看来这是一期有味道的视频[tv_doge][tv_doge][tv_doge],6
在自习室憋笑憋的难受，太搞笑了这期,6
某幻哥好能接受事物 第一个吃还能表情管理 mygod,6
时间线紊乱了兄弟们 我以为吃💩这一期永远不会发了,5
不是，某幻这期怎么这么像个妹妹[哦呼]，我都想用漂亮这个词了,5
谁说的最臭的是对家的饭……我要笑晕了,5
"“是发酵的味道吗?”
“是”
“尿是从皮肤上排出来的”",5
怎么在韩国的视频都这么精彩哈哈哈哈哈哈哈,5
某幻：面露难色(最强硬撑王),5
这期别在图书馆看。。。笑得停不下来@吲哚乙酸の 哈哈哈哈哈哈哈哈哈哈哈哈,5
"兄弟们可怜一下我们三兄弟
喜欢这期视频的话就多点点赞吧",5
这期超好笑看在都旱厕三结义了必须三连[打call],4
这期好好笑哈哈哈哈哈那个旱厕小动画太形象生动了哈哈哈哈哈哈,4
省流[doge],4
某幻竟然来韩国了[脸红]不过这个鱼真不是一般人能顶得住的[妙啊]本地也没几个爱吃这个的,4
哥们怎么掉粉了,4
我好像错过了和BOY见面的机会🌚🌝,4
救命，那个动画也太形象太有代入感了[灵魂出窍][灵魂出窍][灵魂出窍],4
想起来我一个哥们他跟我说过小的时候掉进化粪池被他奶奶捞上来的事[doge]刚好他去过韩国留学，想问问他吃没吃过这玩意[doge],4
