comment,like
所以才是“庸与神”啊，真理自称庸人，阮梅想成为星神,14524
所以阮·梅之所以给开拓者某一星神的全部祝福，是在测试是否有人能够完全拟合甚至成为某一星神[思考]原来如此,6382
21世纪是生物的世纪[doge],5249
"阮梅：我卡池来了😌
真理：我免费来了[妙啊]",4549
理解模拟宇宙里阮梅切片说“黑塔很像知己，但总的来说，我们没什么交情”这句话的意思了，天才俱乐部只是因为欣赏彼此的科研才华才聚到了一起，表面天天一起开发这研究那，只是搭伙办事，看着像朋友但其实够不上友情，天才各有各的追求各有各的野心，之前在模拟宇宙里就觉得阮梅姐有点神的那种感觉，我给你好东西是因为我会给不是因为你是谁那种疏离感，“给点奖励就会很开心”她是会拿捏小白鼠的[委屈],4240
这一帧，好美啊,4048
你怎么知道我家腊梅开了！[星星眼],3424
阮·梅成为星神后，模拟宇宙新增「阮饭」命途：开局获得任意命途所有祝福[doge],2532
"看pv之前:真理义父这种学术大能为什么进不去天才俱乐部呢？
看pv之后:看来天才俱乐部的门槛确实有点离谱",1930
所以说阮梅大方的本质，实质上是看透根源的淡漠与无动于衷。这样的话，阮梅的话虽然听起来可能有点疯狂，但从认知的角度来看，阮梅确实具备了一定意义上的神性。,861
"当你窥见“神灵”秘密的一角，掌握凡人的知识对你就像呼吸一般简单，坐卧行走间总能迸发数不清的灵感。
然而知识追逐人智，黄金般的点子也是会压垮灵魂的畸瘤，不受控制的好奇心会驭驶躯壳冲向无路的悬崖，意识的形体会被无穷的答案扯碎。
但总是有有情之物的疯狂甚于无情的真理，她要凭自己的眼直视树的顶端，海的底渊；她会有一点恐惧，那是凡人的肉体在直视神灵；祂总是觉得好奇，那是无法描述的灵魂在拆解谜题。
她不在乎后果，祂只是有点好奇",860
0:56 出现了3种结构，腺嘌呤、尿嘧啶、胸腺嘧啶，也就是A- U/T，没有C- G。,741
很奇怪 明明有中式新旗袍 苏州评弹 毛笔字 园林 我却觉得软妹这支视频是崩铁目前所有视频里最科幻的一部，bgm有点无垠太空的感觉 又有点halo的感觉，很有史诗感，却又暗含国风元素 是一种很奇妙的体验。[给心心],605
这一位富有慷慨的小姐，你就是我一直寻找的纯美吗[脱单doge],600
贴一下我给阮梅写的诗[给心心],516
没想到，本来以为阮梅是那种轻飘飘的妈妈型角色，没想到居然是这么有野心的角色，那副平静毫无波澜的绝色面容之下，居然是那样磅礴的求知欲与企图掌控生命奥秘的野心，这下子不得不更喜欢了[脱单doge],422
01:52 好美的一幕😭可以当壁纸的程度😭！！,358
嗨Hi~ o(*￣▽￣*)ブ,237
还好我暂停得够快，大家放心，列车组全员都没事[doge],82
谁闲着没事把碱基都找到了啊[崩坏：星穹铁道_吃瓜ing],23
好可爱……,1
