comment,like
啊啊啊啊啊啊啊狼崽厨突然吃到了国宴[大哭][大哭][大哭][大哭][大哭][大哭],4812
好喜欢，而且转换了之后都好萌诶，大人好会画，请和我结婚🌹😭💍,4271
看到最后那个派蒙突然发现，是之前画派蒙╳申鹤的太太！画的派蒙贼可爱哈哈,2229
狼崽女仆是好文明，使我的班尼特旋转，爱来自江边的苏轼[打call],2114
这玩意究竟该放原神收藏夹还是绝区零收藏夹呢？[疑惑],1551
哈哈哈好有趣的想法！嗯，想在提瓦特见到兔娘！,1253
比利配音不是一斗是万叶友人的配音[妙啊],1096
这可真是法厄同进壶，邦布住了,807
一脸这是啥的雷泽,326
为什么大家会下意识以为是按声优换的角色呢[思考],249
辛巴（确信）[暹罗猫小豆泥_呆滞],239
弹幕:我们突然重逢，太好笑了救命[喜极而泣][喜极而泣][喜极而泣],183
绝区原启动！,146
00：45 画面一转切到派布实在没绷住[doge],144
空空你是一只穿越异世界的帅气宝贝[洛天依][洛天依],104
谁说的《我们突然重逢》哈哈哈哈哈哈哈哈哈哈哈哈哈我服了空厨笑晕在电脑桌上,98
雷泽变成女仆长的那一段真的绷不住了。[笑哭][笑哭],79
感觉派蒙是幕后大boss哈哈哈,79
好有新意啊，很厉害👍🏻,50
果然比利对应一斗哈哈哈哈性格和声音都很像,38
哈哈哈哈哈哈看来我也抽中了绝区零资格，只是内存不足合并原神里了,32
都说一斗和比利cv不是一个人，为什么没人说主角兄妹，内容怎么看都是跟着第一印象来的吧[疑惑],26
好帅的空和荧啊[星星眼],25
好帅的空哥啊啊啊啊啊啊啊啊啊,25
"Mhy程序员，哎呀发错人物了，不过我喜欢[doge]
大伟哥，我也喜欢.....你炒鱿鱼的表情[doge]",19
看见女仆雷泽惊到了，再看一遍原来旁边还有诺艾尔哈哈哈哈哈想不起来好淡定,14
所以，魈是和谁换了？！我认不出来[笑哭],14
变得是那么的出乎意料又合情合理。[doge][笑哭][笑哭],12
哲成男味儿有点太高了，没有少年感,6
能者先赏！！！！[星星眼][星星眼][星星眼],6
老米看到没，赶紧自家联动多搞点@原神 @绝区零,5
"小陈严选甜点
看了会变开心的视频哦



心理暗示ing",5
带狼崽的都是好文明啊啊啊啊啊啊我一个大吃特吃！,5
草，怎么这么搭配,4
可爱捏,4
〇（ling）确实是零[吃瓜],4
局部坏死,4
[星星眼][星星眼]哎呀就喜欢这种热热闹闹团建,3
画错了吧 猫右的脚是猫的脚不是人的,3
老师画的空空每次都好好看呜呜呜,3
换了衣服，大家也很可爱！,2
@玄了ovo 直接大结局 小子,2
我有崩坏 原神 米哈游  音乐会生日会精选 四个收藏夹 根本难不倒我[原神_生气],2
太草，画得还很好,2
好活  投,2
派蒙啊啊啊啊啊啊啊喜欢！,2
@一般的咕咕咕 @头像开始痛苦面具,2
太牛了，高技术力,2
@Alllumineeee,2
卧槽做的真的很棒啊这个！,2
画的太棒了[惊讶],2
@绝区零 @原神 零宝原宝来看好活了[脱单doge],2
蛙趣！还挺帅的撒！[星星眼],2
为什么给我一种，下一秒某个角色就要被处决了的感觉[尴尬],2
声优梗诶？,2
"愿风神护佑你
愿岩神守护你
愿雷神祝福你
愿草神铭记你
提瓦特的星空永远留有你的名字
星辰间的列车永远留有你的位置
高天的神明会引你走向往生",2
两对兄妹 狂喜！,1
绝区O神[doge],1
[崩坏3_星星眼][崩坏3_星星眼][崩坏3_星星眼][崩坏3_星星眼]我现在就要玩绝区0！！！@Julysat,1
@ennnnnnnnQ,1
“你醒啦，手术很成功”[崩坏：星穹铁道_wink],1
@凩归e @rin_515 好活！,1
[桃源_给花花][桃源_给花花]好看耶，作者大大多来亿点,1
@鏡明叶_,1
"就你们能玩绝区零？我也能！

……？什么盗版！O也是零！！",1
@是枝枝哦 宝你看看这个,1
这个脑洞真大，怎么没上热门,1
帅[支持][支持][支持][支持][支持][支持][支持][支持][支持][支持][支持][支持][支持][支持][支持][支持][支持]太棒了,1
趁火之前，点个赞先[脱单doge],1
看到狼崽穿女仆装了🤤🤤🤤,1
绝区神,1
飞行矮堇瓜爆改遁地铁兔子,1
这个我是真喜欢[星星眼],1
有没有绝区铁的版本[doge],1
哇啊，这个脑洞好有趣！没看够啊！再多来点儿[星星眼],1
双子重逢了[doge]这下直接大结局,1
有点像弹丸论破,1
@遇芸芸芸芸,1
雷泽你，好优雅,1
一股弹丸的味,1
这是7.9万粉能整出来的活[脱单doge],1
双厨不知所措:i,1
雷泽那一段我还以为绿头发的要变爱衣休伯利安了[doge],1
挺有意思的，哈哈(￣▽￣),1
@ou友也丶老翁,1
好有趣[星星眼]up画的好可爱，好喜欢画风,1
好活,1
绝世好活，求在带上星铁玩一波[给心心],1
迪:？,1
我需要知道bgm是哪个pv里的，好耳熟呜呜可是我忘掉了,1
这群人里就派蒙最淡定[喜极而泣],1
好活当投[脱单doge],1
异…异世相遇？,1
我去！点进您的主页发现好多都是我非常喜欢的视频！！天呐果断关注了期更多二创呜呜,1
@gvdudjdn,1
vocal@7钱从四面八方来7 @瑾色素,1
这个二创，这个脑洞，绝了[打call],1
【欢迎娜维娅小姐！！！-哔哩哔哩】 https://b23.tv/VZcuDNm,1
《我们突然重逢》空荧瞳孔地震哈哈哈哈哈哈,1
太强辣！！！！！[大笑][大笑][大笑]我就说怎么这么眼熟，一打开主页是长生let me do it for you哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1
@王伦凯 @肉球手是手帐er @青叶成秋,0
不错，送你两个圆圆的东西,0
DNA已经量子纠缠了[doge],0
绝原！启动！！,0
[脱单doge]一斗不会开车所以把车开炸了，因为提瓦特就没有车，说到顶提瓦特最多出现马车，不对，马也没有[doge],0
雷泽啊啊啊啊啊啊啊啊啊啊啊好可爱,0
[脱单doge][脱单doge],0
老师好神！！！！[星星眼],0
可以,0
非常好的视频[FGO_耶],0
