comment,like
"建议置顶[妙啊][抱拳]
相信大伙的实力吼[大笑][大笑][大笑]",4183
你怎么知道我恰好抓住了来录制的Tim,2431
"我陪我妈咪去医院做胃镜检查，她也是选择做麻醉
但她真心的佩服选择不打麻药的好多患者（毕竟不打麻药的检查费要比打麻药的便宜了不少）
但同时也说了做胃镜检查打麻药是很害怕的，就怕打完麻药之后，万一出现什么意外，再也醒不过来[大哭]",2216
@影视飓风 提醒tim一个冷知识:麻醉医生其实不是特别喜欢外人称呼他们麻醉师，更喜欢叫他们麻醉医生,2174
作为消化搞了20多年的老医生，这宣教的视频做的很nice[支持][支持],1454
[脱单doge]做胃镜的睡的那一觉，是我人生中最舒服的一觉，比喝了红茶还要昏睡,1283
鄙人就是内镜室医生[doge]，也自己做过不打麻药的胃镜，很酸爽，但是只要有点毅力，一般都是可以耐受的,1238
说实话我真的完全不知道被抓走了肉，直到看到素材之前都以为他们在和我开玩笑。[脱单doge],930
医学生爱看[星星眼],738
我做过普通胃镜，全程就是那种扣嗓子眼的干呕[笑哭]大夫都急了，说你别呕了，镜子看不清了[喜极而泣]全程倒是没有怎么疼，不过老那么呕确实很难受，呼吸很受影响。好在身体没什么问题，只是轻微的慢性胃炎，不过还是注意少喝酒，别抽烟。胃伤了真的很难受,483
在消化科轮转的时候拍的[doge],480
我做那一次胃镜就只喝了个药麻痹嗓子的，当时感觉就像被人伸候了一样，口水流的到处都是根本停不下来（嘴下面有个盘子接），能感觉到有什么东西在肚子里乱动（而且胃镜之后很长一段时间都感到胃不舒服），然后就是喉咙被塞得满满的，一咽口水疼的要死，但你一直留口水又忍不住的要咽。整个胃镜做到最后感觉就像被玩坏了一样，流着口水瘫在床上一动不动,472
小麻路过[doge],453
有一种痛叫做看着都痛[doge][doge][doge],383
