comment,like
"这次的故事....怎么说呢
说娟和绫乃残酷无情呢，但是看到后面确实有点被感动到
不过我觉得万恶之源果然还是娟吧，娟对绫乃的爱真的很扭曲，为了绫乃杀了自己的父亲，为绫乃找“解药”的姐夫，间接害死了主角的母亲，但也说不清楚娟喜欢的到底是绫乃还是只关注自己一个人的“绫乃”呢
（所以你两一开始就在一起不就没后面这么多事了吗（）",5540
绢的情感一直太病态了，不管是对佐一还是自己的姐姐，整个故事最心疼绫乃和被杀的父亲……,3603
可不可以理解为最后能够站在阳光下的绫乃从以前那只只能被关在笼中的家蚕终于变成了野蚕，她也许恢复了神智，也许终于释怀，飞出牢笼，也放手让最爱的人离开,3250
绢是真的有毒啊，她这就是为了一己之私，害了姐姐，杀了自己的父亲和丈夫，害死了结，包括凑，她应该也根本不想见，虽然说如果绫乃一开始就和绢内部消化不要去祸害任何人很好，但如果绢这个人一开始就根本不存在，不是就所有人都能得到幸福了吗嘻嘻,2312
"那个鬼不是不能见阳光吗？最后是站在阳光下了吧
，意味着什么？",1439
有个官方整活结局，主角被UFO接走了，绫乃还挥手告别了[笑哭],1211
"关于蚕和蚕茧:
开水烫蚕茧取蚕丝是有历史的。我国作为丝绸的发源地，是最早利用蚕茧的国家，由于儒家文化的盛行，人们认为剥夺了蚕茧的蚕丝，还要直接把蛹弄死是一种十分残忍的行为，所以当时的蚕农取丝是活取的，但事实是，这样取蚕丝不仅效率底下，取到的蚕丝质量也差，而且在取蚕丝的过程中往往会伤蛹，这些蛹也无法变成成虫。而周边国家从我国学习了养蚕技术，他们发现茧收获后烫死取丝更加好操作，收获的蚕丝质量更好，这一进步一度让周边国家的丝绸价格更低质量更好，超过我国。丝绸商吃了亏，也不矫情地要求蚕农活取蚕丝了，从此烫茧成为蚕茧处理流程中的关键一步。
以上内容来自于我在南方旅游时的见闻，忘记具体是哪里了，好像是乌镇？",906
我觉得其实用茧姬的故事作为线索很有趣。。。。因为故事里面的妹妹就是因为嫉妒所以害人，完完全全的恶毒。我觉得其实这也是隐喻绢对姐姐的情感，就算没有佐一也可能因为别的原因害人。所以可能我觉得这也不算病娇。。。。就是完完全全的恶人不想让姐姐恢复原本的容貌，就算理智会丧失。想扼杀掉姐姐可以回归到正常生活的一切可能，死了都不放过她,779
奇怪，并不感动呢，始终无法理解妹妹的做法，如果姐姐存在理智知道妹妹杀了那么多人不一定回原谅妹妹，感觉妹妹并配不上姐姐的感情。,616
姐姐对妹妹是真的爱的深沉了，但是娟，即使到最后，我也不认为她真的爱她的姐姐，她只爱自己，她病态的依恋着姐姐罢了,584
"相关游戏：茧中蚕
游戏的人物确实有点多，想了解更多细节还是希望观看完整实况或者亲自游玩体验体验哟
喜欢的话记得三连关注，感激不尽！
三连速度=更新速度！！
*请各位朋友务必不要在片尾歌曲歌手的评论区刷我，这样会对歌手和他们的粉丝造成困扰的，感谢！如果有看到刷名字的，请直接举报*",554
后天考试了，现在是休息时间[doge],485
"这游戏一共四个结局 一个是视频里的 主角忘记一切 选择隐藏身份成为人类 蚕妖受到致命伤之后就再次结茧 变成原来的蚕妖本体 主角奶奶的姐姐应该就是之前在山上和这种东西融合变成的怪物 
二就是主角放过被压在石头下的奶奶姐姐 和父亲断绝关系 继承了奶奶的事业 继续喂养怪物
三就是找到一个隐藏钥匙 打开一个隐藏房间 找到了奶奶父亲留下的 虚无 虚无能让怪物变回人形 同时让奶奶姐姐的灵魂消散 但最后奶奶姐姐的身体还是遵从本能把男主杀死了
第四个结局是男主带上一个隐藏帽子 通过一个有UFO符号的壁橱去到院子里一个有麦田怪圈的地方 男主被UFO带走（这个时候奶奶的姐姐也会带着帽子和男主挥手告别 如果之前你捡的鸡蛋没吃 会孵化出一个小鸡 把小鸡放出来 带到麦田怪圈这 小鸡也会一起被带走）
彩蛋 如果你一开始把院子里的三个坤坤杀死 会有一个超大型坤坤无视地形追杀你 镇上电线杆上有个电话号码 打过去会触发一个都市传说 人偶在每次打电话之后离你越来越近 最后到你背后（以上都是个人整理 有错误请随意指出）",427
绢太变态了，为了得到佐一害姐姐，又为了得到姐姐害佐一，父亲，结，还有姐姐，一切悲剧的起源，她其实只爱自己。,343
等下，我也有口渴的毛病，我……啊？,286
看完过后真的是有一种莫名的想落泪的感觉，感觉绫乃和佐一以及久兵卫真的是好温柔的人啊。绫乃至始至终都爱着娟啊，她不知道娟为什么会莫名其妙讨厌自己，但是她却一直觉得是自己是不是哪里做错了而对自己的妹妹（更是心上人吧）很愧疚。当时被遗留在深山，她当时也已经很绝望吧。但是为了妹妹啊，绝望也好变成怪物也好，妹妹离世也好都为了见她一面。最后忍受阳光的灼伤瞭望妹妹的墓碑那里真的绝了。佐一也是，比起死亡他应该更在乎的是心上人的安危吧，同时对她的妹妹和女儿也那么好，已经将结当成自己的宝贝女儿了吧陪着她喝血温柔的告诉她不是怪物，最后被娟推下去之前帮娟找东西时询问的语气也是温柔的，难怪会被选为未婚夫啊，有责任有温柔的男孩子值得让一位父亲觉得可以将自己的女儿托付。还有久兵卫，也真的是一个好父亲啊，一个女儿变成了怪物他一直都没有放弃她，死在长女的手上，他最后应该也是对长女的愧疚大于恐惧吧。只能说，娟的爱太自私自利了，她的出发点在于谁对她谁让她感受到被爱她就喜欢谁，但是这太病态甚至是自私了。比起另外三位的爱，她的爱真的……而且一切的悲剧都是因她而起也真的同情不了她。,281
完美结局应该不是虚无，吃了虚无虽然恢复了人形，但属于人的那部分彻底的死亡，变成一个拥有人类外表的怪物,201
姐妹两个的名字，绢和绫，都是由蚕丝制成的，也就是说两个人与蚕的关系从一开始就埋下的[跪了],175
勒痕这种外伤不是一个最先发现的吗？为什么都等主角来了一天才检查出来[笑哭],167
作为路人，感觉最后一幕好渗人。首先，绫乃杀不死（之前被阳光灼烧后几天就恢复了，喝毒药，被都恢复如初了）。而且绫乃已经失去了人性，绢已经没了，这代表绫乃唯一的牵制也没有了。而且还不是被关押起来的，那饥饿之下，会不会离开这个村子，开始吃人[灵魂出窍],141
[大哭][大哭][大哭][大哭][大哭]看到最后被姐姐给感动到了，弹幕的一句“她忍受太阳灼烧的痛苦也要来看她”给整得差点没哭,141
一边是害死荣治的妻子罪魁祸首，一边化身怪物的却救下外孙又是凑的亲姥姥，不知情的荣治是否会救下害死其妻子的凶手，而凑面对着追杀自己却又救下自己的姥姥，是否又会痛下杀手，帮其解脱痛苦了？请收看下一集，娟死、绫灭,118
我看解析说那个外星人结局才是真结局[笑哭],109
某种角度上的燃冬，但故事比那玩意儿好太多了！,104
