comment,like
感觉小砍应该更早正式加入的 效果很好诶 虽然说的干货不多 但讲话的节奏很入耳 很自然,5483
key的视频看着就是有一种奇妙的舒服[喜极而泣] 也说不清楚哪里好，反正就是观感很舒服哈哈哈哈哈哈哈[给心心][给心心],3943
节目效果的话？提个小意见啊，只是我的意见没有别的意思，可以专门找一些花絮或者使用过的视频拍完的镜头来讲解这时候用的什么科技或者别的什么，又或者说跟视频里面一样讲一些因为设备发生的小趣事什么的，感觉都还不错，这样毕竟既满足了内些想看花絮和背后故事的观众，又满足了想看解析科技的，感觉可能来粉更快吧，虽然只是我的小建议[脸红][脸红],3781
感觉分区的话还是key适合科技区，皇哥有点燥，可能适合以后和小傲去探店、拍公司日常vlog什么的，犀利的话感觉可以是果宝特工里面“小果丁”的人设，就是那种平时没啥用甚至人人可以吐槽的倒霉蛋，但是两面派帮着羊头人压榨小潮什么的（我在说什么）,2756
解释一下阵列:等于全公司文件都在一个盒子里，所有的电脑都可以访问，这也是马哥直播在楼上建文件夹，楼下key立马能找到的原因。这个当时我看到，真的震惊到，因为这个真的很花钱，相当于在家里建机房[灵魂出窍],1745
没想到小潮team光设备就花了这么多的经费！数码区的Key！[打call][打call],1624
我推荐砍爷买个这玩意，按下红色按钮就会一直喊“key！key！”,1448
这个不该海皇子来做吗[doge],1261
把后期流程好好优化一下吧，从文件管理开始～最好找影视飓风取取经，这样不仅能提高工作效率，减少各种突发情况的发生，还能让团队更好的投入到创作中，而不是被各种的情况，弄的身心疲惫,896
给team提个建议，这么多设备可以招个IT，然后架设公司的NAS来管理公司的一些重要资源，这样也能方便不同设备之间的数据共享，专业的IT也可以对设备维护，可以很大程度避免所有重要资料集中在一台机子上，因为机子损坏导致的财产损失,509
单反和镜头真的超级贵，而且超级沉，我每次背着去爬山都觉得自己是超人，但是回来看照片又觉得太值了...目前还没有背三角架旅过游，太沉了，但是每次拍不出夜景又会后悔,387
科技区的话是不是需要专业性更高，而且风险很大，科级区容易翻车[微笑],373
我觉得应该看不到我，但我还想问一下，羊村2导出的问题最后排查了是哪个的问题吗？素材？硬件？软件设置？我当时看直播的时候就觉得是不是哪段素材有问题，想推荐用编码软件重新编码的,331
哇哇哇刚好在吃饭,183
吼吼吼，坐等羊村,162
砍爷的剪辑真的让我有种小潮team回到以前的感觉，不是咋咋呼呼的搞笑，就是很自然的搞笑[微笑],150
"小潮team设备分享（但是仅供参考）
小马说了点赞到15W就让我拍更酷炫的设备
求求大家多多给我三连啊！
如果这期视频对你有帮助！
别忘了点击收藏！",149
说到设备我就想到了马哥的这一条视频[doge][doge],143
也就是说明天可能会发羊村第三集咯[doge],118
不用的相机能卖吗？@小潮院长  想入手一台二手的玩[脱单doge],106
白板截图,96
小砍口才挺好的，而且表现的很自然，真是做自媒体自带天赋,94
