comment,like
"妖怪：让你们尝一尝修炼的成果！
唐僧：让你们尝一尝工业革命的成果！",2156
专业维修[doge],2097
[doge],1465
"妖怪：这一拳，2百年的功力，你挡得住吗你？
唐僧：这一枪，3000年人类文明的结晶，你挡得住吗你？",1234
98 198 298原来说的是体重啊[吃瓜],771
这四分多钟太漫长了[doge],691
取经速通的话应该云南出发，上午到缅北，下午就到西天。,563
发早了啊，这要是春节发出来，收视率绝对第一,292
太可怕了，每一帧都让我想不到,169
妖怪打到肾透支[笑哭],154
我是巡山小妖，我当时害怕极了[冷],128
我想了解一下up主创作视频的精神状态[doge],84
孙刑者，诛八界，杀务尽,78
很荣幸我看到了这一集，我想说。。。太疯批了。。。这。。这太疯批了。尤其是科目三，很不河狸。。。,63
298那不得起飞了[doge],46
这up主什么精神状态剪的片[脱单doge],34
大师兄，妖怪被师傅抓走了[doge],33
"佛祖:唐玄奘一共经历了多少磨难?
菩萨:造成了九九八十一难。
佛祖:正好，唉不对?造成了?[doge]",31
紧跟时代[doge],30
这实力到了大雷音寺，如来还不得端茶送水请上坐。[doge],16
施主如果听不懂大成佛法  贫道也会一些超度仙法（加特林上弹链）,12
很难想象up每天晚上做梦会梦见什么[doge],12
说归说闹归闹[笑哭]我是觉得枪械，导弹在西游世界是没啥威力的。毕竟你可以想象一下一只猴子，假设这只猴子有三四十斤，用六分之一的光速给你撞过来是个什么后果，然后他手里还挥着一根一万三千多斤的棒子[笑哭],11
喵桑：屁股烫的嘞[热],10
哎呦，要素太多，没点文化底蕴看不懂啊[大笑],9
没看过西游记，请问这是原片吗？,8
"贫僧唐三葬，葬天，藏地，葬众生，这是我几个徒儿大徒弟，孙刑者二徒弟。诛八界三徒弟，杀务尽
《你们三个，一路上都给为师搜仔细点》
《悟空，你跟他费什么话》
《如果施主听不懂大乘佛法，贫僧也略懂一些拳脚》
《速通81难mvp结算画面》
《第七十七回  圣僧力劈狮驼岭  文殊跪保狮子精》
《八戒，退至为师身后》 《把经书捡起来，把经书捡起来》《你应该庆幸那只猴子打得过你》《如来，见到我，为何不跪》
《牛魔王，我不吃牛肉》《你们三个，把马顾好，不然腿给你打断》
孙悟空：我一直活在他的阴影下  那天他一拳打碎五指山 拽出我问我你是陪我去西天还是我送你去西天",8
代驾不，笑死了[呲牙],8
好热[脱单doge],6
不是，你知道半夜在宿舍憋笑有多难吗？[笑哭][笑哭][笑哭][笑哭],6
我这是连了个啥,6
[doge],6
"贫僧唐三葬，葬天，藏地，葬众生。这是我几个徒儿，大徒弟孙刑者，二徒弟诛八界，三徒弟，杀务尽。
《你们三个，一路上都给为师搜仔细点》
《悟空，你跟他费什么话》
《如果施主听不懂大乘佛法，贫僧也略懂一些拳脚》
《速通81难mvp结算画面》
《第七十七回  圣僧力劈狮驼岭  文殊跪保狮子精》
《八戒，退至为师身后》 
《把经书捡起来，把经书捡起来》
《你应该庆幸那只猴子打得过你》
《如来，见到我，为何不跪》
《牛魔王，我不吃牛肉》
《你们三个，把马顾好，不然腿给你打断》
孙悟空：我一直活在他的阴影下  那天他一拳打碎五指山 拽出我问我你是陪我去西天还是我送你去西天",5
把经书捡起来！把经书捡起来！[doge],5
快来踢我，此视频必火，耶稣也留不住他，我说的[doge],4
@芙芙的番茄味通心粉 西游记又称大唐军火展示记[藏狐],3
省流：猴哥被唐僧炸死[doge],3
叹为观止，合理至极[doge],3
[脱单doge],3
这个才是原版的《西游记》吧,3
我怀疑之前看的西游记是盗版的[呲牙],3
旭旭宝宝:玉帝哥哥[doge],3
"女妖精：御弟哥哥吃这个真的能长生不老吗？
唐僧：别说话，继续。",3
[妙啊],2
化个女施主！,2
说出来不嫌弃你们笑，今天是寿星我竟连一碗面都吃不上，,2
好家伙，这魔改的面目全非[呲牙],2
这b站热梗元素周期表啊,2
长不大一样[无语]，开头说要去化女施主，没几秒钟变成整妖怪了，不过后面整女施主了，但是时间有点短，速度也有点快了，再接再厉[脱单doge],2
问下，想完全看懂需要什么学历,2
笑得我乱道馆,2
这集元素过多[笑哭],2
网友的推送真的能刮起一阵阵妖风[笑哭],2
@冰冰戳 原版,2
好活，当赏！,2
好好好混乱，信息量太大了,2
像啊，很像啊(喜),2
时隔多年，我终于找到正版西游记了[辣眼睛],2
唐三葬！孙刑者！诛八界！杀勿静,2
@sunny白天ovo,2
[三木刃-6],2
"施主要是听不懂大乘佛法，贫僧还略懂一些拳脚
孙悟空：我一直活在他的阴影下，哪天他一拳打碎五指山把我拽出来，问我你是陪我去西天还是让我送你去西天
牛魔王？我不吃牛肉
你应该庆幸那只猴子打的过你
悟空，你跟他废什么话，退至为师身后
[doge][doge][doge]",2
真会整活,2
真的是跨世纪的作品[辣眼睛][辣眼睛][辣眼睛],2
梗太多有点耳朵疲劳,2
45秒左右的唢呐音乐叫什么名字啊,2
这不是排行榜第一，我很难接受[笑哭],1
"“女施主我是来取经的”
“臭不要脸”",1
这个词这么改的 还这么滑溜,1
徒弟：妖怪们，你们可要小心咱师傅,1
成份极其复杂,1
妖怪小心听歌……这是什么奇妙的连接？[笑哭],1
我知道你很急，但是你先别急[脱单doge],1
还切纳娘个裸炮笑死我了  [喜极而泣][喜极而泣][喜极而泣],1
哈哈哈[微笑],1
春节档没你我不看,1
如果地球真的突然加速转，我们会晕球吗[妙啊],1
看完后，我的七窍流下了感动的血[委屈],1
要素过多，我要飞起来了,1
有点难以想象作者精神状态,1
好活当赏[热词表情_世萌双冠][热词系列_妙啊],1
真尼玛是剪切鬼才啊,1
唐三葬，孙刑者，诛八界，杀务净[打call],1
"哪有小孩天天哭，哪有唐僧天天输。
唐僧不愧一代车神，突如其来的转弯闪了老子的腰[吃瓜][大笑]",1
[风灵玉秀_你没事吧]上海话也蹦出来了哦！,1
"《女妖精，把头发盘起来 》
《你们三个，一路上都给为师搜仔细点》
《悟空，你跟他费什么话》
《如果施主听不懂大乘佛法，贫僧也略懂一些拳脚》
《速通81难mvp结算画面》
《第七十七回  圣僧力劈狮驼岭  文殊跪保狮子精》
《八戒，退至为师身后》 《把经书捡起来，把经书捡起来》《你应该庆幸那只猴子打得过你》《如来，见到我，为何不跪》
《牛魔王，我不吃牛肉》《你们三个，把马顾好，不然腿给你打断》
孙悟空：我一直活在他的阴影下  那天他一拳打碎五指山 拽出我问我你是陪我去西天还是我送你去西天",1
"多长？
四分钟。
这踏马是四分钟！？[doge]",1
要素密集，车速过快[doge],1
上海话是吧,1
采访下up在什么精神状态下剪辑出来这个视频的,1
疯批唐僧，我好爱[星星眼],1
笑的一口饭都没咽进去,1
@二狗以力证道 哈哈哈哈哈哈哈哈哈,1
厉害,1
代驾不,1
现代智慧比那肉身成圣还是差了许多，连人家防都破不了也好意思拿枪[doge],1
up，你还真他娘的是个天才[笑哭],1
这唐僧要屌炸天,1
。。。。。。。,1
要素太多！[笑哭],1
卡在了奇怪的地方[笑哭],1
没有20年脑血栓剪不了这么精彩😂,1
恶搞西游记，酷六网的伟盛DV影视才是鼻祖，这个视频还用了他们的几段配音。,1
火钳刘明,1
倒反天罡,1
我保证，这个视频必火[脱单doge],1
"枪在手，跟我走[doge]
闯逍遥，杀仲谋[OK]",1
@夜幕千眷 @独孤默悔 @阿顺当家 @LQ凌痕 @琉璃_原神 @其实上的嫦娥 @高兴老头儿 @钦明尚古 我笑了打不动字,1
我为什么进来[辣眼睛],0
谁教的你这么剪西游记的,0
为什么不拍掉i地球啊，结尾可惜了。,0
马：嗯？,0
说！创作视频之前喝了多少扎哈啤？！,0
慈悲暴徒，物理超度,0
我要笑死了[灵魂出窍],0
[热词系列_再来亿遍],0
"贫僧唐三葬，葬天，藏地，葬众生，这是我几个徒儿大徒弟，孙刑者二徒弟。诛八界三徒弟，杀务尽
《你们三个，一路上都给为师搜仔细点》
《悟空，你跟他费什么话》
《如果施主听不懂大乘佛法，贫僧也略懂一些拳脚》
《速通81难mvp结算画面》
《第七十七回  圣僧力劈狮驼岭  文殊跪保狮子精》
《八戒，退至为师身后》 《把经书捡起来，把经书捡起来》《你应该庆幸那只猴子打得过你》《如来，见到我，为何不跪》
《牛魔王，我不吃牛肉》《你们三个，把马顾好，不然腿给你打断》
孙悟空：我一直活在他的阴影下  那天他一拳打碎五指山 拽出我问我你是陪我去西天还是我送你去西天",0
鬼畜～～艺术,0
本以为这就算不着边际的(诸妖黄昏)，可你说好了下期会更精彩的我才转发投币的哦。拉钩钩,0
专业烤肉,0
唐僧大战魔法少男[笑哭],0
还有一个半月，加个班，整个4个小时的，年三十晚上放出来，春晚就没人看了[滑稽],0
皇帝给的盘缠不太够，一路洗劫妖怪的故事。,0
？啊,0
友军之围[OK][OK][OK][OK][OK],0
"贫僧唐三葬，葬天，藏地，葬众生，这是我几个徒儿大徒弟，孙刑者二徒弟。诛八界三徒弟，杀务尽
《你们三个，一路上都给为师搜仔细点》
《悟空，你跟他费什么话》
《如果施主听不懂大乘佛法，贫僧也略懂一些拳脚》
《速通81难mvp结算画面》
《第七十七回  圣僧力劈狮驼岭  文殊跪保狮子精》
《八戒，退至为师身后》 《把经书捡起来，把经书捡起来》《你应该庆幸那只猴子打得过你》《如来，见到我，为何不跪》
《牛魔王，我不吃牛肉》《你们三个，把马顾好，不然腿给你打断》
孙悟空：我一直活在他的阴影下  那天他一拳打碎五指山 拽出我问我你是陪我去西天还是我送你去西天",0
煤气罐,0
不是人过的日子,0
唐三葬，孙刑者，诛八界，杀无尽,0
唐僧：漏水？ 我给你烤烤[脱单doge],0
00:05 烧锅炉,0
要素过多，不忍直视[笑哭],0
6的很[笑哭],0
[辣眼睛],0
"推荐通知书
        尊敬的up主，您好，由于您的作品过于出色，现已于推荐页面可见，希望您的作品能做得更好。
                                       bilibili观众认证💮",0
笑死,0
整个西游记，乱成一锅粥了,0
b站现在都那么抽象了？鬼畜区啊，那没事了,0
