comment,like
听到第一首曲子来感觉了！让我为蒙德大教堂献图一张！,3891
我还买了奶茶，买了糖雪球，准备边吃边看[笑哭]没关系，录播也挺好的，至少不会网卡，也不会有不明生物,1427
"01：04 风与牧歌之城
10：26 皎月云间之梦
23：56 寂远无妄之国
37：58 智妙明论之林
53：05 白露澈明之泉",1251
可能这并不是我一个人的想法，有些音乐是不是有点重复过头了，从21年开始每年的线上线下就一直在重复演奏，比如晨曦酒庄，四神角色演示音乐，神女劈观等（当然不是说这些音乐不好）我想说的是希望可以给其他优秀的曲子有更多演奏的机会，还有很多各国角色的演示曲，一些其他优秀的大世界地图的音乐，比如渊下宫，甘露花海，永恒绿洲，还有特殊活动地图的战斗BGM（特指皇女城堡BGM）。总而言之，目前音乐会的曲目重复率真的太高了。。。,790
希望明年原宝能把渊下宫，海岛的音乐演绎一下，那么多神曲还处在雪藏状态啊[委屈],771
"三千娑世御咏歌的主唱甚至穿了黑白交织的西装，还印着当年倾奇者的线性布偶图案….[难过]
晦明交织、善恶之间挣扎的矛盾而可悲的人，有幸见证你的痛苦与新生。",538
我来邀功了[doge],487
嘿嘿发发我拍的图，被官方选中放进音乐会我真的太幸运啦[给心心][给心心][给心心]感谢原神带来的美好！,473
[傲娇]下次想听甘露花海，草龙周本和轻涟，谢谢我永远喜欢的hoyomix,439
希望下次音乐会能有这首[打call],333
"01:12         风带来的圣歌
03:04         蒙德的一日
04:12         诗人的工作
06:36         孤独的旅居
07:35         晨曦酒庄
08:48         真红骑士，出发
10:27         送往迎来
12:14         璃月的晴空
13:33         蒲苇如丝
15:01         命悬一线
19:13         尘世闲游
21:13         神女劈观
24:06         叶落荒波
26:07         振飞之时
29:35         行水盈盈
32:18         何妄何执
35:02         薄樱初绽之时
38:02         清风散林缬
39:55         狮尾之舞
44:10         绿枝新柔
45:05         和合大梦的曲调
47:00         三千娑世御咏歌 
50:48         无余灰断
53:04         漫徊繁荫之原
54:44         众水之诗
56:51         梦之咏叹",306
看完研究了一下，不像是各地分开拍摄的，应该是把世界各地的演奏团队以及工作人员请到中国来，然后找的大棚搭建XR拍摄的，这样成本应该相对可控点......但请这么多演奏家和制作人员到中国来，也是大成本大制作啊，老米是真舍得花钱啊。,246
[打call][打call],179
乐队跟游戏场景的融合太有意思了[打call][打call],85
"我现在才看到甚至还有枫丹的OST[大哭]
上海场的遗憾在这里弥补了[给心心][给心心][给心心]",36
死而无憾了家人们！结尾梦之咏叹的原琴部分是我和@指尖灬旋律丿 共同完成de！[原神_比心]能登上原宝的音乐会尊嘟很开心了！！,28
因原神音乐走上学习管弦音乐的道路[给心心]在啃《对位法》[笑哭],17
[FGO_耶][FGO_耶],13
已经变成了米哈游的样子[脱单doge],12
被丝线缠绕的小布偶,4
最爱的最爱最爱就是你！！！原宝～～[给心心][给心心][给心心]永远陪伴我[给心心][给心心]爱你[嘟嘟][嘟嘟][嘟嘟],4
