comment,like
请保佑甘肃临夏人民渡过难关！,1581
"福运临门，良事至全！
日富一日，年富一年！
万试顺遂，逢考必过！
福气满满，身体棒棒！
众生们，接好运！",881
"听说求神仙办事的流程是这样的：
先烧柱香付定金，事成之后再去还愿结尾款。
但其实大部分神仙都是只收香火不办事的[doge][doge]",510
月老的活都被财神也揽去了[笑哭][笑哭],316
"群仕死敬帝文昌，生前功为七三王。
大悲大愿保前景，何时皆需仗尊上。
今番外语级得过，来日定去寺焚香。
今世潜心奉君命，来生仍愿做仆当。
这是我在裸考四级的前一夜写的，不过写的不好[doge]",76
我的愿望是能在睡梦中死去，但我连睡觉都是件奢侈的事，不是没时间睡，根本睡不着,58
神仙使用AI？？？不是吧[哦呼][哦呼][哦呼],57
财神爷是谁，赵公明还是关羽,45
神仙：烧几块钱的香，许几百万的愿？你还是把香掐了吧[辣眼睛][辣眼睛],43
"愿望不大，就是希望我能有更多的休息时间。
希望神仙不要只收香不办事。[doge]",41
"视频简介:
您有一条来自天庭众仙的祝福信息，请注意查收。BGM
村上純 - 厨二病のタンゴ
胡伟立 - 主题 — 封神榜电视剧
Rant Marson Zander - 白马浪
祖海 - 好运来

bilibiliAI视频总结：

	天庭赛宝大会的举办以及众仙家各显神通的场景,同时也探讨了现代社会的种种问题。
		0:01 天庭赛宝大会：众仙家各显神通，展示各种法术和仙气。
		1:09 雷神之锤和仙女棒：通过使用雷神之锤和仙女棒，实现惩奸除恶和美化环境等效果。
		2:20 介绍AMD Ryzen AI技术在电脑中的应用，提高工作效率和创意灵感。",36
要是香火能决定实力，那财神爷早就暴打全天庭了[笑哭],28
"外国的神仙管着凡人，咱们的神仙被凡人管[doge]
中国的世俗权力高于一切",26
玉帝应该问《如何让孙悟空能大闹天宫且假装无法阻止》,22
徐长卿确实吕洞宾那范儿，说实话。（白衣飘飘，重点还是专门用剑的）,12
这难道是提前庆祝新年了？[doge][吃瓜],12
月神娘娘是什么神仙？咋没听说过呢？,9
"愿临至上福禄寿，雨雪天气靠公母。
风调雨顺保山景，福气满满万顺遂。
临时牵引等昆明，来生彭愿做入党。
新年到临万家红，留宿雏蜂开始人",7
我说咋这么像呢,5
帮我问一下财神爷，我许的暴富的愿望进度到哪里了，快点儿啊，问你话呢[大哭],5
"福运临门，良事至全！
日富一日，年富一年！
万试顺遂，逢考必过！
福气满满，身体棒棒！
众生们，接好运！",4
平时都是做历史影片，这次要向神话界发展啊[打call],4
我我我暴富 八个亿 保证用在正途上 包括别人人生的正途上 绝不辜负,3
辛苦月老帮我解解红线,3
接好运,3
看到评论的研友们，一起考研上岸,3
请求诸位先圣仙神保佑甘肃临夏人民早日渡过难关！感恩感恩感恩,2
谢谢众神,2
这个许愿是要能量消耗的，是要代价的。你许多大的愿望你就要付出多大的代价,2
用3块钱的香求千万的财，不为难自己难为佛祖啊。,2
暴富暴富暴富暴富暴富暴富暴富暴富,1
保我财运多来点，若道半声不肯，即上灵霄殿，动起刀兵！[tv_doge],1
"福运临门，良事至全！
日富一日，年富一年！
万试顺遂，逢考必过！
福气满满，身体棒棒！
众生们，接好运！",1
谢谢各位神仙,1
上岸,1
BV19p4y1o7ph,1
爆富,1
我我我，我要暴富！,1
"福运临门，良事至全！
日富一日，年富一年！
万试顺遂，逢考必过！
福气满满，身体棒棒！",1
文昌帝君！,1
保佑我能实现咸鱼梦想[保佑][保佑][保佑][保佑][保佑][保佑],1
暴富,1
有些人烧几十块钱的香许着上百万上千万的愿望，逗呢[藏狐],1
汉服是右衽，，，吕洞宾那衣服，笑了。。。。,1
怎么感觉应该是春节出的节目！哈哈哈,1
春晚没你我不看,1
拜神仙就是为了自己的私欲 求这求那 然后坐享其成,1
不祈祷别的，只祈祷我中华大地国泰民安,1
接好运！,1
这个！！！是不是以永乐宫壁画原型做的！！！！,1
[吃瓜][吃瓜][吃瓜],1
@星星摆烂了,1
保佑我高分上岸！！！！其次暴富美丽漂亮,1
@吱星仙贝 @戳你的腚,1
新角色 神仙 们了！[喜极而泣][喜极而泣][喜极而泣],1
王母与玉皇大帝不是一对，玉帝原配妻子是后土娘娘，王母娘娘和东王公是一对,1
希望父母家人健康长寿,1
暴富！！！,1
考试进步，福生无量天尊,1
请保佑我高位肛周脓肿➕混合痔➕肛乳头肥大术后第三天睡个好觉🙏🙏,1
万试如意,1
财神，如果你真的可以的话，我让老爸给你整点好吃的,1
把财神跟月老编制合编吧[tv_doge],0
暴富 万式,0
暴富,0
[doge][doge][doge],0
求求保我抽奖永不歪,0
哇哦,0
“虚心”之人，随遇而安，无可无不可，高官厚禄无法使他欣喜，穷困潦倒无法使他悲伤，命运无法给他带来丝毫的痛苦。从这个角度讲，命运也拿他无可奈何！,0
世人都知神仙乐，不知神仙本是凡人做，只是凡人心不坚，凡人求神仙，神仙叹气，该不该帮？,0
让我初中毕业，不要结业证书,0
你们都在施法  ，这就是经济通胀了，学历贬值，医美遍地，人口老龄化，还有桃花泛滥离婚率飙升的原因吗？,0
我想暴富,0
我要暴富[脱单doge][脱单doge][脱单doge],0
我要暴富,0
希望月底省考，托你福气[tv_再见],0
