comment,like
哥 你们跨年能不能出个线下团建视频[大哭][大哭],4951
啊啊啊啊啊啊是团建的实况系列，爱看多发[脱单doge][打call],2969
怎么？[doge]没联系上北子哥？,2085
明显看的出来拜应该是玩过的 还有加的miyang整合包 有单独的手电和对讲机模块 但是mod对于新手不太友好 刷怪太多 难度太高了 其实可以只加一个汉化和联机的 感觉像是boy在用的mod给别人安排上了 现在这感觉都没去几个地方 如果要出续集的话 可以多玩玩提高熟练度 不然就换个纯净mod吧 体验会更好（仅代表个人观点 本人致命公司20h玩家 ）,1989
老师，我家番茄怎么叫的这么大声啊，还以为是性格开朗了，仔细一看是疯了[OK],1681
北子哥怎么没联合投稿？[doge],1254
花少北的联投呢[笑哭],938
哇哇哇等到你们的了！,900
老师怎么没看家我家小花,799
哥几个能不能出个线下视频啊都年底了发个线下团建喜庆一下,730
茄哥你怎么了茄哥,726
我二十八分钟笑得跟花少北最后那段一样癫哈哈哈哈哈哈,622
花少北：我被抛弃了 观众朋友们,430
又有人忘记点联合投稿了,368
"平时的番茄：温文尔雅，风度翩翩
这个视频的番茄：（字正腔圆）握草！握草！握草！！！
非常不错游戏",330
王哥假装第一次玩委屈他了，男人帮，启动,320
老师我们小花好像没在里面，我们家孩子回来之后一直在哭，问了才知道是觉得老师不重视他，希望老师能够妥善解决这件事情。,300
为什么四个人的视频感觉有一群人[思考],246
这期好好笑，跟着北子那段大笑笑崩了,207
你们仨拍了多少视频？[星星眼],115
北子醒了哈哈哈哈哈哈哈,86
是致命公司！！！自从这个游戏上线就一直期待上海zoo玩了！好喜欢他们玩这种联机恐怖游戏[大哭][大哭][大哭],82
这个视频开始中国boy先说话我想大点声，还没来得及调音花少北就说话了，还好动作慢,78
老师我们家子涵特别爱看，希望下周还有,61
呜呜，都没人陪哥们玩,51
boy真的好喜欢当小领导[大笑],47
这期没有字幕嘛,42
加了难度mood吧，正常玩很少开门进去就好几个怪刷脸上的，对新人忒不友好[笑哭]（希望哥几个熟了这个游戏多更几期！这个真心节目效果爆炸）,34
四个人吵出了一群人的声音，头回用人声鼎沸形容四个人[doge],34
出乎我意料的好看！下一季！！！！！！！！！等续集！！！！！！！！别逼我求你！！！！！！！,33
北子：联合投稿不联系我是吧,32
就是说，你们四个能不能一起去密室录个视频，我真的很想看[大哭],26
这加的物品难度低了好多,24
刚打完怪猎出来看视频，开头还以为自己游戏没关，搁这找了半天又没找到。直到我把视频暂停了[捂脸],23
明明是四个人，可是花少北怎么没联合投搞？（狗头）,21
我说怎么boy头上那个好眼熟（）,21
而且怪物的ai是有配合意识的，在未进入攻击状态的囤积虫会捡起战利品并且放在高危险的怪物旁边,17
哥几个的视频真的是续命之作……😿,17
哥几个圣诞节有说法吗[脱单doge][脱单doge][脱单doge],14
春晚我要看这个！！！！！！,13
怎么有人没点联合投稿[doge],13
虽然冬至过了，但是还是祝大家冬至快乐，团团圆圆啊[打call],12
请问对于玩具不点联投这件事三位有什么看法（举话筒）,9
这期质量好高，真的巨好笑，某幻真是长在我笑点上了,9
