comment,like
现在稍微长途一点的高铁一般都比飞机贵，而且时间也长，有些时候不明白为啥[笑哭],1704
之前做绿皮火车卧铺那个餐车阿姨给我打了好多粉蒸肉，这一份13块钱，第一次觉得火车上的饭好吃[喜极而泣][喜极而泣],1606
但是我一般在高铁上吃麦当劳和肯德基[笑哭],1257
还是免费的饭香，份量和味道都值，外卖贵味道也不好,834
我唯一一次商务座经历，同车的👶估计拉💩了，车箱一股💩味，后半程一等座有空位我就去一等座了,727
大学的时候有一次过年回家车票没买及时，最终含泪花了600多座商务座，我当时也是傻，习惯性在普通候车区等车，商务候车区的服务我全都没享受到。而且习惯性的自己带吃的，供应的餐食一点儿没要。[笑哭][笑哭][笑哭][笑哭][笑哭],568
我们今天要探秘的是速度，里程数，全球排名双第一的中国高铁的商务座，据说只要一张车票，就可以一路吃吃吃，吃到各种各样的美食。那商务座比普通车票贵了3-4倍，到底有什么区别？都吃些什么呢？今天就跟小测一起！登上复兴号和谐号！一探究竟！,523
之前买不到票做了超短途商务车（9分钟），空手上车带着一袋子零食下去[脱单doge][脱单doge],462
[呆]有幸坐过。杭州到上海，商务座确实享受。,263
建议有机会尝试下更高级的智能动车商务座[doge]（图1、2为CR400AF-C-2214，图3、4为CR400BF-C-5162瑞雪迎春）,211
没体验到复兴号的精髓。普通商务座都不算啥，最奢华的还是CR400BF-Z系列的天玄商务座，单人单个独立包厢，比普通复兴号和谐号的蛋壳椅商务座高了不止一个档次。[妙啊],153
上次回家刚做完半个小时一百七[呲牙],140
高铁上的饭是真的贵[笑哭],116
商务座那个贵宾休息室里面的设置和服务，不同城市差别蛮大的，多跑几个城市就能感受到,96
其实只要赶上饭点，再加上短区间，30块钱也能体验商务座，而且有饭[doge](饭点在11:30~13:00),44
我的收入也就只配坐绿皮车了，但绿皮车也越来越少了,42
有幸坐过这种高铁[兔年]很快乐。,40
离普通人生活最近的一回[doge],40
小编压力最小的一集[吃瓜],38
什么时候去吃江西菜[doge],31
最豪华其实是智能动车，但是如果从便宜的角度来说，从广州南到佛山西，¥33可以享受商务候车室和车上一份饭,30
小测，我币没了，明天在三连[大哭],24
小测经过了我的家乡温州[星星眼][星星眼][星星眼][星星眼][星星眼][星星眼],19
第一次有过比小测好的体验,16
