comment,like
当结局告诉观众 爷爷的儿子也是他捡来的的时候，就已经无法用语言来形容爷爷的伟大了,18849
婶娘坏吗？在那个时代吃饭都难，每天种地还得交税，地里产量也不够，糊口都难，而且那时候对女孩子本就歧视的。我想说的是，好多文章也说了那时候的女孩子的悲剧，比这个更残忍，以悲剧收场的多的是。婶娘每次将小花送走都找下家，这就是一种善良，很明显，爷爷也明白这一点，所以对于婶娘对小花的针对，他也没有多说。,17118
《暖春》是我人生第一部在电影院看的电影，我那个时候很小。妈妈姨妈带我和弟弟一起去看，整个场次只有我们四个人，妈妈和姨妈一直在讨论事情，弟弟不感兴趣，只有我抱着前面座椅枕盯着屏幕，不知不觉泪水就淌了下来。妈妈注意到我在哭，还笑话我说电影都是演的，我急忙擦掉泪水，觉得“丢人”，但我始终觉得小花和爷爷是真的活在这个世界上的。长大后我的共情能力使我为其他的小花和爷爷流泪，遇上他们时我也不再只是哭了。,9463
这个电影有个我此生见过最动人的伏笔。在爷爷收养小花的时候，同村的大爷对爷爷说:又心软了？哎……,5428
实在不明白隐入尘烟这种电影为什么有人会如此恐惧？,4600
这个电视剧，看不下去，太苦了，问题是，剧情可能没那么离谱，但这么苦的人，却有很多，国家一直报道正面，背后在默默解决这些人的困难，一方面不想有舆论，另一方面不想他们被打扰。但是人群太庞大了。真的救不过来，国家也尽力了。唉，这是中华几千年的难题，人人平等，共同富裕，真的是说出来容易，做到犹如登天,3993
这只是电影，现实的小花大概不会遇到心善的爷爷，这才是我觉得悲伤的点,3100
你们发现了吗，每次换新的风车时，就会有一个人爱她,2724
暖春，小时候电视放过，这个小花真的很可怜尤其后面，爷爷不在了，被那个男的和女的欺负，每天抱着老母鸡做朋友……过去十多年了，我还是忘不了，还是小学看得[笑哭],2333
不敢看这种电影，太揪心了[大哭][大哭][大哭],2050
up！我承认我后悔了，之前经常刷到你的视频，电影解说都很棒，尤其是那几部老电影，可是后来有发现老长时间刷不到你了，我关注列表翻了三四遍都没找到，只记得是字母昵称，，然后搜老电影解说，看得我眼要花了终于翻到你了！经典开头经典BGM！我发现原来我没关注[灵魂出窍]这下立马关注了[打call][笑哭],1629
我靠小花！我的童年记忆，小时候哭死了（因为小时候和小花长得挺像所以印象特深,1423
现实比电影惨，开头原型（我没看完，不忍心）是1990年青海亲生母亲虐童致死案！篇幅太长我捡重要的说，给你们看看什么叫畜生：小女孩2岁她妈妈被工厂开除回家就带回家自己养这是噩梦开始，每天只喂两个小馒头，2岁开始自己洗衣服，经常殴打她死后民警在衣柜旁找到她的一条毯子上面全是血，更残忍的来了，肚子饿了捡鸡食被发现她妈用毛线对是毛线不是针线把她嘴巴封起来，她的死因是饿了她妈在炼油，对了她这辈子在此之前没吃过肉，炼油期间畜生走开了小女孩去捡油渣吃，畜生回来发现了，然后，大骂小女孩，直接把滚烫的热油往小女孩嘴里灌，小女孩第二天早上开始拉肚子，然后应该是5-7天死亡。惨绝人寰啊惨绝人寰！更惨绝人寰的是后面畜生出狱后，还把小女孩的骨灰挖出来践踏，她做错了什么？是因为来到这个世界吗？她来到这个世界也是因为那两个畜生啊！上面全文没提到她那个父亲，她父亲也是畜生，也打骂甚至比那畜生母亲更重！大家有兴趣可以去搜一下《1990年青海亲生母亲虐童致死案》看完别忘了咒骂几句！谢谢了！,1245
为何不避[墨镜],998
"新中国比旧中国好百倍，悲哀的这是不是夸张，三年困难时期比起古时灾荒甚至称得上是巜温柔》，看了这么多史书，我的眼里常含泪水，
可能读的历史越多越深入，越发不会轻易红了眼眶，我还是太无知了",969
苦归苦，但我带入不了，不是没有共情能力，我看好多电影电视剧也会哭，但这个真带入不了，身边除了爷爷全是恶人，这种情况下孕育出来的只能是恨，憎恨除了爷爷之外的一切，就算不是恨，小女孩的善已经超出常理太多了。,967
叔叔也是爷爷的领养的，最后是村里的人说出来的这事，老爷子是真的善良救了俩孩子，我一个男的暖春不敢看第二篇生怕又哭红眼,894
不识字，走了[墨镜],668
"在农村，爷爷老了也不会赚钱，确实没有太多的话语权。
我外公便是如此，舅也一般都在外面做事，所以家里一般都是婶做主。外公只能睡一个和仓库类似的小房子，因为外公老了，睡了大点的屋子，死了他们就没法睡。",394
高山下的花环  我看一次哭一次,312
暖春，当时小学组织看，看的哭的稀里哗啦的，但时候写观后感的时候就哭不起来了,286
麻绳总挑细处断，我女朋友家里是广东的，那边也是重男轻女到不行，她家里三个孩子她排第二，她家里其实不算条件差，连生两个女儿还想要个儿子，我女朋友小时候在学校被校园霸凌被同学欺负，到家和家里说也不管，就是因为她是可有可无的女儿，中国改革开放不算久也不算短，短短几十年里太多的糟粕没法消除，越偏远教育越落后的地方越是这样，因为他们的宗族思想和太久留下来的已经固化的思维太难改变，看这个电影确实很催泪，这是时代的眼泪，是每一个从出生就被当成赔钱货的女孩的眼泪，我知道电影里这样的故事可能现在已经少见或者没有了，但是重男轻女还会在这片土地上存在很久,264
我记得电视剧里面，她婶婶为什么不喜欢小花？是因为她不下蛋，村里人笑话，说她不下蛋领养孩子，大结局时想通了，为了小花拿着大扫把跟一帮人干架,262
弹幕说女性的重男轻女更严重，却没有想过为什么，她们一出生就被重男轻女的思想禁锢教化着，长大后的她们又要怎么突破那个牢笼呢,186
那个年代吃饭就是最重要的事，所以婶娘应该也不算坏人吧,172
明知是安河桥，为何不避！,156
本来是上班摸鱼打开b站，刷到这个视频看的流眼泪[大哭],132
电影《暖春》，电影版的好看。也出过电视剧版[笑哭]不过电视剧版的每集哭一次，一次哭半集。,107
这个电影给我留下了阴影，不是因为剧情，而是我和我妈我姐一起看，看完去睡觉，我在被子里哭久了一会，我妈一把扯掉我的被子打开卧室灯让我少装。,84
按道理来说，那个时候不是长辈最大？爷爷怎么不吼她，家里的事情，不是爷爷和他儿子说的算？,75
现实中，有个小女孩叫丽丽，爸妈不给饭吃。三岁吃鸡食，被她妈把嘴缝起来了。五岁的时候偷吃了个油渣，被她妈把热油倒进嘴里，然后扔到角落不管了，她痛苦煎熬了几天去世了，后面法医看尸体的时候据说没有一块好的皮肤，她睡觉盖的一个小毯子上面全都是血迹。1993年的事情，她妈叫燕智云，只被判了七年。出来以后第一件事就是把她女儿坟挖了，把骨灰践踏泄愤。这真是我长这么大听闻过最惨绝人寰的事情😭,69
让我哭过的只有《妈妈再爱我一次》和《clannad》[墨镜],64
小时候最讨厌这个电视了，全剧都在哭，一直哭，所有人都在哭，一看就烦。长大了不忍心看，这剧里的人生没有一点甜，女主就像《活着》里的凤霞，被生活虐待，依然善良，但结局凄惨。而现实生活中，更多苦命的人依然挣扎着活着。,59
"暖春电影，看一遍，哭一次，从小学看到高中，学校次次放，我次次哭。
高中那会儿，班里就少数几个哭了，我是唯一一个哭的男生。他们笑我，我也不明白。
我只是哭，也忍不住",55
看一集我就忍不住难受，小时候最害怕看到这个片子[笑哭],51
一点没哭哩[墨镜],49
深夜，一位躺在宿舍床上的猛男流下的眼泪浸湿了枕头[大哭]，真的同情其遭遇，感动其善良,47
片名是啥，让我大哭一场吧[大哭][大哭][大哭],47
考研人本来想放松放松，算了我去背肖四了[墨镜],40
小时候就看过《小花》，是和奶奶、婶婶一起看的，今日再看，仍泪湿眼眶。与之相比，大多人都比较幸福，但优良的大众作品常常能引起人的共鸣且使之共情、内观。如小花经历的世间疾苦、炎凉现仍被许多孩童经历，我辈当心存纯善，坚守正义，让世间多一份美好，少几分恶意[拥抱],40
半夜刷视频点开了，看着看着在床上泪流满面,34
以前的老电影现在看起来就和纪录片一样，真真实实存在在你我身边发生过的人和事，现在的电影真的一言难尽！,29
暖春[墨镜][墨镜][墨镜],29
"小时候看了难受，长大了看现在更难受了[喜极而泣][笑哭][大哭][墨镜]
（四个孔出水）",25
小时候学校那种露天电影看的两部电影，小花和紫日。,25
其实，不用考虑国家这些年做的好不好，咱们没那么高远见，不用考虑其他的地方多苦，如果你身处那种环境除外。自己做好自己的岗位工作，发光发热为国家创造价值。这样国家就多一分的资源和经济来去扶贫去帮助那些电视里真实存在的小花[爱心],20
我记得是电视剧版本的吧，笑话上学也被同学欺负，爷爷给小花做的铅笔盒是用纸做的，班里的男生给他用水泡湿，小花中间还跑出去过一次，爷爷和村里的人去找跑出去的小花,19
没有一个角色是坏人，都是现实所迫，人性使然，我奶奶小时候家里特别穷导致我老奶就有点重男亲女，还好我老老爷爱孩子们，可孩子们多4.5个女孩，一个男孩，大人都老了孩子还小，地里帮不上还交的多，1955年是我奶记忆最深的就是交公粮交没了，找草吃，吃树皮，真事，现在那野草都成了我们这凉菜的稀罕物了，养不起孩子们了，只能卖孩子，我奶奶被卖了，后来又偷跑回来，有几个孩子被卖了没回来，现在见面就是打打招呼，后来穷人孩子早当家，可苦可累，我奶奶年轻时候正是“妇女能顶半边天”的时候，我奶奶也是可有能力的人，后嫁在我爷家我爷是市民日子好起来了，但婆婆不好，连重男轻女都叫不上，都不给孩子们吃食，我爸爸是老四，生的时候我奶奶40多多了，医生担心生了我奶就没了，但我奶是我这辈子见过最善的人，都建议打我奶舍不得打，让我姑伯们去他们奶奶家活都差点饿死！自己找东西生火烀烀吃，结局也好母子平安，现在我奶80多岁高龄，我们孙辈们不论男女，不能让我奶知道生病，要不一直牵挂你，电话打不完，我一妹妹不管我们一辈亲近，病了，我奶冒风雪去看她，一个老人啊，人都是环境的产物,18
md上课呢，给我整这么感人，哭的稀里哗啦的[墨镜],18
上个厕所摸个鱼，出来眼睛都湿了，同事说我是不是辣到眼睛了[大哭][大哭][大哭],17
这个剧啊看的我一边哭一边怨恨小花为什么这么善良。还要一边忍受我妈的对比。真的太难崩了,16
其实这种事情并不只发生在农村，大城市也是有的，我就知道在北京一个家庭中家里人每天都虐待那个女孩子，她亲哥也经常强奸她直至已经祸害出子宫癌，但是及时得了癌症她家人依旧对她很差，吃饱饭都很困难。她是聋哑人之所以哑巴就是因为小时候饿了偷吃厨房里的剩肉，被她爹跟她哥灌了一碗热油造成了不可逆的损失。我也尝试各种方式救她但是都失败了。我不是本地人再加上她家是真有钱。后来跟她关系很好的一个有类似遭遇但没她那么惨的一个女孩报警去了她家结果警察都到她家了还是没成功被她爷爷一个电话就全支走了。（那个为她报警的女孩子已经自杀了）她还给自己起了个外号叫阿巴因为自己不能说话，她还说她的梦想就是每天能吃饱饭。只可惜唉她才15但是她说她估计活不过这个寒冬了。,16
怎么后面弹幕全是“科幻”了？这是在现实受了怎样的苦痛？,15
看不懂走了[墨镜],14
每次风筝替换的时候就代表会有新的一个人爱她[拥抱][拥抱][拥抱],13
"那时候还小，不知道是假的，看了揪心难受掉眼泪。
现在不小了，知道不是真的，看了还是揪心难受掉眼泪。",13
六年级看的电影，还是在班里看的，现在都大一了，时间过的真快,12
那个时候看同学撕她作业本和文具盒真的心疼死了,12
人性很复杂，有坏人有好人，世道也很复杂，好人不长命，祸害遗千年[呆],12
无所谓，我没有心[墨镜][墨镜],11
小时候街上有个老爷子给每一个孩子做了一个纸风车 然后就去世了 跟视频无关 就是突然想到了,11
小时候我妈可喜欢看，我贼烦，因为她动不动就哭，后来大了点了再回头看，我嘞乖啊,10
昨晚半夜在dy刷到，给我一个大男生看的哭得稀里哗啦的,10
真的爆哭了[大哭][大哭][大哭]看完之后又看了up的其它剪辑 哭了半个小时 很爽 更加同情当时女性的遭遇,10
该死的儒家思想和封建主义，这种重男轻女的现象在如今仍然存在，同志们，任重而道远，不要让荧幕里这种悲情的故事再度上演了,10
tmd，到底是谁发的蚂蚱：我吃柠檬，害我笑的鼻涕飞老远[脱单doge],10
小时候看的真是哭的稀里哗啦 我买的课外书上都不写我的名字 写“小花”[笑哭],10
铅笔判作业我以前小学阅读理解做过，那个时候我就觉得她真的很努力啊，后来那个老师还是用的红笔，不过老师送了好多本子给她[墨镜],9
哈哈，看到一分20秒，我直接划走了[墨镜],9
我小爷爷年轻时两个儿子都病死了 他老婆也疯了 讲不出话 只能住在村里没人住的土砖房子里 后来乡政府要求拆除土砖房 他们没办法 只能住在牛棚里 政府说他还有亲属 就没有给他盖房子 后来长辈们看不下去 一起出钱给他盖了一间红砖房 就在村里收废品为生,8
mmd，被窝风真大，十年后的大清早又被迷了眼,8
这几个演员演过很多电视剧，逻辑很逆天，但是都很催泪[吃瓜],8
这个电视剧当时都不敢看。太惨了，最后爷爷还走了,8
很小的时候看过忘记有没有后续了，如果有，会不会有这种情节：小花读书优异长大出人头地，以前遗弃她的人来找她想认她,8
小时候看暖春，我姥姥、我妈、我，我姥姥靠在沙发上，我妈抱着我靠着姥姥，我们仨一起看，然后我们仨一起哭，我哭的最惨，嗷嗷的哭，如今我从个小姑娘长成了大姑娘，我看到这个还是哭，哭得还是和小时候一样惨。,8
出生啊，大晚上给我看这个，睡不着了[大哭],8
我以前看的《暖春》是电视剧好看，儿子和儿媳都对小花不好，快结局的时候，儿媳想生孩子，想的有点魔障了，抱着一个，大白菜说是孩子，一直生不出来，后面快结局了爷爷才说儿子铁柱也是捡来的。,8
不要指责说科幻片的人了，因为现实里好人不一定有好报，这女孩对亲生的家人不好吗，亲人尚且不顾她的死活，没血缘的人被感动本来就很科幻。,8
看了这个更加能体会到张桂梅同志的伟大，她救了太多这种女孩子了，真的功德无量。,7
小时候跟着我奶奶一起看的，后来我长大了，奶奶走了，那是一个春天的夜晚，我们家四姐弟跟奶奶一起围着电视看，奶奶总是看到最后就睡着了。后来去县里读中学再也没跟奶奶一起看过电视,7
这部《暖春》的电影版，算是我人生中第一次看到的电影，是在小学一年级的时候，学校组织的集体电影，就在活动大厅里面，大投影仪放的，还交了十块钱的电影费，当时周围同学都很吵，我在看电影，从头到尾认认真真看的，当时看的时候我直接泪流满面，结果到现在再看，我还是会被触动[墨镜][响指][大哭],7
小时候电影，电视剧都看了真的受不了，哭的不行,7
