comment,like
"开头那个是一个讽刺片，相当于是某奥特曼（不是，没版权）打败了怪兽，尸体在地上等待人处理，尸体本身有危险，结果一群政客各种推卸责任，非说我们这核武水这个无害安全，把小事拖成大事，就要扔导弹，导致怪兽会造成更大的破坏
没办法了，奥特曼只有机械降神了，人作死作的要死的时候突然来个神拯救了一切，然后大家都过上幸福快乐的生活，这个结局是很讽刺的",10593
所以第一个是变的奥特曼还是机械啊,2664
打动人的不是那一句句变身，而是灾难来临时挺身而出的勇气与觉悟,2523
小时候的我会觉得这很帅，但现在的我觉得这简直帅爆了,2222
"突然想到一个问题，在观众看来奥特曼都是皮套人。
但在片子里的世界观里，观众眼中的皮套对奥特曼来说是衣服还是皮肤？
如果是后者，那岂不是说奥特曼每次出场，都是在成千上万的人面前公开露出？[doge]",1810
从小到大最羡慕的一直都是《康熙微服私访记》里皇帝身份被曝光然后龙袍加身的场面[喜极而泣],1036
"这好像少了一个吧？
男人的浪漫有3个，奥特曼、假面骑士、战队和高达",898
那时候小陆因为经常吃杯面所以还很瘦[doge],613
可惜机械降神没有版权。只能看到一个背景,518
迪迦：我输在出得太早[吃瓜],385
迪迦出来的时候，弹幕“云奥迷弹幕时间”笑死我，很真实，很多人只看过迪迦，就只认迪迦了。我不是否认迪迦的优秀，只是一个老生常谈的话题，出迪迦的时候别踩其他的，一群弹幕刷其他的都是弟弟，为什么迪吹被人讨厌就是这样，优秀的作品大家都欣赏，非要当二极管踩其他的，咋想的啊？,296
别的都挺好，但是一到银河那里总感觉会有一只脚突然出现给他踹飞[笑哭],282
第一个好有感觉啊,279
U go！ I go！ My go！（bushi）,183
上了热门，弹幕和评论就变得微妙了[捂脸],133
up能不能剪一点国产的特摄啊[doge],127
永远喜欢特摄[打call],102
银河如果放被路基艾尔踢飞那个更具有戏剧性[吃瓜][doge],92
5：00是哪一部？,67
甲斗雨中变身暴甲都没有了吗，原来时代真的变了[大哭],64
第一个片段拍得也太有意境了吧,56
本土haixin[doge],45
受不了特利迦的中二和尬词[笑哭]思迈录思迈录，听的我鸡皮疙瘩都出来了,39
我还是喜欢那种沉默的变身，没有其他的台词,31
过几个小时要当爹的我还在这刷变身[OK],30
我说怎么弹幕看着这么怪，原来上热门了啊[喜极而泣],29
居然带山田凉介玩[星星眼][星星眼],27
你要是说机械降神我可就不困了[doge],24
幻想：撒，现在是我们的高光时刻了！heishin!,18
第一个不会是机动奥吧？,13
"不知道，“光”会不会影响周围摄像头什么的。
当今，想变身不被发现还是挺难的。当然了，没人知道奥特曼是人变得，也就没啥事了。[喜极而泣]",11
牙狼的也太少了 黄金骑士变身超帅无比的,11
啊？现在奥特曼都已经能融合了吗[星星眼],9
这波引了波大流，全是一般路过拉踩和偏见的线虫[笑哭],8
up这次视频的弹幕环境有点差哦[难过],8
看初代变身，一直有个画面：奥特曼在土里面藏着，不时偷瞄主角按没按棒子,7
这个女的，原本是喜欢这个男主，然后男主被奥特曼的光芒带走消失两年，然后这个女的就和另一个男的，日本首相的秘书，结婚了，他们三个人以前是一个队的朋友，后面，男主回来了，这个女的又说还一直喜欢着男主，在家里和老公亲嘴，在外面亲男主，然后她老公也不爱他，跟这个女的的一个后辈在实验室又是一顿猛亲[doge]关系嘎嘎乱[doge],7
好丝滑的帧数，,7
没看过，请问现在奥特曼导演换成了假面骑士那批人了还是,7
可惜，小时候要是有这些应该喜欢，现在年纪大了一看就知道是廉价塑料。。。。。,6
三特摄不带战队玩,6
不看特摄就滚啊，谁问你们的看法了😅,6
"怪兽来了
新生代：先辈请把你们的力量借给我
老曼：不借滚
全剧终",6
我真觉得奥特曼可以特意补充一部怪兽善后处理的故事，每一部都是很少再说这方面的事，布莱泽最新集说明他们可以做到,6
记得有个帝皇侠的场面，那次是边走边变身，铠甲的模块逐渐在身体上组合，那是真的帅啊。,5
上热门了某些蛆虫又来秀优越感了[呲牙],5
看到一些弹幕让我意识到有些人就该滚出B站[OK],5
当我以为这是奥特曼特供的时候。。创骑出现了。。。😂,5
撸撸特慢！鸡！,5
每一代人的心里，都拥有属于自己的变身。可能是变一个发色，可能是一次进化，也可能是机甲的咔咔咔。但是内核是不变的，新的希望，新的开始，新的战斗。,5
有一说一，奥特曼不那么机械降神，因为大多数时候都会有留白或者“真的结束了吗？”“怪兽消失了，但是xx的人依然存在”或者主人公（战队）用不那么乐观的语气聊天这种。初代最典型，因为他被打败了，是人类最后打败芝顿的。,4
这弹幕给我气笑了，byd这个视频不是一眼特摄，觉得中二尴尬的点进来干嘛？还要说两句再走，找骂是吧?,4
极恶贝老黑变身的段也挺帅的[doge],4
弹幕都怎么回事。。。给特摄厨做的东西一帮现充看不惯就衮,4
假面骑士里变身最帅的没有Black RX 我不是很认可[傲娇],4
你既然带粽子玩，那大家就是兄弟，这个赞不得不给了[doge],4
