comment,like
非常开心能让孩子们睡上舒服的床垫[给心心][给心心][给心心]希望大家都能帮助到需要帮助的人，祝你们都能美美睡觉，健健康康💤,23170
菩萨本在人心间，何须入庙拜香钱,16329
这种事情不要做太多宣传，因为真的很担心被有心人利用和扭曲，这种事情只需要默默支持，默默的来，默默的看，默默的去,12291
可以捐款吗，或者有没有收货地址呀，想帮点什么,5164
福德无量[抱拳]这可能就是孔子所描述的世界大同的场景里的人吧。如果每个人都往这种精神靠拢，那么想不世界大同都难呐！可惜在当下的社会中，默默被“西化”都不能自醒的，大有人在……中华文化发扬光大任重而道远……,4965
[微笑]我可能…有幸见过阿姨…因为，带儿子去过一次西安儿童医院…只是去给儿子做常规检查，在我家这边检查出儿子有甲亢，就来西安检查了一下，好在只是误诊而已。我只想说…儿童医院看到的…真的是不是自己的孩子也会心痛…没孩子的时候觉得小孩烦…但自己当了父母后…听到孩子哭就下意识的疼一下…幸得一子，身心安康，我已知足,3891
还是不要宣传这种，这个阿姨是好的许多阿姨是好的，还是不代表所有都是好的，万一被有心人利用这种形式就雪上加霜了，最好是有一个认证,2967
北京大医院旁边有很多这样的房间，有些是有组织的，叫爱心小家，我家也在定期捐米面粮油，崇文门附近就有一个，我家就捐的那，,1939
"西安常姐慈悲心，愿渡天下父母亲。
近在咫尺行大义，无需西天拜灵山。

赠常姐",1899
君子论迹不论心，做好事，坚持做好事，都是值得被称道的。,1490
天啊，这是菩萨在世,1455
视频发出了，希望有困难的住进了，就是大姐帮了你。如果没有位置了，你们也不要埋怨大姐。大姐也尽力了。[保佑][保佑][doge][doge],1414
曾经我以为世界上全是好人，后来慢慢长大感觉世界还是好人多，再到后来经历多了感觉世界上根本就没有好人，直到看到这个视频突然又刷新三观，原世界上是有好人的。我悟到一个道理这个世界有苦难必然会有快乐，有坏人也就肯定会有好人。有阴必有阳，才构成这个多彩的世界。,1189
这不比放生什么的功德大，真正的大爱,1174
这真的能给生病孩子家庭省下很大一笔钱，今年我陪我妹去省医院做个小手术，出院结账发现医保抵了大部分医疗费用，这一趟出行花费最多的还是我的住宿和餐饮[笑哭],834
"多的不说了 我先捐为敬
冬天怕微波炉不够用",732
Up您的心意是好的，但是请不要曝光到网上。让光芒在黑暗中绽放吧。被曝光后别有用心的人太多了。,659
这才是真正的圣母   没有任何贬低意义   真心敬佩,466
我真的哭死，大半夜眼睛尿尿了。祝这些姐姐们明天冬至安康。（虽然现在就要凌晨14了）,350
我哭了是因为这些事为什么只能靠一个普通的个体来做,212
一个隐患提醒一下UP主和常姐，上铺这里加完床垫，旁边护栏的高度可能就不太够了，最好把护栏高度提高一点以免孩子夜里翻身不小心掉下来造成安全事故。这种事记得以前在有个大学宿舍里发生过的。,176
这应该是社会福利，不应该让好人承担过多责任，这是社会国家的责任呀,93
大家伙发现了吗？这些伟大的人都有一个共通的点，让人不自觉的敬佩。那就是他们真正的做到了同人民站在一起。,92
up不要这样宣传，这里面太多不合理不合规的地方了。被人讹上就惨了不要寒了好心人的心。重病的孩子特别血液科的这样住很容易交叉感染。医院的病毒不比社会上的有很猛的耐药菌，根本经不起出事。,51
我看到“先生”癫公一般都会粘贴这段话 : 中国著名语言学家、汉语拼音之父周有光先生在《百岁新稿》一书中有《女士不宜称先生》一文。 文中总结了女士不宜称先生的三个理由：1.混淆性别 2.重男轻女 3.用词混乱。周有光先生在文中写到：对被尊敬的女性不称女士而称先生的风气极为不妥当，建议慎重用词。,18
是女士,14
我认为应该适当收取费用，价格要低于市场价格且是患者能够承受的最低价格。首先我不缺这个钱你给多少或者不给我都可以接受，此外我还可以用这个钱提供更好的服务，以及长期运营维护。第二有偿服务更容易获得信任，模式成功也能吸引更多有爱心的人参与。第三远低于市场的价格能够在市场竞争中占据优势主导地位。最后如有盈利便可以扩大规模帮助更多的人。,13
害隔这“先生”大义呢?,13
女士大义！！！！,10
先生不能作为尊称的原因就是因为不能去性别化啊，不知道弹幕在吵什么,10
女士大义,8
“安得广厦千万间，大庇天下寒士俱欢颜，风雨不动安如山。”[保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭],7
一个高尚的人，一个纯粹的人，一个脱离了低级趣味的人，一个有益于人民的人,7
能不能别先生女士抬杠了？这是新中国璀璨红日照耀下，我们高尚伟大的同志！🇨🇳,6
90初的时候，我妈带着我哥去成都看病，晚上没地方住，睡路边，那时候住的宾馆一个房间7，8个人带个小婴儿又哭又吵的影响别人睡觉，最后一个老板力排众议收留了我妈和我哥。在医院的时候隔壁病床的阿姨问我妈怎么不打点肉吃，我妈说不爱吃肉其实是吃不起，那位阿姨立马去食堂打了一顿肉给我妈端过来。[大哭],6
大庇天下寒士俱欢颜,4
大家以后不要在用“先生”去描述女性了[捂脸],3
阿姨 辛苦,1
