comment,like
这位是麦克阿瑟的扮演者 詹姆斯·菲尔伯德，很高兴大家都在玩梗[doge],45671
一开始以为是段子，没想到段子本人来了[脱单doge],22003
孩子们 我们圣诞节前就回家[墨镜],15433
没想到麦克阿瑟的演员竟然也入驻b站了，刚开始以为又是其他的up主剪辑的，没想到是演员官方玩梗[笑哭],10314
大型纪录片之《麦克阿瑟入驻B站传奇》持续为您播出,7382
卧槽居然是本尊。[笑哭][笑哭][笑哭],6973
[doge]不是大众点评要不起，而是麦克阿瑟的评论更有性价比,6685
道格拉斯·麦克阿瑟（英文：Douglas MacArthur，1880年1月26日-1964年4月5日）,5201
这是mcn机构唯一让我满意的一次挖掘打造up，脑洞是真的大[doge][OK],4906
不会真是本人吧？这下真大型记录片了。,3679
我来解释，真的麦克阿瑟其实死了几十年了，现在我们看到的纪录片里的只是麦克阿瑟一部电影里面的扮演者，本人还在，不是ai。,2981
本人吗？记得申请小闪电认证下，这年头搬运盗视频的太多了[笑哭],2605
[妙啊]因为那半颗卤蛋已经被老板吃了，没错，老板每卖一碗饭，他就有半个卤蛋可以吃，不然就得挨饿,2316
将军，还有一天就是圣诞节了，我们能回家吗[滑稽],1962
这是在长津湖电影里的麦克阿瑟扮演者,1797
就连五星上将麦克阿瑟也评价到：纪录片里没有麦克阿瑟，就像西方不能没有耶路撒冷,1217
适度玩梗好吧，被本人看到就不好了,1188
下了我一跳。居然是梗人本人玩本人的梗。优秀。,666
"就连五星上将麦克阿瑟都评论到：当知道我入驻的那一刻，我便明白，大型纪录片系列又有了新的素材。
听闻此言，立刻引起了全世界的广泛关注，麦克阿瑟将军究竟是谁，大型纪录片《你好，我是麦克阿瑟将军》持续为您播出",639
不是抖音入驻不起，而是入驻B站更有性价比。[doge],637
不是硬币给不起，而是点赞收藏更有性价比，就连远在中国广东的五星上将麦克阿瑟都这样说到，我宁可点两次赞和收藏，也不想投出留着抽奖的硬币，此消息一出，我立刻成为了热评,541
阿瑟将军。能不能评论一下某公司拿你的梗骗别人点进去给他广告引流。,512
大家放心，不是真的,452
五星上将麦克阿瑟说，在扮演麦克阿瑟的比赛中他只获得了第二名,434
这个时间也是有点意思，看来美军是不能提前回家过圣诞节了。[doge],398
三连了，可以要您的签名嘛[doge],313
麦克阿瑟现在几乎与周树人齐名了[笑哭],186
将军明天就是圣诞节了，为什么回家的船还没来[doge],172
我要听五星上将怎么评价这个视频,136
放一张将军年轻时的照片[doge][doge][doge],125
可以接那种付费念稿子或者送祝福的业务，年入百万轻轻松松[脱单doge],116
注意啊，麦克阿瑟将军已经去世60年了，这位是麦克阿瑟将军传奇中的演员,89
