comment,like
我语文老师之前讲苏轼的时候说过一句话：”过得太顺的人是写不出惊世骇俗的故事的”,39772
"这圣诞礼物
主打一个礼轻情意重",23777
"把这新歌听了好几遍了

也看了很多评论，有的觉得好 也有一些对编曲弦啥唱法，觉得不行觉得敷衍啥的

讲真我是对周杰伦这种状态，非常理解的，源于我被科普强直原来对他唱歌影响这么大

很久之前就知道他有这个病，但他自己不卖惨啊，我一直以为对他歌手生涯没啥影响。。

直到被科普这个病因为影响胸廓,不仅会影响发声还会影响呼吸，只是他强直控制得还挺好的所以没那么明显。反过来说唱歌和我们普通人说话又不一样，对气息和胸腔共鸣也有很高要求，再加上这个病只能延缓病程发展不能治愈，所以肯定机能气息会越来越不好的
只能还在说他真的这些年随时调整适合身体条件的唱法。

人一个身患疾病的歌手和一众正常歌手拼这么多年的职业生涯，前面还持续高产了十年

周杰伦没有义务首首让我感觉惊艳。所以我不会指责他不如以前，没以前的味道了，江郎才尽了，因为以前的他只能和他自己比，乐坛其他人实绩还是贡献还是影响力还是销量还是人气，差太远了都

新歌是一首平淡的小品，但小品有小品的美，还是不收费的单曲，我听着很开心",19841
歌迷真心建议，如果接下来的歌都是这种风格水准(依旧是旋律大师，但嗓音退化创作受限很多)，那真的没必要再出了。即使现在封刀隐退以周董对乐坛的贡献，在众多经典作品的加持下足以在功劳簿上躺到下辈子了，从19年的说好不哭，到20年的Mojito，去年的新专辑，今年的圣诞星，一次次地期待一次次地那啥。。到现在已经逐渐拉低了我的期待值了，现在周董已无法用他现在的嗓音完美驾驭所创作的作品了，受限于嗓音创作上也会做出妥协，哥你总说新歌没旧歌好听是因为旧歌多了怀旧，岁月感，其实不然，我个人浅显的觉得最重要的还是嗓音的变化，可能你也知道，但就是不愿直视。即使用现在的嗓音唱之前的经典歌曲也会大打折扣完全没有了那种感觉，反之用之前巅峰的嗓音唱最近几年的新歌效果一定会好很多。感慨周董之前是可以随意把声音当作乐器来玩的。英雄总会迟暮，哥你现在在身边有这么多坑货的影响下依旧还有这样的地位已实属不易，真的不希望为了回馈歌迷朋友而强行上歌，如果照现在的作品水平继续创歌，前期那么多经典作品积累下来的口碑定会下跌，还会给一些黑子可乘之机。庆幸你巅峰时期能够把最完美的身体机能，爆棚的才华，优秀的团队完美的融合在一起，创造出那么多经典的传世巨作。最后英雄总会迟暮，但传奇不会老去，你的音符会伴随一代一代人成长，在青春中留下不可磨灭的印记，在华语乐坛的历史长河中也会留下最浓重的一笔。,17166
李宗盛52岁写了《给自己的歌》，55岁写了《山丘》都是传世经典，所以真的别拿老了当挡箭牌,13347
"我个人认为哈，搞艺术创作这行想有质量，要么你够专注——艺术就是属于你的马洛斯需求第五层，你能从中得到无与伦比的快乐。要么你就够惨——你的人生跌宕起伏忽高忽低，除了艺术你已经无处可躲无路可去了。
比较遗憾的是，老周现在的状态，上述两边他似乎都不站。这几年听他新歌给我的感觉就是，他对自己目前的人生状态好像已经非常满意了。这几年的歌听起来都是一个味道：爽。
不是说我听起来有多爽，而是听着让我感觉他过的很爽……",9264
[doge]我只能说像极了我的毕业论文，查重过了就行,8740
拜托，杰伦加个桥和升key段好吧，第二段改改词也好啊,6756
"这首确实是雨勋编曲！
我看你也关注了编曲大师林迈可，我就知道阿张你的审美绝对可以！[笑哭][吃瓜]",6480
坏了，真成夏洛了,6424
感觉周杰伦被夏洛夺舍了[笑哭][笑哭],5835
像是那种一天能做十首的歌,4586
循环了大概六七遍吧，感觉稍微有些期待过高，但至少对普通歌迷来说是不难听的，因为我们听不出来那些专业的东西。就我个人感觉，有点《倒影》的味道，但好像略逊。不过年底发新歌，虽然不算非常质量上乘的一首歌，但是能发出来能听也就可以了。现在周董的嗓子没以前好了，估计唱高音和比较难的歌有点困难，歌简单唱起来压力小一些。其实都无所谓的，那么多好歌慢慢听，觉得新歌不好听就听老歌，《八度空间》、《十一月的肖邦》、《我很忙》和《叶惠美》这些都安排几遍，反正现在QQ音乐基本上就是周杰伦启动器,4156
咋感觉这首听着有点缺起伏……就是稳定在某个音上下波动，没什么意思。,3744
感觉我对《乌梅子酱》的声音大了点[拥抱],3714
液化灶是什么意思，音乐小白只会听音乐，有没有大神说一下吖！！！,3677
你说完液化灶，整个耳朵都没办法忽略那个声音了，后面听完面面已经不记得圣诞星怎么哼了[藏狐],3549
本来歌刚出就分享在朋友圈，听了几遍之后把朋友圈删了.....,3459
吹红了桃花，吹绿了柳树~~~,3391
我可以说吗 编曲像是用库乐队编的[笑哭],3388
点点赞赞投投硬币吧，小张求求大家了[给心心]下个周末2023年度最令人讨厌歌曲top10就来了,3367
下期做私信reaction就行,3178
哥们还是喜欢他以前的苦情歌,2539
觉得最搞笑的是，你前十秒听到的编曲，基本上就持续了整首歌[辣眼睛],2535
作曲，编曲：chatGPT,2525
这首歌好像那种在抖音随便刷到的一首那种套公式歌曲比如最近那个我期待的不是雪而是有你的冬天…（勿喷 本人也很爱杰伦只是觉得这歌太抽象了）,2490
之前伟作出来的时候，那支很艺术的MV让人眼前一亮，编曲和人声让我觉得周董早期内味儿还在。圣诞的这首，只能说祝大家节日快乐了…好歌憎命达啊,2401
以前总说周杰伦的歌超前超前，超了这么多年，终于是超不动了[doge][doge]。换个说法，华语网红音乐终于达到了周杰伦的水平，可喜可贺[doge][doge][doge],2379
周少越来越幽默了,2255
[笑哭]新歌给一种听完就能忘记，很平淡的感觉，像是在喝粥没有配菜一样,2144
这几年听到最好听的他的歌还是纽约地铁的demo[笑哭],2127
不懂编曲，纯说mv。什么时候巴哥能整点mv剧情，不要再citywalk了,2098
大多歌迷真是听个响，哪会管作曲编曲，几天后就是，哇后劲好大越听越好听,2090
感觉跟之前那张专风格一样，说不上多难听，但是一点不抓耳，基本上很难听第二遍。估计再也听不到早期的风格了[大哭][大哭]黑暗三部曲，七里香，反方向的钟听一万遍都听不腻，有生之年还能在听到这种级别的吗。唉。,1884
音道恢复的很不错，虽然曲有点平，但还是稳定发挥,1646
周杰伦这编曲是谁啊，这个伴奏听着感觉像是那种做的typebeat，很奇怪[喜极而泣],1617
巴哥的风格像停在六七年前，明明以前能写出夜的第七章这种超前的歌,1590
这歌周杰伦20多岁的时候直接扔垃圾桶,1506
看到一堆人说面面不行的，当然你可以不喜欢面面这种风格，但要是连面面这首歌质量远高于圣诞星都听不出来的话，个人认为还是缺乏一点音乐审美教育的,1394
20岁的周写出来这歌得郁闷一整天,1392
他这个年纪再出一些爱而不得，谈恋爱的歌就很尴尬😅歌曲没有成长性，人生的成长感悟被自己和周围人的文化水平和太舒服的物质生活享受给束缚了,1379
他最近几年的审美是不是受了谁的影响。。。晚期的mv里为啥都是这种阳光欧美小城街道风格。。。然后歌词也是驯鹿玫瑰精灵香榭丽。。。包括最伟大的作品莫吉托还有这首歌都是一个主题,1367
他真的是第一个让我相信有夺舍这东西的人😅,1306
我纯杰迷，我觉得说的没问题，有些人属于带滤镜听歌了。,1070
杨瑞代：是一个周杰伦各种地方都带他玩但是怎么捧都火不起来的歌手[笑哭][笑哭],847
我倒是建议周杰伦玩点纯种的西海岸说唱 票子跑车手表homie 全天下我最屌之类的 这应该很符合他现在的心境,837
"一个事业得意的人，怎么可能写得出第一张专辑里的那种才华喷发的感觉，那时候就好像一个从来没有话语权的人突然有了一个麦克风，恨不得在10首歌里塞进自己所有的能耐。
一个爱情如意的人，怎么可能写出《半岛铁盒》、《爱在西元前》这种在感情上对分别的不舍和对宿命的不甘的感觉，
一个儿女双全的人，怎么写出《印第安纳老斑鸠》、《忍者》这样少年感十足的，想象力天马行空的歌曲。
一个大腹便便的人怎么有才华也不可能写出和风餐露宿的人有共鸣的歌了。
杰伦的时代结束了，并不是他被谁打败了，只是他已经变了。",831
很多人没明白，你可以觉得这歌好听，但不能否认做得太敷衍。对于周杰伦这种级别的歌手，理应随便写一首歌都在标准线之上而不是堕落到抖音网红歌水准，但他就是能做成史。就拿最后方大同的面面举例子，这也是随手写的一首歌，你当然可以觉得难听，但制作水平就是吊打圣诞星。顶级歌手出任何一首歌都不应该沦落到跟网红歌难分伯仲，哪怕多砸点钱呢。,825
"请选择你的圣诞歌
《圣诞星》
《圣诞结》
《圣诞之吻》
[doge]",730
感觉就是告白气球和说好不哭这两首很平淡的歌太火了,695
对于状态下滑的歌手宽松，就是在伤害其他认真做音乐的人，[嗑瓜子],647
周杰伦现在发布的新歌，有种成龙现在演电影的美,642
周董最后的创作巅峰在床边故事这张专,616
会不会周杰伦就是夏洛，他不写新歌是因为他把记住的歌都写完了[doge],588
