comment,like
曾经年少看红楼，较真，不相信世上有人能够出囗成章，以作诗为游戏。如今，猛然意识到，只要心中有丘壑，何求妙口成章。,3273
up是不是十二月十四日下午上的山呀 我下山的路上好像看到了你[脸红],2654
"刷B站到很久没有如此高质量的视频了
还好是提前想好的文案，若是登山间舌尖朵朵生莲，怕不是李清照在世
狠狠收藏了",2288
"张三丰：我与郭女侠缘至何日？
算命的：800年后
张：我俩能活800年？
算命的：不是，800年后有个姑娘上山通知你别等了[滑稽]",1932
"声谷幽幽仙气招（莫声谷）
梨亭脉脉翠山遥（殷梨亭 张翠山）
松溪斜倚岱岩卧（张松溪 俞岱岩）
一棹莲舟过远桥（俞莲舟 宋远桥）
up真的好有文采",1546
小楠瓜是个很性情感性妹子，这个文案很不错，我听了好几遍。,1434
看见up，就像看见当年的自己。当年文思满溢，可以为喜欢的女孩写一整本诗集，在老街昏黄的灯光里，悄声念与她听，满眼都是她翘起的嘴角和眸底的星河灿烂。现在却只剩下独自和生活对线[呆]up加油，衷心希望你的将来充满诗意，不会像我现在，只剩下欲说还休，欲说还休。,1255
"张三丰瞧着郭襄的遗书，眼前似乎又看到了那个明慧潇洒的少女，可是，那是一百年前的事了。”
                      ——连载版《倚天屠龙记》",1099
"温文尔雅

我已经想不到别的词可以形容你让我感受到的文字的温度

希望up能一直如此，做自己喜欢的事。不被世俗束缚，逍遥自在游天下。",1012
"这篇也很强！
一篇峨眉，一篇武当
在下愿称破站最强",984
人不能吃得太饱 吃饱了就不怕冷 不怕冷就乱跑 乱跑就想吟诗,866
"小郭襄，行路忙
才下峨眉，又上武当
怎惧山高路远，却留纸短情长
念念昔日好风光，故人何在，唯有茫茫
昨夜风雪犹在，不似春香更胜春香
竹杖芒鞋轻衣，念着郭襄做着郭襄
登山，朝拜，红尘客兜兜转转
夜宿，灯下，独行人痴痴缠缠
忘情关",844
"一键三连了
不敢多看这个up的视频。17岁后那三五年我也沉迷写诗填词，现在十年过去，混混沌沌，诗情画意抛诸脑后，睁眼闭眼都是生活的奔波，只剩麻木。
看多了感伤，真想哭。[辣眼睛]",655
"我夏天去爬的武当山，感觉武当山不是太子就是圣旨，有些世俗，所以写了这首：
老子五千言，总是觅无相；
踏道两千阶，却在奉君王。
君王既崇道，自当少皇榜；
何必万万钱，修得泥身像。",620
"【内容总结】
这是一个关于武侠、少年和情感的视频。视频描述了一个等待百年的少年的故事。他在冬天来到了武当山，回顾着过去和现在的时光。同时，视频中还穿插了武当山的美景和金庸武侠小说《倚天屠龙记》的情节。视频表达了岁月的流转和人世间的变迁，以及对过去和故人的留恋之情。

【时间线】
00:00 - 君宝等待百年。
00:27 - 描述冬天的景色，感叹时间被冻住。
00:39 - 建议展现自己的侠士风度。
01:00 - 回忆郭襄和张君宝的少年时光。
01:43 - 作者夏天去武当山感受到了世俗气息。
02:04 - 表达对武当山的感受和思考。
02:34 - 张君宝的故人和往事。
03:09 - 描绘武当山的仙境和神仙。
03:55 - 张君宝的感慨和对武当山的祈愿。
04:47 - 长大后的张君宝仍在寻找少年时的故人。
05:11 - 晴天后下山看一看变幻的江湖。
05:27 - 张君宝对故人的不舍和寄托。

【可能感兴趣的问题】 (触发提问请回复: 问一下+问题)
1. 这个视频讲了一个什么样的故事？
2. 武当山有什么特别的地方？
3. 为什么作者和观众对张君宝的故事感兴趣？

内容由AI自动总结, 总结内容仅供参考~ @梦里青炒香 触发了视频总结, 触发方式是 @有趣的程序员 总结一下",593
"各位是否想过：少年张君宝是怎样成长为震古烁今、世人敬仰的张三丰真人的？

不管是真实历史，还是小说中，历经南宋末、元朝、元末明初这样的天地动荡（包括文化大断层，民族黑暗期），看过无数的残酷压迫、乃至无数的人吃人…，

在各种强权前（不管是最残暴，不把人当人的蒙…强权，还是弱肉强食的很多缺乏信念的造反者），

在各种多难选择的夹缝中，

在无数乱世漩涡狂潮中，

一点一点护持本心，在护持本心的过程中一点一点逐渐发现、秉持良知（很多在乱世中最后挺过来的质朴之人，是在无数次多难选择的选择乃至抉择中，逐渐认识真正的自己，逐渐明了真我），

顶着无数现代人可以想象和无法想象的压力、暴力（参考抗日战争、巴以冲突），在乱世中无数次纵横决荡，救无数活生生的生命于水火的同时亲手了结无数业障（这里注意，大部分人在过多的暴力活动中，心性会出问题，比如各种战争心理创伤，乃至对生命逐渐毫无敬畏，走火入魔…，因此不是谁都能在乱世无数次暴力活动后，保持心性无漏，光明无碍，…当时的历史情况，毕竟缺少教员这样的人，缺少党章这样的纲领，对战争心理创伤缺少政委这样的职业），令无数人胆寒，

也在更大的时代浪潮中深感个人力量的渺小和无力，能拯救的人毕竟是少数，

即便成为天下第一，一剑光寒十九洲（比喻），威震天下，所谓立身之处，即是华胥清净国土，但和天下比，仍太有限，…，

经历如此人间沧桑，可以多少想到：少年张君宝的心性经历了怎样高强度反复淬炼，才淬炼出这样的心性如铁如钢：
意如金刚，八风不动，
慈悲如海，无我无妄，
……
（注：中唐，儒释道高度融合，这期间，后世南北各宗尊为祖师的吕纯阳真人中兴道家，吕纯阳真人是比较典型的融合为一的大成者，如真人作品中“将心为不为”“真常要应物”就是典型的释道融合的语言，“将心”参考金刚经“云何降伏其心”，“应物”，参考“物来则应，过去不留”，…）

…… 经历这样的乱世，这样的人生百态，一点一点洞彻世情、…洞彻人之本质，逐步明了真我直至无我（心原是妄，诸相非相，真我无我），这世上逐渐有了震古烁今、顶天立地的张三丰真人，",534
这这这，都是up的原创诗词吗？太厉害了，这要是遇见当年李白，李白非得拉你一起游武当仙山，一起吟诗作赋不可！白哥心里会想：这女娃简直太有灵气了！得想法让她给我写诗。[喜极而泣],428
文学不只是用来考试的，更是用来展现灵性的啊！,391
加油，奥利给，哈哈哈哈哈,362
花开花落，花落花开。少年子弟江湖老，红颜少女的鬓边终于也见到了白发。倚天映像最深的一句话，少年少女是泛指，但我觉得说的就是郭襄和张君宝，这一句之前，张君宝和郭襄还是十七八岁的少年少女，这一句之后，郭襄死了，张三丰也老了。,341
课代表突击检查[OK][OK],310
"欲买桂花同载酒，终不似，少年游。
年轻时多出去走走，狂吟缓步赏景，一人潇洒渡江山，感叹谁人似我
现在只得感叹年轻真好，刷到我羡慕的人，终是紧了紧衣裳，蜷缩了身子，厚重了被子。",260
总是在别人的生活的片段里感受到自己还是真实活着的,251
楠瓜，这些诗句都是你现场由感而发写的吗？还是提前写好，后面去了现场配上去的？,247
愿我后天考研顺利！up成为百大！,218
吟游诗人，大概也就是up这样[打call],187
考完研也准备去玩，不知道能遇上？UP是我遇到第三个有如此灵性的女性，集天下钟灵毓秀之气。,116
"云蒸霞蔚起武当，仙气飘飘入人间。
青山绿水抱仙府，瑶池琼阁映云端。
仙境天台临世界，灵山福地赏神仙。
烟雨笼罩武当峰，仙韵缭绕梦中游。
仙人指路登峰顶，云霞相伴步仙踪。",114
写写删删，本来想写点酸诗丑句来博个满堂彩，结果视频都看完了，满脑子里只有这个小姑娘那句:“我郭襄还是我郭襄”…遥如当年读那金庸书，忆那书中人，今跳脱于天地，活在了这世间，出现在了眼前，让我目瞪神呆同时又心中如意，我想，那书中郭襄当如这般啊,111
我在武当脚下生活十余载，看武当云出天上，看武当日落山旁；灵思毓秀，汉水泱泱，武当的四季不乏春的朝气蓬勃、夏的生机盎然、秋的簌簌落寞，但唯有冬的山雪纷飞和肃穆寂然能让武当凭添几分神秘和壮阔。第一次在社交软件上看到有人用诗情画意描绘武当，让武当从道教中又多了些许江湖侠客行的爱恨情仇。感谢UP主的游览和抒怀——来自武当孕育的人由衷赞赏,96
背影有多潇洒，回来拿手机就有多狼狈，手动狗头,86
"“盼神州社稷永固，四海升平歌舞
盼寒士居有闲屋，游子免遭辛苦
盼痴心莫被辜负，有情终成眷属”
三句宜调转顺序，层层递进，从个人到社会到国家。
另，歌舞升平不是褒义词",82
"当你阅尽千帆 ，是否还能遇见，痴痴等你的那个少年
君宝
我知你等了百年
转眼冬来天又凉，
山中尘世两沧桑。
此番折返因还愿，
箭步轻回访武当。
[音乐]
...",74
腹有诗书气自华，古人诚不欺我！,70
小🎃，尽情地释放你那该死的魅力吧！[爱心][爱心],66
"少侠好才情！太有意境了
听着听着很想抄一遍
太冷了，抄不动了，暖和了再继续[笑哭]",63
少年未经人间事，徒劳无功想作诗。哪得妙语如流水，似君才气灌瑶池。,60
"拨雪寻春，烧灯续昼。
我知你终是来会，便使真武大雪做遗。
应是晴夜而落，时日恍惚。唯琼台梅影，似你来时传信。
雪中轻红，孤洁傲寒。
人皆谓我三丰真人，羽化之日早无牵挂。
梨亭之下，三坛红尘酿，君宝所留。
去日长久，江湖纷乱，女侠珍重。

                                         ————武当  张君宝",60
"小小女侠上武当，冰松雪谷断人肠。
疑是峨眉归来客，袖中罗汉也神伤。",56
要考研了[大哭][大哭][大哭][大哭],50
你的形象挺好的，粉丝量和浏览量也不错，你可以试一下跟企业或者其他个人合作，拍一些其他的。比如跟我合作，去民政局那边签个合同，然后日常记录一下我们的日常生活分享给网友，你会大火。[妙啊],49
"才女是天生的，教育系统培养不出的人才，世俗制度不能驯服她，她也不应拘泥于锁链。
古来圣贤皆寂寞 惟有饮者留其名。
体制化的人与天才般的人物难以比拟。
放佛看到了盛世中华的李白的影子，希望时代的繁荣能让更多的天才出现，共同唱响中华文化之歌，占领人类文化的一席之地，见证着中国时代的繁荣复兴。
让梦想不再被制度拽回地面，时代需要你们天才般的赞歌[热词系列_三连]",48
这个天去好冷啊，在武当住了三年，好地方，就冬天有点冷。告诉你一条小路，从玉虚宫后面小路可以走到剑湖，都是自然风光，还能看到当地人居住的小屋。,40
"上次的“襄儿，别去风陵渡”着实被惊艳到，反手三连加关注，今天刷首页一个call back我再反手一个三连[给心心]
通过互联网能看到同龄的武侠同好真是隔着屏幕都觉亲切[给心心]而且up真的很有金庸先生笔下郭襄的神韵[给心心]可惜我文笔没有up好，写不出来这么多诗句，但这两期却是反复看了好多遍体会其中情绪，比中学语文课都认真[捂眼]
感觉上期像是已经孤身行走江湖二十四年的的郭襄，仗剑行至峨眉山时由途中所见追忆往事，终于在登顶俯瞰云雾缭绕的群山时放下了年少时的一往情深，决意留在峨眉开宗立派。虽然中间有不少是up自己爬山的感受，但正如之前提到的up身上颇有几分郭襄明慧潇洒的神韵，因此不仅不会觉得突兀，反而觉得这恰是小东邪的行事作风。
至于武当山这期，我看的时候会觉得，仿佛是在想象倘若郭襄不是如书中所写的早逝，在倚天的故事结束后访问武当，听着小道童讲张真人行侠江湖的往事，忆及当日少室山相赠罗汉的孩童，昔时懵懂少年已成一代宗师，既衷心地钦佩祝贺，更知晓了一派掌门的一往情深，不由得思潮起伏。联想起自己对神雕侠杨过的情愫，感念君宝钟情的同时又劝说道，转瞬已是百年春秋，武当峨眉相距千里之遥，不如放下过往情思。郭襄劝君宝放下自己，又何尝不是劝自己放下风陵渡初见的杨过。三部曲中的角色虽是杜撰，却浓缩了人间最真挚最复杂的情感，每次品味都有不同感想[捂眼]
谢谢up的优秀作品，希望继续高质量产出鸭[给心心]",39
张真人也是没想到，一千年后，不知轮回了多少世的郭襄女侠，千里迢迢，先上峨眉再访武当，临走前还是留下一句“把我忘了”[喜极而泣],38
容颜并未冠绝、文采亦非无双，但就这带有三分侠骨、七分柔情的心境念白满足了我对痴情侠女的许多幻想与期待。这币今朝不投，来日可叹辜负时光!,38
姐姐怎么知道我刚从武当下来，可惜没有碰到王也道长，不过碰到了猫猫道士[tv_调皮]路可滑，差点被留在了武当山，当时爬到一半的时候下雨了，再继续爬就结冰了，给我差点滑下去，赶紧买了一个冰爪！[tv_笑哭]人生本来就是玄而又玄的，临时起意去武当问道，遇到了很多有趣的人，红尘本是无情道，世间红尘路，多少入道人？开心的是，我找到了我想要的答案[tv_点赞],36
与峨眉那期呼应[打call],35
终于知道小说里聪慧女孩形象了[大哭],35
