comment,like
比起“孤僻”，我更愿意说叔叔是一位“沉静”“温良”的叔叔。内向不该被负面化，爱看书的人，敏感的人，也是小天使！,5020
有一个小建议，可以晒一些照片过塑给叔叔，他们可能更习惯这样的保存回忆的方式。以前我还在家乡念书时逢年过节经常给村上老人拍照片，过年拍全家福，都晒出来过塑送给他们，老人们特开心,2687
叔叔说腰一疼就悲观，真的太真实了。我从十月中旬开始腰疼，疼到坐不了站不了走不了弯不了腰蹲不下，躺都不能躺，趴都趴不住，整天躺在床上，觉也睡不着，什么正事儿都干不了，手机都不想看，书也看不进去，每天饭只能靠舍友带，也不敢多吃饭多喝水，因为上厕所蹲不下。在床上躺了一个多月才敢下楼，总共折腾了俩月觉得自己整个人跟废了一样，身体和精神都处于混沌灰暗痛苦的状态。叔叔现在这种高兴我也是能切身感受到的，就像我上周在校园里走了走，阳光照在我脸上的时候我情不自禁地流下了快乐又痛苦的眼泪，但现在我都还记得当时见到阳光的快乐。我猜叔叔也会记得这顿铁锅炖给他带来的快乐，将来也会反复回味，反复快乐～,2481
"2023京东快递个人年度报告：https://jingcai-h5.jd.com/#/expressBill
查看个人年度报告即可领取３６５元快递券包，还可以参与抽奖，承包你一年的快递费哦！
冬至大如年，把年货交给我们，链上你的省心年！",2461
冬至看这一期....有点想家了。期待下一期情投意合[脱单doge],1873
我从不觉得盗月社是纯粹的美食博主，食物作为载体，承载人文温度有什么错吗，希望做个温暖的人，也有几个好朋友相伴。,1723
老年人的情绪问题其实比我们想象的严重很多，老年人虽然退休了但身体机能开始下降，还要面临子女、配偶、兄弟姐妹的离别。真的大家有时间多陪陪家里老人吧，他们的孤独、低落情绪我们很难体会的[给心心],1364
考研没法休息了。[灵魂出窍]后天考完看。,1193
刚点开的时候会想突然来了陪叔叔一两天，叔叔会很开心，走了之后叔叔该会有很大的落差吧，那样的话去了到底是好还是坏呢？看着看着就想明白了，一年也就三百多天，能有那么几天的欢愉也很好了，更何况之后想起那段时光时肯定会会心一笑，这应该就叫做特殊的回忆。所以哪怕去一天也应该去，不能因为可能悲观的结果就不去养那束花了[雪花],990
来自哈尔滨的雪hhh,588
大叔一个人，但是家里拾叨得特别整洁干净！,562
虽是网图，但非常真实[OK],553
给大家看看东北的雪,498
冬至啦！请大家吃我家包的饺子！猪肉白菜馅的！我家的饺子比一般的饺子大一大圈！吃起来超爽的！,299
那场大雪,212
洛阳，不负初雪，夜里带娃一起嗨！,205
跟大家分享一下21年哈尔滨的第一场雪（雨夹雪），满树树挂亮晶晶，祝考研考公考编的朋友们成功上岸！！！[奋斗][奋斗][奋斗],164
求求大家送我上去  哈尔滨本地人 认识一个特别牛的老中医  92岁的老爷子  专门看腰   想让up看到转发给哈尔滨的叔叔    高德搜索万家沙场 老于头     老爷子每天早上八点到下午一点在  只收现金  带700基本就够用了       把我送上去吧,64
来自哈尔滨的雪…人,17
这两天因为哈尔滨冰雪世界退票事件有人大搞南北对立，我打过交道的东北人不少基本说话直接性情耿直都挺不错的，我妹去东北上大学拐了个男朋友回来家里不让远嫁人家家里也都支持来成都安家，真不容易，当年支援三线建设好多东北人跟着单位到四川重庆安家第二代人都再也没有回去过了，共和国长子付出挺多。,9
东北人边吃边看你们来我们哈尔滨[doge],9
当时树上全都是冰，真的很漂亮,7
太好玩了哈哈哈哈哈哈多拍点 春晚要看！[热词系列_三连],1
