comment,like
大家别被骗了，其实这是正常比例的房子，只是up主是巨人所以显得小[doge],5050
巨型房子卖点应该不会有小型房子好，因为小型房子和人相比会有一种参照感，巨型房子物品你很多难以使用参照的话可能还要用到无人机，成本也更大，与其搞大巨房子，不如在微型房上多想其他的创意，比如可以搞多层，比如可以搞小型豪宅，带泳池的那种，微型高尔夫场,4996
这小房子做的真好呀，感觉能自己盖楼了[doge],2762
巨房子可以卖门票了！[妙啊]我会买的那种,2072
"小学生：woc牛B
高中生：做工好精致啊
大学生：卧槽这猫变异了吗怎么这么大",1199
定制车库不，缩小18倍比例的，这手艺车模佬狂喜[妙啊],916
我觉得这个小孩的房子太小了，大人根本住不进去，要是能把他变成两倍大小就好了，磊哥可以帮我在上海做一个类似的房间吗，谢谢磊哥，三连给了[福到了],769
老粉跟着你从pdd起家[笑哭]，到b站集集不落[笑哭],393
连电脑冰箱这种家电都有小版？怎么做到的,359
只有我觉得幽闭恐惧吗？喘不过气来，有点害怕😱,347
平安夜家里没人,310
李嘉诚：坏了，房子建大了,131
哥 你盖个房子吧 我实在没地儿住[灵魂出窍],119
有点好奇哪来这么多的地[doge],114
之前好像在哪里看过有一个侏儒小镇，里面的房子就是像这种缩小版的，但因为人也是缩小版的，所以看起来就像正常的房子一样，很温馨,56
建议做一个跟我差不多高的房子，我出50给我[doge],47
实数狠人,43
缩小一倍的说法是错的,30
好压抑，小房子，这算是窄房子了,22
这电梯和电脑真六，我还以为是模型呢，没想到还真能用，太震撼了。,18
支持大房子！,18
电梯口居然还做了个消火栓[doge]看来挺懂啊，你这消火栓能出水么[doge],18
放大的房子对小朋友来说，还是有点危险的，建议大人使用就好了[呲牙],16
哥 你盖个房子吧 我实在没地儿住[灵魂出窍],15
可以给矮小症患者的住所提供思路,14
没想到又删了重发一遍，那再问一遍上期的狗哥是不是听话？,11
这叫缩小50%,10
开门那一瞬间，我小脑萎缩了，谁家猫养这么大，这是诸神时代开启了，灵气复苏了吗,10
占个楼，期待大火[吃瓜],9
做得很好，第一眼不是房子小而是猫太大的错觉,8
请问做大房子，那个巨型马桶，上厕所掉进去了怎么办……？,8
伙计你看着不像80后 看着年轻多了,7
这么小的马桶拉个屎不直接满出来了[doge],7
巨型房子或许可以让成年人找回小时候的感觉？比如如果成年人坐在沙发上脚够不着地，会不会小孩坐在沙发上一样晃jiojio？又或者写字台太高了够不到桌面，还是更喜欢把写字台下面的空间当成一个秘密基地[tv_偷笑],6
上个厕所都得慎防掉进去被粪水呛死，夏天到了 是不是还可以直接进到坐便器里游泳，穿上潜水设备是不是可以直接从排水通道冲出去[嗑瓜子],6
大家不要被骗了，是up主所展示的猫猫比一般的猫猫尺寸大啦[给心心]不是房子变小啦,5
国外好多这种视频 是后期弄得 举报了,5
大人去了巨型房子，岂不是回到了自己小时候,5
省流:虽然人长大了，但是内心却依然是个小孩子。只是玩具更贵了。。。,5
巨房子必来,5
看个乐呵不错 你要真让孩子住 对大脑和身高都重大打击,5
虽然说空间小但是真的好好玩[约战4_i了i了],5
我很好奇这些东西纯手搓的吗？[笑哭],5
巨型房屋可以，只是配套设施特别是能使用的电器更难。,4
小房子对小孩来说挺好，对大人来说太压抑憋闷了,4
扩大是一倍，缩小是一半……,4
多啦A梦的房子！,4
想法很好，但是弊大于利…空间小会影响人的心情，对有幽闭恐惧症的人更是致命打击，很窒息,4
女朋友1米47，她终于可以感受巨人的感觉了,4
巨魔族是吧,4
一个偏轴镜头就能拍出来,4
