comment,like
千亿人血书，底下人发起支持，俺有钱打榜,15127
求你了野哥，给狮兄整一个吧[大哭][大哭][大哭],13749
最后狮姐回头的那一段，是不是也表明了狮兄是她的梦中情狮呢，不然无缘无故的站定脚步回头干嘛,9587
"狮子这辈子最幸运的事大概是变成主角了@[难过]
怎么狮子啥好事都遇不上，像我的人生一样[难过]
哥，给点好的吧我不希望狮子过的和我一样[难过]
哥，你都给我画破防了，哥给他点好的吧[难过]",8674
一切不在言中，而在眼内。,6747
真想创造一个所有人都能得到幸福的世界,5280
确实，希望大家像结尾一样……别错过了那个让你怦然心动的TA,5126
就像学生时期的梦一样，过了很久还是很感动,5055
只能说这个可以给狮哥配一对儿吗？[大哭],3692
每次都希望狮子能出人头地，因为他和我们这些屌丝一样，生活不如意，工作不顺心，所有苦难似乎都聚集在了在他一个人身上，早期作品他是痞子流氓，后来又是家庭不幸的苦儿，现在甚至连一次桃花运都没遇到过，可能因为人设，他无法拥有鸡的友情，狗的爱情，猫的亲情，但还是抱有一丝幻想，因为他身上那些苦难缺点，总有一条能和我们自己对上，也或许如此，我们也总是把希望一次又一次寄托给这个痞子流氓，尽管一次一次的失望，但下次，依旧会毫不犹豫的支持他,3024
既然是漫画，那不妨画的大胆一点吧，我不希望连在这里都是充满遗憾的,2857
秒5既视感,2134
求你了野哥，给狮兄整一个叭！我不想我的电子宠物过年了还怎么孤单！[大哭],2115
救命[大哭][大哭],1902
兄弟们稳了，我在抖音评论区看到星有野画的后续彩蛋了！还是狮姐主动的！,1814
这一次狮哥我罩了，耶稣来了也没用！（拙劣的ps技术...）,1514
狮兄，要幸福啊！初入坑都是冲着鸡哥来的，老粉都知道，狮兄才是YYDS啊,1424
为什么不能让狮兄幸福啊[笑哭],1349
狮子最后一个遇到的才是在公交车上看见的那个啊，下一期我就要看见他俩在一块[doge],1236
"狮子下车后找人时Bgm:《Love Again》-WildVibes/Patrick Key/Stine Kristiansen
擦肩回眸时Bgm:《Ahead of us》-小瀬村晶",861
哥们叫雷锋！,604
狮兄，家里不是小卖部是中型超市的算吗[脱单doge],488
好漂亮呀，以后还会有戏份吗[初音未来_大笑],452
头像啊头像,418
血书！！你给我让狮子幸福啊啊啊啊啊啊啊啊[少前小剧场_黑化][少前小剧场_黑化],408
"这一幕，是错过，是借过。
错过是梦中所念，心中所爱
借过是抱歉，虽没联系，但还是借过一下，因为我挡着你的人生了",265
                       至此已成艺术,197
这是动画不是电影吧！,168
哥，每期视频三连换狮兄幸福不过分吧[笑],136
情头(应该吧阿巴阿巴),90
拿走不谢[墨镜],63
简单一弄，大家自取。,57
这一幕我感觉真的好神！！狮子的表情因为那个耳朵，所以显得像是苦笑，但仔细看又不是 带点无奈的那种 画工真的好好啊！！！,39
野哥，你要是真不想给狮兄配妹子，实在不行把狮兄变女的配给鸡哥也行阿[笑哭],38
怎么说兄弟们,32
结尾居然是秒五彩蛋诶[大哭][大哭],20
我烤红肠[doge],19
长发，白裙，我也有啊[可爱小黄豆_玫瑰],17
"歌是这一首，单搜 love again有很多不同的，但是也好听。
Love Again - WildVibes/Patrick Key/Stine Kristiansen",16
能帮忙点赞让up看到吗，[鼓掌][鼓掌][鼓掌]（拜托[捂眼]）,14
我是亲眼看着一首歌是如何被一个视频给带飞的，视频一经发布，这首歌的播放量就一飞冲天了[笑哭],13
头像请拿走，不谢[Cat2_DoorKeeper!],11
甚至可以当壁纸！,11
命运的齿轮悄然转动，那个懵懂的他终会相遇美好的她,10
看了这么长时间，最能引起共鸣的就是狮子。没有鸡哥开挂般的战力，也没有狗哥直面持刀歹徒的勇气。没啥大毛病，也没啥过人之处;身边总有几个好朋友，但是也不是什么社牛，也会感到孤独。每天都算是过得去，只是觉得站在青春的尾巴回看过往，总感觉自己是最平淡无奇的那个，感觉未来的人生也会一直平淡下去，直到稀里糊涂地过完一生。可能会有人觉得这一集有点童话甚至玄幻，但是谁不希望自己人生中能够遇到一位真正心动的人呢，像是一道暖阳刺破连绵不绝的冬雨，哪怕只有一瞬。,7
这个文案如何,5
怎么样,4
这就是之前出现的那个狮妹吧，时间长了，头发变长了？,3
希望不只是彩蛋,3
本就是梦中的情人，现实中怎么可能相识,3
不知道为啥，突然想起这幅图,3
我不管必须磕[大哭],2
各位不用试了，扫不出来,2
"哥，B站，dy，ks三平台我都支持了，你一定要让他们下一集在一起啊，别逼我跪下来求你[大哭]
对了，这是一些壁纸",2
意难平,2
兄弟们别怕，抖音上的已经加上微信了[微笑],2
站前阿豪的爱情,2
哪张好看点,2
你打了很长一段话，打完自己又看了一遍，你思索着，删掉了所有文字，下滑着评论，希望有人讲出你的故事,1
