comment,like
[笑哭]杰伦真的身边拉垮的朋友太多了，优秀的人真的要跟优秀的人在一起，哪怕吵架，意见相左，最后总能在思想上碰撞出耀眼的火花，完成优秀的作品。太照顾身边的旧朋友，只会让自己逆水行舟……,8657
"这个鼓真的比原版好多了，嗓音真的好年轻，编曲也丰富了很多，多了一段brige,好听，原版感觉像是写了一半，草草结尾，但是up弥补上了，但是总感觉差了那么一个爆点，不知道如何形容，总觉得意犹未尽",4600
应该想办法让周董听下这首这个版本的[微笑][微笑],3531
比原曲用心太多了，虽然这首歌旋律比较平淡，但是原曲那个无聊的编曲太减分了,3133
上架吧  这是我第一次认为超越杰伦原唱的歌,2379
还能再改的 因为原曲是偷懒只写了4小节不停地复制变化粘贴 如果要还原年轻时意气风发的杰伦 可以再丰富一些多些变化 升华一下主题旋律[打call][脱单doge],1939
连着听了两遍，还想接着听下去。编曲真的太有层次感了，有变化，首先这前奏就超级吸引我，然后从后面加的bridge那里开始真的太让人惊艳了，原曲就有一种戛然而止的感觉，这新加的刚刚好，变调、高音、层次感、情绪起伏，这不就都有了吗[大哭]一下子给这首歌提高了好几个档次[大哭],1924
最后一段真的唱出了所有Jay迷的心声，我听的时候也总觉得最后一段少了什么，你这最后一段瞬间让我回到了十年前，虽然up从来没有正面评论过杰伦最近几年的作品，但我从你改编的方向还是能看出你更欣赏那个曾经的活在自己fantasy的周杰伦。,1664
比原曲好听多了，但我想说这歌依旧报听[doge],1588
"《圣诞星》2.0更新：
新增的钢琴音色丰富编曲层次☑️
对前奏、主歌、副歌与尾奏的编曲结构进行了差异化处理，丰富了整体听感☑️
新增的动听桥接部分☑️
对中段电音效果的修声部分进行了R&B风格的唱腔处理，去除电音效果☑️
优化的鼓组音色，告别液化灶☑️
新增的圣诞铃音色，渲染节日气氛烘托主题☑️",1114
原曲一直重复一个调调，太平淡没点小惊喜那种，唱不了高音我们可以来点灵活来嘛，写几句不同的高逼格歌词，rap玩点变奏，然后再来个轻声到重声的耍酷，接个wu，无敌,1110
屌哦！已三连！【我文件夹还没新建呢[阴险]】,1016
其实你才是杰伦，他是夏洛,713
杰伦整天一堆人围着他转，围着他夸，导致他现在越来越自负，越来越敷衍，说的好听一点就是就是有个性，生人的建议他是听不进去一点的，他的性格里就是那种大男子主义，他的掌控欲很强，无论是在感情上还是创作上都可以看出来了，所以他身边的人都很“听话”，而往往在这种环境待久了反而会害了他，真的很败歌迷的好感，上次新加坡演唱会都被骂惨了，下一次反而老实一点了，真希望他能做出改变，能听得进去别人的意见，年龄大灵感不足更应该多与业内的专业人士多多交流合作一下，集思广益，不要老是待在自己那个舒适圈了。而他力捧他身边的那些朋友，但凡他们争气一点，真的有东西的话，也不至于捧了十几年都不红，还是得靠老板来养活他们。我是十几年老粉了，话虽然很难听，但这是我一路看过来的心得。叠甲:批评不是恶意，而是真的恨铁不成钢。[捂脸],436
换个编曲人，换个制作团队，把杰威尔垃圾公司卖掉换个靠谱点的宣发公司，跟身边那些天天只会尬夸的朋友绝交，跟昆凌分居一段时间，把钱交给叶妈保管，自己带几百块钱买箱泡面住录音棚，身边就留个钢琴，待一年，神专就有了。[doge],423
真希望在ins上发给jay听听，让jay看看这么多批评，作为21年的jay迷实在太让人失望了。,266
编曲果然还是得用点法力的[时空穿越表情包_吃瓜],206
感觉原曲的水平拖了up的改编 这是可以说的吗？,168
改编的没那么“甜”了，杰伦最近出的新歌都充满了一种莫名的“甜”味，尤其以这首歌为最腻，甚至给人一种公式化的感觉。可能与他现在生活有关[笑哭]，毕加索的艺术作品分好几个时期，杰伦可能是粉色时期到了[笑哭],107
可能周董现在最需要一场他自己的经济危机才能再写出好歌了吧,68
我曾经相信周杰伦的确是音乐的皇帝，但我没想到后来他会主演《皇帝的新衣》，真把自己当皇帝了,19
"驯鹿的响铃
和雪花的相遇
当作是我对你离开描绘的旋律
柴火写了序
暖和童话的过去
远方的烟囱冒着烟
该不会是我的卡片
那是我让圣诞老人捎去的想念
壁炉的窗...",9
编曲改舒服了，但是那词我觉得AI都能写的比原版好,3
周董说了，有谁cover可以艾特他，放心去吧。,3
你们不要再说杰伦了，他每天卖煎饼和辛苦的,2
