comment,like
其实很能理解，绝大多数国家的历史就是很空白的，很屈辱的，很少有国家能像我们一样有那么多辉煌的事迹和成就以及丰富的文化可讲，如果把真实的历史放出来那他们的民族自信心会遭受毁灭性的打击，对政权都会产生动摇和冲击，因此只能美化自己,14396
韩国的很多史书读起来真的是幽默风趣，让人忍俊不禁。非常好内容，使我的脸展开，爱来自瓷器。[干杯],14190
我记得我以前在韩国读韩国语专业研究生的同学告诉我，她们在韩国图书馆查询的很多韩国历史资料都是中国古汉语，要想学会韩国历史首先要会看中国古汉语，就挺魔幻的[笑哭],8502
越南说长江以南是他们的，韩国又说长江以北是他们的，那我们大概是在长江里住了五千年吧(〜￣△￣)〜,8065
中国在世界史上这种过于连贯而且还有出土文物史料印证的历史记录，给周边国家乃至全球编纂（weizao）自己国家历史造成了极大困难。当然也提供了足够的灵感[吃瓜],6080
下一期来个美国历史教科书看看他们是怎么教历史的[打call],3640
时长十几分钟 但背后的工作几十个小时都打不住[保佑][保佑]不投币可不像话[呲牙],3350
好吧，我承认了。笑话大全确实没有这个教科书搞笑。,3196
记得当年东北工程溯源高句丽是中国政权的时候，外交部网站介绍韩国历史时候只介绍新罗和百济，韩外交部向中方抗议要求修改，后来中国外交部确实修改了，介绍韩国历史直接从李承晚政权开始介绍。,2812
之前去首尔博物馆，里边的讲解员很热情的给我们讲了首尔的历史，介绍了首尔也是仿照周礼，左祖右社，还强调了因为是王，所以王宫没有紫禁城大。,2254
不得不说，上期日本教科书看的人血压飙升，这一期韩国的观看非常愉悦，甚至笑出声233,2123
我一直认为在大国中，中国从上至下，从政府，精英到平民，都是全世界最客观，不管是对待历史，对待当今社会，对世界格局，虽然做不到百分百客观，至少百分之九十以上是客观的。,2088
他终于想起自己是一位历史老师[笑哭],1945
我承认高句丽很强，而且雄踞东北[doge]但高句丽并不是朝鲜族，高句丽同时期的朝鲜半岛是三韩，三个小部落而已。[doge]你可以说战败的高句丽人逃往了朝鲜半岛，与当地的朝鲜族融合，但不能说朝鲜人是高句丽人。,1895
话说国内中学教材也有这么多版本吗【挠头】，毕业太久了，当时一直以为课本是全国统一的,1577
"这让我想起了中学历史老师的一句话：历史是被政治随意打扮的小姑娘
8年过去了 依然记忆犹新[笑哭]事实确是如此",1425
再次感觉到，中国是基于文明认同的国家，其他国家大部分都是基于民族认同。,1092
笑发财了，历史发明家,986
我一直有个想法，建个教科书图书馆，专门把各国所有版本教科书历史书收集起来[保佑],904
"标签：“搞笑”
确实。",903
