comment,like
短短三分钟，把我的水元素逼出来又给逼回去了，不愧是你[笑哭][笑哭][笑哭],8325
很会讲故事[大笑]前面算是经典的阅读理解，传递的情感与价值观符合主流，最后还不落窠臼，强调了角色特质，与作品统一风格，属实是我都要了,7518
我以为妮可会去买个太阳形状的小灯，没想到居然是以这种方式完成的吗[笑哭]，是我不够浪漫,5375
想起了 桑歌马哈·巴依老爷……,3961
"『比镜子还光滑闪亮』✘
『比镜子更光亮的』✔",3267
果然是太空喜剧 我都快哭出来了结尾居然这么欢乐（）,3089
这个故事意思是 没钱你就看不到明天的太阳了,2994
老实说你是不是角色pv和角色演示发反了，一般不都是先发pv再发角色演示吗[笑哭],2914
我小时候家里人都说我小家子气，抠抠索索的，没办法，小时候真的没钱，现在大了钱也有了，虽然对待别人不抠抠索索的了，但还是会在自己身上抠抠索索。真的对这种对钱有执念的角色无法拒绝啊。,2624
“如果换不省欠款，我就把你们介绍给我那位朋友”，属实是地狱笑话了[喜极而泣],2598
这个故事生动形象的表达了妮可的思乡之情,2234
有没有一种可能，狡兔屋常年赤字就是因为妮可一直在资助孤儿院[思考][思考],1883
"1.“希望”意蕴丰富，请分析妮可老大最后一句话中“希望”的含义。
2.妮可是真的要送原文中的npc去见那位朋友吗，请说明理由。
3.片段是如何塑造妮可的人物形象？
4.“等一下，虽然我们买不起防护服，但我们可以买得起它……”妮可说出这句话，当时她的心理想必是复杂的，你有何理解。
5.第一次捡到“丁尼”时，我就喜欢上了它。妮可对丁尼的态度显而易见，结合选段，你对“丁尼”有怎样的思考。
6.选段开头12秒，读者“未见其人，先闻其声”这样开头有何好处？
7.你听见选段13秒时的虫鸣声了吗？试结合画面分析虫鸣作用。
[吃瓜][吃瓜][吃瓜]周五家庭作业",1805
想起了一句话“对钱病态执着的人，可能是穷怕了”[笑哭],1789
"“最真实的话往往用最玩笑的语气在最不经意间吐露。”
不知道适不适用于妮可老大[思考]",1780
MHY宇宙的孤儿院真的是人才辈出，不过真主角倒是不会出自孤儿院，但孤儿院是MHY游戏必不可少的因素，父母祭天法力无边不得不品[吃瓜],1620
别是笑容的代价就行[doge],1618
"让我想起了很久以前某人说过的一句话
做不到的事情就是做不到，不会坚持而改变",1581
我小时候没啥零用钱也想着能在外面捡一点买点小零食。。然后忙碌了一下午的我更饿了[微笑][微笑],1370
不是哥 我真的都快掉小珍珠了[笑哭]干嘛啊,1310
zzz16+的担当[doge],1134
坏了，只有我在思考这个丁尼的材质吗，这种材质是上好的材料啊[妙啊],950
丁尼的重量，让妮可安心,908
崩铁是自由的，绝区零则是更自由的,878
哈哈哈这次投币的图标还是妮可 太可爱了,742
不论是崩坏3还是绝区零，你永远可以相信孤儿院的营养[doge],705
姐妹两一起发是吧[脱单doge],682
我们绝区零一定也是个健康阳光，积极向上的游戏吧[doge],565
啊这最后给我整不会了，所以朋友还在吗[藏狐],393
先发演示再发pv是吧[傲娇]真有你的,357
一天之内震撼两个小女孩,340
"故事未必假，但今不惘然。
轻喜剧，确认",328
都给她，她什么都会[生气],315
公测还能见到巅峰妮可的大小吗[脱单doge],269
啊？这是要公测了？？这时候发角色pv是啥意思啊,260
[墨镜]小小绝区零也想让我出分,253
这个故事的正解：没钱你就看不到明天的太阳了[doge],216
捡硬币想起了以前小时候没有零花钱，捡街上的矿泉水瓶卖钱，买5毛一包的辣条和盗版游戏王卡包[笑哭],115
"妮可喜欢丁尼，但丁尼对妮可绝不是最重要的
1.妮可是孤儿院里长大的孩子，小时候为了病危朋友的愿望，号召孤儿院里其他孩子帮忙收集丁尼，妮可很聪明，她知道收集的丁尼远远不够，只能用其他方式实现朋友的愿望，最终为朋友带去阳光。妮可想到办法时内心多少带有一些妥协的无力感吧，也在妮可心中种下一颗未来要努力赚钱的种子，这都是为了避免再次发生诸如此类痛苦的事。
2.在安比和比利被困空洞时，妮可第一时间找到我们，请求传奇绳匠法厄同的帮助，并强调这是她一生的请求。
妮可这时有了伙伴，在与伙伴的相处中，丁尼在心中的位置已经没那么高了，所以说，与伙伴一起赚钱一起生活才是妮可想要的生活吧。
3.主线—猫的失物—中猫又提到过
——我之前在『众口论坛』里仔细查过狡兔窟的差评率可是在榜单前三哦。
——头50条留言都提到了『委托物品受损了』、『造成的破坏超过了必要』之类的。
真的是因为狡兔窟能力不足吗？如果妮可真的把丁尼看的很重，受损的可能就不是委托物品，而是安比和比利了，反过来说正是因为妮可不愿让他们受伤，委托物品才会受损，这些都侧面描写了妮可是一个重情重义的人，一个尽职尽责的领袖，一个心中充满“希望”的少女",112
03:15 我在“不看那颗痣”挑战里坚持0：00秒[doge],108
让我想起了小时候学过的一篇课文，好像讲的是一个孩子用镜子聚光救了要做手术的妈妈     真是奇妙的感觉啊,89
捏麻麻地，把我的眼泪还给我啊kora[笑哭],84
"[疑惑]等会，话说妮可不应该是贵族出身嘛
记得背景有说她是名门贵族的小姐来着",84
能让我这个铁公鸡爆金币的机会可不多[滑稽][滑稽][滑稽],71
emmmm 我怎么觉得这故事从头到尾都是编的呢[笑哭],66
你是自由的,57
这个故事对我幼儿园的儿子来说稍显幼稚了，但是对我这个三十多岁的老人家刚刚好[OK],51
"讲这么多，原来是想表达:""见不到明天的太阳“吗？[笑哭]",48
硬币的反射率可比镜子差多了，妮可你确定不是现编的故事吗？（假中带真？）[笑哭],47
我爱丁尼，丁尼爱我[doge],46
出分了😎,43
丁尼的重量，令人安心[鼓掌],39
前面。。他们发刀尖糖了！果然还是我熟悉的米忽悠！！！我哭死了！我在电脑前面嗷嗷哭！！！果然老二次元还是受不了这种友情、羁绊之类的……然后。。。。哈？？？？？？？？？[疑惑][疑惑][疑惑][疑惑],38
一会去看千星纪游[doge],36
米哈游，用3分钟，讲一个哭笑不得的故事[笑哭],36
OK，确定了，安比和妮可的pv放反了，运营扣工资[呲牙],32
这个故事很像银魂的风格，又哭又笑,21
可恶啊，骗了我的眼泪然后让我破涕而笑，可恶的绝区零，罚你快快公测[崩坏3·终焉归始_自闭],17
投币界面变成妮可了诶[喜欢],16
很好，妮可的角色PV补上了，安比的角色演示呢,16
怎么好像又削了，我的史莱姆呢？我的巨大史莱姆从中阶史莱姆变成小阶史莱姆了[藏狐]，真诚的期望上线后有官方“不小心”放出来的补丁[脱单doge],15
一直都有吗？可爱捏[喜欢][喜欢],15
这么一看妮可和多莉好像啊，都是因为失去的人而对钱有了执念,14
所以这是妮可的真实经历还是她故意编了一个故事说给欠债人听的？,12
相当优秀的pv，一段感人的故事，将角色爱钱和角色重情两个特点完美结合起来展示给玩家，最后也不忘回归游戏的轻快基调。从展示人物性格和人物弧光上来看，在我心中是超越很多原和铁的pv的。,12
"「圆圆的金属。」
「比镜子还光滑闪亮。」
「拿在手里有股让人安心的重量感。」 02:32",11
之前看的哪个番来着，也是一个好朋友死了，不过不是孤儿院是实验室，想不起来好难受…,11
"进来前：我去，时长14分钟！[星星眼]
进来后：忘了中日英韩。。。[笑哭]",11
mhy的人物塑造我是认可的,10
把我的眼泪还给我[doge],10
「丁尼的重量今人安心」[doge],9
米游第一个pv在角色演示后的角色[脱单doge],8
从小就被教育钱不是万能的，现在才明白，如果连钱都搞不定的又有什么能搞定呢[呆],8
看了三分钟以为是温情小故事，没想到结尾成地狱笑话了[崩坏3_？],8
手机端点投币按钮会有妮可出现[崩坏3·光辉矢愿_彩虹水枪],8
"丝滑的情感切换让我猝不及防......[微笑][微笑]
眼泪掉不了一滴！[墨镜]",7
妮可可爱捏,7
一看就知道是一款健康阳光积极向上的游戏！[doge],7
“在自己力量不及的地方就决定了自己的未来。不管自己多么努力，还是有些改变不了的东西。真是很没道理吧。所以你不用那么轻易就接受了。”,7
粉发财迷，喜欢钱是因为不想再失去……,7
这一定是在运营一款不存在的游戏吧，因为我一次都没参与过测试[doge][doge],6
我以为绝区零全程都是沙雕欢乐风，看来我的判断太早了[捂脸],6
很感动，所以结尾的转折我真的会谢[微笑],6
啊！阿尼亚！,6
这标题怎么越来越像江之岛盾子了,6
"刚看的我：[委屈][委屈]
看到末尾的我：[惊讶][惊讶]
看完写评论的我：[喜极而泣][喜极而泣]
不愧是你啊，zzz",5
是什么蒙蔽了我的双眼,5
有没有人发现投币有惊喜啊？换成妮可的样子了[星星眼],5
这是什么中门对狙行为？[doge],5
[辣眼睛]完了PC投币的我亏了投币动画,5
妮可从绝望中诞生的希望才能“买”下别人的希望，泪目,5
捏麻麻地，差点被骗出分[笑哭][笑哭][笑哭],5
这几个pv做的真不错，看得出来是有用心思的。这边应该找了几个靠谱的编剧,5
前边我都要看哭了，最后这一段什么鬼,5
MHY，年轻人最喜欢的定点报时[妙啊],5
做的太好了 你怎么理解都可以 可以理解成妮可小时候感人的故事 也可以理解成催债的幌子 感动却又幽默,5
