comment,like
要用发展的眼光来看问题，万物都是运动发展的,8806
社会学的三大奠基人，马克思，涂尔干，韦伯，3人关注的侧重点都不一样,6427
up主的眼界还是片面了，分析这个问题应该把视角放到全世界，资本主义并不是放松了剥削，而是改变了剥削对象而已，经济全球化让资本的剥削对象从本国人民转移到了第三世界，因此给了人一种资本主义放开剥削的假象。资本主义依然稳固主要是因为现在世界上绝大多数国家都没有进入资本主义阶段，资本主义还有充足的社会资源可供剥削。,6381
"原因:资本主义解放生产力的优势依旧存在
社会主义还在还在探索自己发挥解放生产力的方式",4220
所以一直在探索阶段 也可以说人类一直在探索阶段 时间一直在向前制度也只能一直探索,3709
让子弹飞一会，掌握科学正确的世界观和方法论，认识和运用事物规律，做好该做的事情,3281
欧洲短暂的文明史让他们认为社会的发展是静态的，事实上却恰恰相反，社会发展从来不是自然而然的，而是人民共同奋斗的成果。,2343
"资本论最重要的一点就是，它不是单纯为工人或者zbj服务的，而是对整个人类文明发展的一种预言和指导。
正因zbj也会看资本论，所以恰恰从马克思那里得到了延缓自己衰亡的指导
但请注意的是，这并不代表那些致命的问题都被回避或者说消失了，马克思的精准而诡异的预言仍然在继续游荡在人类文明历史的进程中",1950
在实践中追逐，但目前这个表述依旧属于理想信念范畴,1866
信息不平等。有多少人会用gpt4.0？会用midjourney？会用zlirbrary？别说被封了，你会用tor暗网进吗？我身边可大把人不会用的。这种获取信息的能力不是简单就能培养的。,1243
个人觉得马克思是没想到人类能把蛋糕做到这么大，以至于只要把1%的资源分给99%的底层人，都能让底层人吃饱穿暖，不至于揭竿而起。另一方面，科技和生产力的大幅度提升也使得统治阶级有了绝对安全的保障（执法机关+军事机构）。因此，过去几百年发生革命的土壤已经不复存在，没人会再为了一点点渺茫的可能性放弃自己现有的“丰衣足食”，拿生命去换取所谓的更多的尊严和公平。,1240
有没有可能，我是说可能，就是最发达的资本主义国家也还没有达到马克思先生口中的“先进”程度[doge],1236
