comment,like
"“我的头好痛啊”
“又摔了一架飞机”
“这是第几架了”
“已经数不清了”
[doge][doge][doge]",2222
你怎么知道（[妙啊],1628
站起来呀，加坦杰厄[委屈][委屈],1562
这就是怪兽视角，飞机的大小吗[doge],1368
这个[doge],850
这气动竟然能飞起来,783
[doge]能做过会飞的迪迦吗？,750
我也是用纸盒做的，马克笔上色[吃瓜],555
这个！安排一下！,533
我在九良良岛上空，这里一切正常[OK],446
"视频简介:
图纸链接： 链接见视频简介  
提取码：mjzw 

BGM：
奇迹再现
矢野立美 - 蘇る巨人 ＜M-3,M-11＞

◆制作设备
xTool激光切割机，拓竹X1CC打印机
材料：4mm瓦楞纸/5mmkt板/3mm椴木层板
动力系统：70mm涵道，80A电调
电池：6S 75C 4500mah

录像 ：SONY A7C /SONY FX3 /TAMRON28-200
iPhone 14 Pro Max/Insta360 Go2

bilibiliAI视频总结：
一个人设计制作了一架胜利飞燕1号遥控模型，并进行了试飞。视频中展示了制作过程和试飞结果，包括使用激光切割机制作模型、模拟风洞测试升力、重心等，以及试飞过程中遇到的问题和修复情况。最终，制作了四架胜利飞燕1号模型，其中第三架使用德国快递箱制作，非常结实，但重量偏重。视频最后询问了胜利飞燕2号的观众需求。
	制作胜利飞燕一号遥控模型的过程，包括制作材料、制作步骤、试飞经历等。
		0:01 制作胜利飞燕1号遥控模型，使用纸箱制作，打印图纸，激光切割，拼接完成。
		3:23 模拟风洞测试，起飞失败多次，最终成功。
		5:55 飞机遭遇强烈电磁波，改用手动操作，最终失速。
	胜利飞燕一号的内容,并询问了胜利飞燕二号的观看人数,表示感谢支持并期待下次再见。
		7:30 创作过程和内容总结
		7:40 感谢粉丝的支持和留言",235
真要纠正的话胜利飞燕一号机的推进装置应该是机翼两边中间的只是收纳盒[doge][吃瓜][滑稽],219
经济基础不允许我玩飞机,158
飞燕一号是我在网上唯一能看到实物能飞的奥特曼飞机（不主动搜，纯靠推荐），同时也是最帅最耐看的飞机,141
所以安－225呢？,129
up下次可以试一下梦比优斯的凤凰号，那个肯定难不倒你们吧？[doge],76
好奇想问一下，核心飞梭的结构能科学起飞吗[星星眼],61
飞燕有了，亚特迪斯号还会远吗？@魔界造物 @魔界航模俱乐部,49
[doge]不会炸的胜利飞燕号是没有灵魂的,49
力大砖飞,48
"大古:操纵杆失灵了
新城:你放开我来
大古:我已经放开了
新城:大古！！！好像还是不行呀
啊—— 噗通（落水声）[doge]",45
"不费铁，不焊接，只需几步就可以做出胜利飞燕一号
你，也可以做到！",44
"胜利飞燕图纸链接：https://pan.baidu.com/s/1D2ptaUatpp3l003YZvZWRg 
提取码：mjzw",43
这里为什么不封上，这风阻多难受啊,33
已投币，阿婆主，有图纸吗[doge],26
"低情商：摔了。
高情商：还原剧情",22
首先我不是航模方面的专家，但我还是要发表一下我的观点，在我仔细看你制作的四架飞燕出的问题经过长时间的思考后，我其实也不知道怎么回答，正如我一开始说的，我不是这方面的专家,18
大古 最终被 菜地怪兽 击落[大笑],16
根据up简介，自己制作的话想了解下自己弄一个费用大概在多少？已知在所有材料都没有，需要现买的情况下。切割打印这种去找那种打印店的费用，有大佬了解的吗？胜利飞燕号真的好帅，还有那个戴拿奥特曼里面的那三架飞机,15
视频播放完了，飞机都摔了好几回奥特曼怎么没有变身呀[doge],14
起猛了，梦里面飞燕一号照进现实了，还坠机了，为啥后面没有大古变身的环节,12
胜利飞燕炸机属于非常合理,11
[妙啊],9
这就是航模人的行动吗[doge],8
3小时过去了，赶紧把胜利飞燕2号拿出来[doge],7
"看到弹幕里有人说希望up做一下eva的垂直起降飞行器。私以为是绝好的点子
赞同的来点个赞",7
建议UP做昭和到新生代奥特曼飞机的全系列，看看是哪几个最难飞起来，我先投铬金切斯特一票[doge],7
我想要看戴拿里面的合体飞机，可以在空中合体的那种[doge],6
多做点奥特曼里的飞机呗[doge],6
问个问题，理论上能不能做到剧中那种底部喷气来升起飞机的效果，要那种稳稳的甚至在飞行中能辅助飞机保持平衡的[doge],5
顺手催更双发涡喷j16[doge],5
感觉可以加装一个水枪射击，这样就更好玩儿啦！[doge],5
"“又掉了一架飞机……”
“这是第几架了？”
“已经数不清了……”[doge]",4
不可能再造出比飞燕号性能更强的机种了[doge],4
虽然但是，原汁是翅膀两边是推进口[doge]，不过也没法，毕竟是科幻,3
我小时候要是有这个在手，我能在小区孩子堆里横着走[doge],3
话说UP做过An225吗[doge],3
迪迦不是有两台黄色的飞机吗？,3
太看得起我了,3
希望能看到能够打开武器盖的二号[doge],3
有没有懂得讲一下这玩意儿有击杀记录吗？,2
