comment,like
连续三年在这个时候刷到你了，大数据是个神奇的东西，其他季节都没见过你[doge],18815
《论季节区up的绝对音准》[doge],15001
高音区由于冰块磨损逐渐偏高hhh，到后面就会感觉左边大冰音低了,12657
问问up，在录的时候，冰块有没有掉下去过哈哈哈哈[喜极而泣],9988
"23.12.22 冬至 版本说明：
1.大热曲目《奢香夫人》
2.新增长键“S”型判定，请认真拖尾
3.键型更新为9键
4.“绝对音感”、“王の不冻之手”常驻成功，可自定义冰块形状与服装[doge]",9780
我还以为是手套原来是手冻紫了，辛苦up啦,8187
"[笑哭]每当我刷到up的视频的时候，都有些时光流逝的感觉。
平时还没啥感觉，一天一晃就过去了。
但这个时候，多多少少会感慨，这TMD一年又过去了。",7253
去实地探访了下，up的乐器已经化了[大哭][大哭],6579
B站纪年方式:看up划拉冰、看手艺贾腌酸菜、看敬汉卿卤鸵鸟蛋，还有的欢迎补充[doge],5897
啊？有没有内行人解释下什么原理啊……真的绝对音感！[脸红],3854
"之前20多岁的凤凰传奇看着台下50多岁的粉丝陷入了沉默
现在四五十岁的凤凰传奇看着台下20多岁的粉丝陷入了沉默",1824
季节限定冰块演奏可以迟到，但不会缺席。一大早天亮前，敲出音高合适的冰块（无后期调音），天蒙蒙亮的时候录的视频，光线较暗，画质感人(doge)中间划错了两个的地方后期剪掉了（doge)喜欢给个三连,1402
既然能这样，那两块冰一起推是不是可以做和弦[脸红],1213
季节区up主回归[打call][打call][打call],1083
老一辈冰术家的从容[doge],582
怎么又过去了一年啊[抓狂],569
两三年了又刷到，但是我没关注。[doge][笑哭],470
尊贵的季节性up主又回到了他忠诚的B站,383
当我看到这个视频就意识到冬天到了,315
不用关注，到了季节自然会出现在我的主页上[脱单doge],310
"关注up你可以获得以下经验值：
年龄+1
感动+1
音感+1
寿命-1
修为+1",258
"👽：看看地球人的艺术发展到什么程度了
👽：[辣眼睛]
一个月后
👽👽👽👽
🤚🤚🤚🤚
❄️❄️❄️❄️乌蒙山连着山外山！！",210
这个up在其他季节发什么？[喜极而泣][喜极而泣],186
考研休息区,158
上次听到冻听的音乐还是在上次，这么快就一年了？[哦呼],153
刷到你我就知道又过了一年了 md真快[笑哭],116
"女娲:看看我做的绝对音准宝贝在干什么
女娲:6",111
其实真正牛的是人的大脑，他这个不是说特别像，但是人的大脑有了这个韵律之后，它会自动把听到的声音往那个上面靠,101
明天我要是考试的时候脑子里有这个曲子就完蛋了,99
"上帝：让我赐予这孩子绝对音感吧，他一定会成为最优秀的音乐家！
他：",95
玩冰块是季节性up每年冬天的保留节目[doge],77
不懂就问，音乐区用乐器是违法的嘛,75
每年都能刷到有人用冰块唱歌，现在仔细一想，可能是同一个up……,65
从未关注，但每年冬天从未错过[妙啊],60
限时返场！,47
恭迎古希腊掌管冰块的神回归,43
季节正确，冻手！[星星眼],31
啊，真是冻听的音乐,27
很奇怪，我从来没有关注过这个up，但是一到这个季节，就能刷到他的视频[喜极而泣],26
[doge],24
弹幕里面说是古希腊掌管冰块的神，错啦，古希腊没有冰块，应该是北欧掌管冰块的神,21
《音游人现状》[doge],19
多拍点吧，留着其他三个季节用[脱单doge],19
众所周知，音乐区up主用乐器演奏是犯法的,19
他甚至是单手，双手能划拉什么曲子我都不敢想,18
UP抖音有账号吗？这个人好像搬运你的视频,16
每年冬天看到up出现在我首页我就得感慨一次又一年过去了[人格贴纸-ESTJ_呐喊],12
上一次刷到你是高一，现在我都大一啦[微笑],12
@央视新闻 春晚要看这个，就要看这个,12
上次看这种视频还是在去年[doge],11
每次刷到up，我就会想到TMD又一年过去了，钱没了存到多少，女朋友也没[笑哭][笑哭],11
"路人：这是啥丢了？每片冰块下面都得看看？（靠近）
乌！蒙！山！连！着！山！外！山！",11
每年冬季定番，谢谢up提醒我又混过一年,11
真的连续三年只有冬天能看见[怪怪小黄豆_哭哭],11
关键他是单手啊，太离谱了，我看手都冻白了,10
我先来，音乐区用乐器演奏是犯法吗？,10
这就是绝对音感？？手里的瓜子掉下来,10
每当我刷到你的时候，我就知道我又虚度了一年的光阴[兔年],10
觉得up靠伴奏的可以去翻前面的千本冰，没伴奏,10
冬季特定更新[热词系列_哇酷哇酷][热词系列_哇酷哇酷],9
从未关注过，但这个系列年年看[笑哭],9
[脱单doge],9
冰块演奏家，坚持不用手套为的就是保证音准，如果在日本，那就是冰块仙人！,9
完全没有音感和音律的人羡慕了 我就会听哪个排气好听[tv_doge],9
当你刷到这个up的时候 说明又要过去一年了,9
一到冬天，我就能刷到你，过完冬就不见了[doge],9
就凭这冻紫的手，你三连有了[OK][OK],8
南方人每次看up的视频总能获得一种很纯粹的快乐[大笑],8
没关注，但每年快跨年都能刷到，好离谱，但喜欢[脱单doge],8
我就说这个冬天少了点什么[doge],8
你是我在去年看到的，以及前年看到的，那个被叫做季节性up的up么,8
woc，周期大冰区up主 从未关注从未错过,8
这个不能多练习，乐器容易练没了[歪嘴],8
上帝：看看我给了绝对音感的孩子在干嘛,8
"上帝：哦，让我看看被赐予音乐天赋的人在干什么
up：用冰块演奏音乐
上帝：6",8
看到你的新视频我就知道冬天来了[doge][doge][doge],8
哥，不行咱买个手机支架吧，两只手会不会轻松些,7
每到这个季节，杨过就又出来玩冰块了[doge],7
每次看到你玩雪玩冰都觉得一年过得好快好快[笑哭],7
在用绝对音感做什么呢铁咩——[热词系列_锤],7
"天外“来”物
风吹？动
我行“我”素
    游上面的山玩下
                             面的水！
  红绿灯的黄！
   节奏呢",7
终于想起来为什么关注你了[脱单doge],6
这个都有2.1w收藏，你们收藏的意义是什么，不是这玩意是真学不会啊,6
！up的冰块演奏已经变成凌冬提示曲了，不得了了---,6
冬天到了，又到了十五老师溜冰块的季节[doge],6
众所周知 音乐区用乐器是犯法的[藏狐],6
为了参加季节返场，我错过了我五十分钟一次的公交车[辣眼睛],6
虽然一直没关注，但每年冬天都会出现在我的首页[脱单doge],6
在乌蒙山连着山外山出来之前，在那划拉啥呢？出来了后卧操绝了,6
年年岁岁冰相似，岁岁年年歌不同[doge],5
如果冰块掉下去了是不是要算演员意外工伤[OK],5
每年冬天必备节目[兔年]话说带手套影响发挥吗？,5
第一次刷到up的时候我还在上大学，时光流逝，好感慨啊,5
一年一度节目系列！感慨，又过了一年。up主手都冻紫了hh[笑哭],5
这么多年了，还是不肯买个手机支架吗？,5
每年都沒關注，又每年都刷到了[doge],5
去年那个孤勇者我也看了，果然是冬季区up呀[doge],5
一点半了还有七百来号人在看[笑哭],5
如果没看错的话，阿婆主的手好像被冻紫了[微笑]这么牛，必须投币,5
我都不敢想他要是用两只手，那不得野蜂飞舞了？,5
啊，真是冻听的音乐,4
从未关注，从未错过[脱单doge][脱单doge][脱单doge],4
直到刷到这个up我才感觉这个冬天是完整的[脱单doge],4
下次记得让头上长个摄像头，这样就可以解放双手啦[OK],4
好多年前的千本樱那个是你干的吗？,4
乌[大笑]蒙[大笑]山[大笑]连[大笑]着[大笑]山[大笑]外[大笑]山[大笑],4
十！五！的！月！亮！廿！五！圆！(奢香夫人 月亮表演),4
我正在看，我家两岁宝宝在我怀里听见声音了赶紧抬头，看了看指着说哈哈，好好笑[洛天依_哈哈哈]（心里肯定想着这么冷怎么有人玩冰呀）,4
[热词系列_知识增加]乐器越少，乐器越多,4
古埃及掌管冰块的神,4
食品我知道有季节性，怎么UP主还有分季节性？,4
众所周知音乐区用乐器违法[doge],4
好羡慕绝对音准这种天赋。后天锻炼不出来，必须天生。,4
季节性up 冬天才会长出来,4
刷到你我就知道你们北方又下雪了,4
每年保留节目[打call][打call][打call],4
下回来个one last kiss吧[脱单doge],4
从未关注，但是每年都不会错过如此冻人的音乐[脱单doge],3
又过了一年呀 去年听up滑出来的枫 现在一想 感觉像在昨天……,3
有人在我的大脑里唱歌啊！？救命！！！[小会员绿豆人_惊吓],3
这个磨着磨着会不会磨损了就变音了,3
季节限定冰块演奏可以迟到，但不会缺席。一大早天亮前，敲出音高合适的冰块（无后期调音），天蒙蒙亮的时候录的视频，光线较暗，画质感人(doge)中间划错了两个的地方后期剪掉了（doge)喜欢给个三连,3
乌[大笑]蒙[大笑]山[大笑]连[大笑]着[大笑]山[大笑]外[大笑]山[大笑],3
如果歌太长了会不会把冰块的音准磨歪了[doge],3
轻点滑，快飞池子里去了[脱单doge],3
季节限定冰块演奏可以迟到，但不会缺席。一大早天亮前，敲出音高 合适的冰块（无后期调音） ，天蒙蒙亮的时候录的视频， 光线较暗， 画质感人(doge)中间划错了两个的地方后期剪掉了（doge)喜欢给个三 连,3
你在用你的绝对音感干什么？！！！！[来古-震撼],3
up究竟是什么工作啊[脱单doge][脱单doge],3
拍到一半突然有人来问一句“小伙子你在干嘛”怎么办[脱单doge],3
又到冬天了，我又来看你了[doge]（第三年）,3
你活了呀！我八百年前关注的up，终于想起来为啥关注你了[脱单doge][脱单doge],3
"一人血书up买个三脚架, 左手一起和弦",3
呀，季节UP限时回归[doge],3
又是你 每年冬天都会上热门哈哈哈哈哈哈哈哈哈哈哈哈,3
古希腊掌管冰块的神,3
白天在楼下踢冰的时候，听到那个摩擦声还想着最近的天气太适合up更新了，结果睡前就刷到了[雪未来_下雪了][雪未来_下雪了],3
当你看到这个视频的时候你就发现又是一年过去了……,3
啊，真是冻听的音乐,3
一年一度，up涨粉季又到了[吃瓜],3
冬天到了，又刷到你了[脱单doge],3
季节限定up回归了！[热词系列_优雅],3
美妙冻人的音乐[鼓掌],2
这特么是个单季up，只有冬天冬天碰得到！其他三季鬼影都见不到,2
等哪天up进化出左手，成就不可限量,2
@玫娅来咯,2
季节性up主 堂 ！堂 ！回 ！归 ！[2233娘_大笑],2
@真昼天使天下第一 @老狗讲春考,2
每年保留节目，比春晚好看,2
乌[大笑]蒙[大笑]山[大笑]连[大笑]着[大笑]山[大笑]外[大笑]山[大笑],2
来啦！前排求up电子签名,2
又到了在首页看到up的季节,2
古希腊掌管冰的神,2
这么多年过去了，他还是杨过玩冰[保卫萝卜_哭哭],2
上次还是去年,2
复活季,2
季节性up回归了[脱单doge],2
季节性博主触摸的时间到了,1
歘冰夫人,1
up，抖音有人盗你的视频,1
