comment,like
很搞笑，想起来初中的时候查头发，我是自然卷 非说我是烫的 先记了再说[doge]然后我就被罚扫了,2728
中学时候的校服，尤其是裤子，有亲戚是医生，不建议穿，一点弹性都没有，很容易影响生殖器发育，甚至造成损伤。家里是裁缝，就做了外观上一模一样但是很有弹力又吸汗的一套，结果被发现后被认为是挑战学校纪律，处罚的比“在校服上乱七八糟涂鸦”还要严重。并且专门把我拉到办公室里叫我“不得扩散”[无语],1987
最近几天速冻了[雪花] 你们那里最低多少°C [大哭]大家要注意保暖哦[喜欢],1467
想起来我高中的时候确实有某些校领导形式主义严重[呲牙]基本和视频一致,1367
cnm宿舍洗澡因为刚考完试就提前走了，结果我舍友叫我回去说因为我提前走了10分钟全班都留下不让走了[呲牙],1108
以前我可能会吓得不敢说话，现在：扣，多扣点，要那文明班有吊用[响指][星星眼],910
笑了，本来咳嗽好了，结果学校要我们下去跑操，上来马上咳嗽[呲牙],275
辛苦了，这么冷的天还这么拍[打call],220
我们学校年级处发通知给你念一下原话:气温达到17度以下，就不要求外面必须要穿校服了，可以穿自己带的外套，但是裤子要穿校服裤。一切以保暖为主[doge][doge][doge],149
萧枭这个蓝色羽绒服有链接吗。[doge],118
[doge],64
我们新校长挺人性化的，允许我们穿自己衣服,48
你们学校冷的时候不会发那种到膝盖超级厚而且棉里子能卸下来的冬服吗？,28
这不是段子是我们这边的现实[笑哭]你冷可以花300块钱买冬季校服[藏狐],21
为啥我从小到大没遇到这种事，再逆天的主任至少不会在健康方面挑刺，现在上大学了更没这种破事,14
萧枭难道是爆破专家？多动一下就会爆炸💥,11
不是，没冬季校服吗?[笑哭]南方学校?我感觉我们的冬季校服是我穿过最保暖的衣服了[doge],7
[微笑][微笑]看了你这个视频，突然想起来高三是因为冬季校服太冷就套了件大羽绒服结果被新上任的级部主任约谈的日子了,6
大部分学校哪有这种校长[无语][无语],5
羡慕去吧,5
我们高中校服，冬装，一件风衣一件毛衣，保暖效果几乎为0，冬天必须穿自己衣服，我们年纪主任也是要求必须把校服穿外面，结果后来她把她们班的校服禁令解了，其它班还是不让脱，我们班有个因为冷底下穿了两条裤子的，已经塞不下校裤了，最后给我们班主任罚了一周卫生，现在真的是极其怀念初中校服，至少有件棉衣[大哭],4
还好高中的时候不用穿校服[doge],4
我很好奇高中扣分能有什么影响，我以前高中调皮被嘎嘎扣分也没事，到大学了为了保研怕扣分倒正常,4
零下八度跑操1600米，跑了一周[再见]下个星期开运动会,4
好像是永劫无间,4
我们学校就是 上回有个人在薄薄的校服外面穿了层大黑加长羽绒服 被拦住了 检查的人非要让他把校服穿在羽绒服外面😅那人废了老大劲穿上然后艰难地走进了校门 看着好委屈 我同桌评价像个法式小面包[笑哭],3
"甜蜜学校史主任，
只顾校排面校服穿外面，
现给予全校通报批评，
希望大家不要向我学习，谢谢[微笑]",3
大学提醒你们，高中读自己的 ，不用吊这些破事，只要不进档案或者开除，自己读得舒服就好了,3
以前在镇子上面读初中，压根就不要求穿校服，除了开学大会和文艺汇演的时候要求穿，就剩下体育考试的时候是必须穿了。原因也很简单，因为乡下没地方买，学校也不会备，我一哥们想买多一件备用都没有，三年就发了六套校服，三套夏装三套冬装，后面回到市里面上学，才发现天天都要穿校服，感觉好奇怪，现在看来我才是奇怪的那个[笑哭],2
视频里起码有个好校长，但现实校长主任什么的都是穿一条裤子的,2
特么的开窗通风太真实了谢谢班主任让我感冒了一周@七濑胡桃Official @0pi_晓婷 @小院潮了 @平沢唯mio,2
学校越垃圾，校规越多,2
我们冬天发校服的哦。棉袄防雪的雪花飘上面直接飘下去了，特光滑而且暖和[呲牙][呲牙][呲牙],2
匹克打钱！[脱单doge],2
坐标佳木斯目前学校一楼的暖气片已经冻上了[微笑],2
我们老班：“要查你你就直接告诉他‘你不抗冻我抗冻？你咋不穿’”[脱单doge],1
"我们高中一直没有学生会，后来办了学生会就是视频里这个鸟样。
再然后就被套麻袋扔旱厕里了……从此以后学生会在我们高中就变成了一个提也不能提的字词的",1
《豆浆烩面》[doge],1
跟我那辣鸡民办高中一模一样，不管冬夏校服必须穿外面，而且外套里面的衣服也得是校服才能把外套拉链拉开，否则拉链不能拉开，我有次早上去食堂吃饭就因为这个被抓过一次，罚你站在食堂门口，还拿着手机怼着你脸拍照，一边嘲讽你说你衣服都穿不好[微笑],1
6,1
我们班主任说冷就穿厚衣服在外面，扣分就让学校扣吧,1
高中的时候有个cs领导，周忠辉，教化学的，大冬天期末考考完自修的时候要求把门窗都打开，教室里还有好几个感冒肠胃炎的，纯种cs,1
我同学小时候的照片[笑哭][笑哭][笑哭],1
俺们职业学校都不管的，你穿嘿丝都没人管[doge][doge],1
开门通风真实了，感觉感冒要好了又吹一节课冷风，结果又不好了[doge],1
你的押韵真是，好准！[妙啊],1
你们高中没有校服棉袄吗（？）,1
同款校服,1
还好我们学校校服有金衣,1
《萧枭同学X永劫无间》,1
太棒了，我所在的学校校服让穿里面[滑稽],1
我们有冬季校服，挺暖和的，可以没有冬季的校服裤子,1
初中莫名其妙学衡水，跑操校服一个不漏。多亏初中的时间表我才无缝衔接高中生活。除了初中先早读再吃饭[微笑],1
永劫无间哈哈哈哈哈哈哈哈,1
坏了，我们学校又与中国互联网脱节了,1
三中校友有感[笑哭],1
我们高中发了冬季的校服，就是那种冲锋衣,1
这种事情我们老师直接就跟主任沟通了，根本轮不到校长来，老师直接解决,1
你系不系暗恋我[doge],1
"說到這種廢物
我高中就有一個這樣的 不過後來不在了
舒服",1
扣分？扣的是我高考分？随便你多扣个几十分攒着别麻烦我了,1
我试过，外面套了个羽绒，里面是校服，门口保安给我拦外面，叫我把校服穿外面，我tmd，当时就上头了，凭什么不给我进，我自己硬闯进去，后面晚上被级主任拉去骂，我一直盯着他说话，他说我没穿校服，我拉开给他看:这不是？可能给他盯怕了，后面开始大喊大叫，说什么管不了我了，给我丢教务处主任那去了。,1
什么时候玩永劫了?,1
最近刷视频含劫量好高，是出了什么事吗 ？,1
学校虽然也发冲锋衣[笑哭]但是吧，那个保暖性也就那样，里面的水汽散不掉，容易有味，衣服重量还不轻，拉链还容易坏，我上初高中时候反正不爱穿[笑哭],1
我们学校还真这样[脸红],1
我之前穿了一件风衣去学校，结果全校都叫我风衣男神[笑哭][笑哭][笑哭],1
我座位在门旁边[藏狐][藏狐]我们班那些人开门出去跟大爷一样的别人少说还形式的带一下他甚至带都不带一下，说铁门冰的，冷[辣眼睛],1
辽宁省铁岭市调兵山市第二高级中学,1
[doge],1
还好我是北方人，我们有冬季校服(｀・ω・´),1
你猜我为什么不笑[微笑],1
这算好吧，我们那学校就算里面是自己衣服分也照扣无误[保卫萝卜_白眼]必须全部都是学校的衣服，那衣服还卖贼贵，质量甚至没拼多多的好[保卫萝卜_白眼],1
哦！那些说现实不可能有这种学校的请去嘉禾一中看看,1
我们学校怎么除了升旗和搞活动完全不用穿校服[笑哭]怎么其他学校好像都是一直要穿校服的？,1
领导很弔？走出学校你最好小心点[阴险],1
我们学校那边秋天早上领导让全体穿夏季校服（短袖），然后有学生在网上骂学校，结果学校领导第二天召集全校学生说，不是学校让你们穿的，是你们自己要穿的，现在又怪学校（西北地区的秋天早上很冷，早穿棉袄，午穿纱，围着火炉吃西瓜）,1
我们主任就姓史呀[笑哭],1
规则就是用来打破的[星星眼],1
那个蓝色的衣服给个链接[哦呼],1
寒潮橙色预警，天气8度，冷的要喜，同学问级长能不能穿羽绒服在外面，级长一句“还没冷到那个程度”就打发我们了。在班里面也是，但凡想穿一件衣服在校服外面就要被请家长[脱单doge],1
永劫无间打钱[doge],1
我承认我们福建省连江职业中专学校是这样的[大会员粉豆人_偷笑],1
我这边，校服冬天根本不管，现在这时候，一个穿校服都没有，那冬季校服跟屎一样，根本不保暖，要是我这边管的严，估计全校都得炸毛，[脱单doge],1
明明主任的西装也是穿在里面的[生气][生气],1
真实[辣眼睛],1
发的太真实了，厦门市乐安中学高三就是这种锤子规定,1
玩永劫玩上头了,1
来自东北的魅力,0
爷青结[大哭],0
[doge][doge],0
[doge],0
站住腳跟,0
面对让我们开窗通风的老师：没开窗一个母体，开了窗全成母体,0
衣服,0
幸好我高中没校服,0
-20度,0
学校这还不重呢，进了社会更重,0
