comment,like
所以作为普通小学的老师，每次上《少年闰土》这一课都是我最感慨的时候。孩子们嘻嘻哈哈的，每个人都觉得自己是讯哥，住在城里吃好吃的水果没怎么接触过大自然，他们笑着闰土的可爱与纯真。课外阅读题有闰土和鲁迅中年相遇的文章，孩子们有惋惜闰土的有看不起闰土的有不明白他们中间的“可悲的厚障壁”的。但依然，都觉得自己是鲁迅。可我拿着全班的花名册，却清楚的知道，如果不出意外的话，大家都是闰土，都是平民。少爷这种阶级，根本不会出现在我们学校里，片区内有很好的私立学校可以选择。,25237
我会厚着脸皮问那你那还招人吗哈哈哈哈哈哈,12305
"又怕兄弟过的苦，又怕兄弟开路虎。
其实不是嫉妒兄弟，而是“开路虎”已经算是不同阶级的了，和讯哥一样。
家庭和工作完全不同，见识和经历也完全不同，根本不怕“不够熟”能抹平的。",8528
闰土亲切的叫道：“老爷，多日不见您想小人吗？”,6778
大多数人一旦知道自己和对方差距过大，都会不自在，多熟的关系都是这样，别说所谓的抱大腿了，开口借个钱都难…,6015
当时的社会，不是说你有钱就可以想帮谁就帮谁的,3980
我和她还比较幸运，我们从小玩到大，她赚钱的时候我也在她身边，名义上来看是我们两个赚大钱，但如果我们两个像鲁迅和闰土一样长时间不见，我说不定现在和她也是这样称呼,3512
说明不够熟，够熟的经常聊，还要等见面了才知道对方发达吗,2745
"我知道我与闰土之间已经隔了一层可悲的厚障壁了。
         ——鲁迅《故乡》",1552
偷换概念了，一个碌碌无为的人，见到曾经一起玩但是通过努力成功了的朋友肯定会自卑的，这是生活阅历的不同，但是闰土是因为当时的社会环境所造成的阶级差距而导致这种荒诞的现象，我认为视频所表达的意思并不完全一致。,913
原文里“迅哥”即将出发的时候他的侄子和他说道水笙（闰土的儿子）请侄子到家里去玩。暗示了“闰土事件”循环往复且无解，正因如此现在亦司空见惯，原文虽未明说任何道理，实则比课本比二创都深刻,551
看到这个，就有些感慨吧。小学的时候，和一个同学成绩差不多，关系还不错。小学毕业后就各奔东西了，初高中的时候一直混吃等死。高考的时候考的不上不下的，选择了复读。这个同学考上了清华，复读期间见到了他，我小心翼翼地叫他全名时候突然想起了以前我叫他外号的时候，那一瞬间我就成了闰土。,444
人情世故人情世故，以前我嗤之以鼻，现在我恨不得逐帧学习,207
叫你叫我讯哥，你还真叫呀？我不吃牛肉的[滑稽]主要是底层百姓没有试错成本，还是谨慎点好[笑哭],173
小时候和同桌聊到过，我那时极其嚣张的说“我高低得是只猹” 现在长大了，我依旧是猹[呆],135
小时候看这个文章没什么感觉，长大后再次面对发小时那种强烈的自卑感才知道这厚障壁是什么意思,97
"当年读过的书，一定会以某种形式让你体会到它的真正含义。
正所谓，初读不懂其中意，再读已是书中人。",67
"十五六岁的我在地理试卷上写下
""此地的优势在于其丰富的廉价劳动力""
十年后我奔波在上班的路上
听到背后有隐隐约约的风声我停下来转过身去
""一个来自十年前的子弹正中眉心""",42
我一直自诩记忆力好 可是小学初中高中关系一般的同学名字都已经想不起来了…而我呢？和一些考上双一流的同学联系也很少了 虽然嘴上不说什么 但是我知道 我们之间已经有一层厚障壁了…,16
史铁生说过教育是有滞后性的，有时候只有自己经历过了，才会明白当年的道理[打call],7
不太清楚各位是怎么想的，但要是我的话，我依旧会和对方开开心心的玩闹，我不会再提及任何关于钱啊地位啊，帮帮兄弟啊这些话题，因为我知道，我提出了，对方一定会帮，但是友情也会变质,6
也就演出来这样的效果而已，事实是如果他还记得你，那就没必要这么死板,6
"有时候不是不想帮，也帮不上啊。
在大城市开超市，挣了些钱，亲戚总以为我是大老板。
啥都找我，高考也找我，好家伙，我要有改高考分数的本事我还开啥超市啊[笑哭]",4
我仔细想了一下，闰土那个主要是阶级不同。现代这个情况，我如果都混到当保安了，肯定要同学帮一把啊。其实不能混为一谈吧。。,4
实际上，只怕这厚障壁也不是老王毕业创业成功后才形成，而是他们出生时就存在了罢[辣眼睛],4
你还不如拍。a拼命跑业务，b低调收租看大门。更符合[OK],3
记得当时学的时候好像知道当时如果是鲁迅先生不希望闰土叫自己老爷的，所以，即使混不好也别自己贬低自己，说不定对方真的想拉一把呢,0
