comment,like
大家别被骗了，其实这是正常比例的房子，只是up主是巨人所以显得小[doge],6126
巨型房子卖点应该不会有小型房子好，因为小型房子和人相比会有一种参照感，巨型房子物品你很多难以使用参照的话可能还要用到无人机，成本也更大，与其搞大巨房子，不如在微型房上多想其他的创意，比如可以搞多层，比如可以搞小型豪宅，带泳池的那种，微型高尔夫场,5908
这小房子做的真好呀，感觉能自己盖楼了[doge],4752
"小学生：woc牛B
高中生：做工好精致啊
大学生：卧槽这猫变异了吗怎么这么大",4589
巨房子可以卖门票了！[妙啊]我会买的那种,2988
老粉跟着你从pdd起家[笑哭]，到b站集集不落[笑哭],1498
定制车库不，缩小18倍比例的，这手艺车模佬狂喜[妙啊],1166
我觉得这个小孩的房子太小了，大人根本住不进去，要是能把他变成两倍大小就好了，磊哥可以帮我在上海做一个类似的房间吗，谢谢磊哥，三连给了[福到了],1122
只有我觉得幽闭恐惧吗？喘不过气来，有点害怕😱,475
连电脑冰箱这种家电都有小版？怎么做到的,396
李嘉诚：坏了，房子建大了,269
这电梯和电脑真六，我还以为是模型呢，没想到还真能用，太震撼了。,236
有点好奇哪来这么多的地[doge],160
哥 你盖个房子吧 我实在没地儿住[灵魂出窍],154
之前好像在哪里看过有一个侏儒小镇，里面的房子就是像这种缩小版的，但因为人也是缩小版的，所以看起来就像正常的房子一样，很温馨,63
可以给矮小症患者的住所提供思路,52
"他做缩小版房子的时候 我：哇哦，好厉害
他说要做放大版房子的时候 我： 妈呀，真有钱",50
实数狠人,45
后面不清楚，视频前面穿帮了，后面窗户车辆大小和房子同等，小孩和猫都是p的，小男孩透视不对，真有没有房子不知道，反正开头是假的实锤,31
电梯口居然还做了个消火栓[doge]看来挺懂啊，你这消火栓能出水么[doge],19
哥 你盖个房子吧 我实在没地儿住[灵魂出窍],15
请问做大房子，那个巨型马桶，上厕所掉进去了怎么办……？,11
开门那一瞬间，我小脑萎缩了，谁家猫养这么大，这是诸神时代开启了，灵气复苏了吗,10
国外好多这种视频 是后期弄得 举报了,8
