comment,like
当时学微生物的时候就发现这玩意非常不一样了，没记错的话好像炭疽处理不仅火烧，还要深埋，撒生石灰之类的，当时学的时候就对这玩意影响深,4207
仔细听完了up讲的，都说的非常对。21年的时候我们课题组从国内某处土壤中筛选功能菌株，结果筛出了野生的这货（应该是野生的，毕竟人造的话我们就上热搜了）。野生的还好不要恐慌，一针下去基本上就好了，抗生素都是秒杀的。当然我也说了那可是21年啊，而且我们课题组没有能力搞这种东西，最后在疾控中心的要求下把它给灭了。说句彩蛋：正如up最后说的那样，这玩意儿是有价值的，说不定可以成为火星基地的生物水泥原材料哦[doge],2750
炭疽这玩意儿依然不算最理想的生物战制剂，杀伤力强，确实，但是它对谁杀伤力都强，一个不小心先就毒死自己，最理想的生物战制剂始终还是针对特定基因的玩意儿，甚至可以做到前线打的正激烈我直接空投往下扔，自己人吸了屁事没有，敌人吸了当场暴毙，这也就是为啥我们现在对基因啥的管特别严，碰到什么说国外免费帮你做基因检测的一举报一个准,1624
这些国家完美诠释了我承诺≠我遵守,1538
这么强大的病毒还是细菌我感觉不可能因为签署了不使用条约就停止研究。看见好多实验都是保密的。毕竟秘机密绝密。,1202
和某些人形生物相比，即使是地狱里的恶魔也显得和蔼可亲。,1020
炭疽 比较熟悉  小时候我家胡同有个爷爷就是感染这个  大腿有个火柴盒大小的伤口  可以隐约看见骨头 据爷爷说是13岁赶马车被木刺扎了一下就患病的  经常流脓  把裤子都染透了 夏天的时候裤子遭苍蝇  然后用酒精消毒 疼的时候就抓椅子扶手  扶手都握出了坑,678
巧了我课程论文正好在写炭疽[笑哭]可以参考参考这个视频力（喜,537
炭疽这玩意其实就是大自然的分解细菌，用来分解腐殖质的，只是刚好拥一定的感染能力，然后经过加工又有了传播能力，然后就成生化武器了、,311
突然发现，就嘎人效率来说，细菌反而比病毒高效啊[藏狐],243
不懂就问，这东西除了这么干还能怎么灭杀，电离辐射都能抗住也太离谱了[藏狐],236
？第一种皮肤炭疽，真的假的，我小时候，有一段时间，村里的小孩子都得这个病，大多数都是长在小腿肚子上，还有脚踝那里，先长水泡，水泡破了，流到哪长到哪，然后干了就开始呈圆形溃烂，变黑，而且一直往肉里长，很难治，那个时候都是敷草药，还有涂紫药水，那个时候，小孩腿都是紫的，我现在腿肚子上还有圆形的疤呢，我姐脚踝上也有圆形的疤，我去，该不会是这玩意吧，过了那段时间，这个病就像消失了一样，再也没有出现过[口罩],201
中午吃饭看这个，会不会更下饭？11点半，坐等回复！,183
炭疽热真的可怕，为什么要做成生化武器[藏狐],159
？第一种皮肤炭疽，真的假的，我小时候，有一段时间，村里的小孩子都得这个病，大多数都是长在小腿肚子上，还有脚踝那里，先长水泡，水泡破了，流到哪长到哪，然后干了就开始呈圆形溃烂，变黑，而且一直往肉里长，很难治，那个时候都是敷草药，还有涂紫药水，那个时候，小孩腿都是紫的，我现在腿肚子上还有圆形的疤呢，我姐脚踝上也有圆形的疤，我去，该不会是这玩意吧，过了那段时间，这个病就像消失了一样，再也没有出现过[口罩],150
看到最后感觉大自然真奇妙。突然就想到一个说法，在毒草的周围有解毒的草药,146
碳疽是由芽孢杆菌属中某些细菌引起的一种急性传染病，主要通过皮肤、呼吸道和消化道感染。症状包括发热、头痛、肌肉疼痛、呕吐、腹泻等。在严重情况下，可导致肺部、肝脏、脾脏和淋巴结的感染和坏死。预防措施包括避免接触受感染的动物和土壤，以及接种疫苗。治疗方法包括使用抗生素和手术切除坏死组织。,135
根据炭疽的特定基因片段（如休眠体相关片段）针对其射击靶向药物，或者改良噬菌体针对炭疽进行选择是不错的净化方式。,127
记得以前看过cctv10的一个纪录片，非洲一个国家公园河马成片死亡。仔细调查才发现，是有一批河马首先中了炭疽病死亡，后面的河马吃死河马的肠子，最终导致整个国家公园的河马几乎死绝[捂脸],120
[妙啊]只要你是碳基生物，1000℃的高温面前都是乐色,111
不忘历史，希望以后能解决这些疾病的治疗问题,97
刚好能抵抗120度高温，所以你懂得，放水里煮不死。,92
小时候看过一个河马因为同类相食导致炭疽病传播最后大批死亡的纪录片，那个真的童年阴影了,86
保质保量永远是流量密码[doge],84
