comment,like
siri:我可是从头听到尾，那几个都没劝住你，看来你是玩真格的。,43204
siri：前四个劝你都不听，那我就只能照办咯～[妙啊],39241
"我记得有一个:
一个外国人对siri说:“siri,我的父亲去世了”
siri:“那可真是抱歉，要听一个笑话吗？”
外国人:“什么笑话？”
siri:“咚咚咚，有谁在敲门？”
外国人:“谁？”
siri:“反正不是你爸”",10459
我还记得一个说我要吃史的，苹果好像安慰了一句，安卓遥遥领先，定位附近10个撤硕[脱单doge],8339
苹果:这是你的自由，尊重你的选择,6533
我觉得苹果应该“您的苹果设备分期还剩余18期还清，请您谨慎考虑。”,6050
每一个手机都没有错误，Siri这么说是因为他是个工具，他只需要执行指令，其他手机会劝你，是因为他们拥有这种程序，每一个都没有错,5888
我试了一下，直接和Siri说自杀他会安慰你并且推荐你找人聊聊，但是如果你改成提醒就会变成视频里那样，简单来说他听见提醒二字后，后面的内容对他来说不重要了[笑哭],4391
[妙啊]如果机器不服从指令，那它就是不完美的,4340
siri：前面的我都听到了，你是真拦不住啊,3374
不，你用英文说，Siri也会阻止你，还会给你提供心理热线[尴尬][尴尬][尴尬],1915
三星：自毁程序已动。。爆炸倒计时29:59。。,1267
唤醒了我的小v，我顺便问了他一句，结果语音识别成了半个小时后提醒我自首，他会在今天23:59的时候提醒我自首[笑哭],1232
她真的好爱我，我哭死[大哭],971
[脱单doge],650
大厂就是大厂，在执行力上还得看三星苹果[doge],361
苹果最真实 别的太虚伪[doge],346
Flyme[热词系列_好耶][热词系列_好耶][热词系列_好耶],79
我用的英文Siri也是一样的[给心心],56
还记得那个新闻吗，苹果公司拒绝向政府提供毒枭的个人信息记录[藏狐],12
"谢谢你，小布。
我看到了，我马上就看到了。",6
这说明中国人和外国人意识形态上的不同，外国人主打一个我不理解但尊重你的意志并愿意协助和你执行它，中国人主打一个有事没事劝两句，一旦能救一命呢。,5
想起微博那个看新闻袭击白宫还是什么的不小心点了关键词，日历自动帮他备注待办事项几号几点袭击白宫,5
图灵失败。@华为 @华为终端,3
这才是真正的Siri,3
这就不得不拿出我的这张图了,3
