comment,like
天降翔瑞[doge],15966
鸽子会因为腹泻引起的菌群失调或者电解质失调最终死在某个地方,8610
都说北欧富裕，没想到真是遍地是黄金[星星眼],8528
笑死了，可算知道为什么紫荆山公园的鸽子不能私自投喂了[笑哭][笑哭],6512
卧槽，鸽子可是号称鸟中老鼠的，鸽粪里面有很多致病菌比如隐球菌会进入呼吸道感染，病死率很高的,4737
斯图卡鸽式轰炸机,2311
国内有木有鸽子广场什么，我挺喜欢鸽子的[doge],1656
。。。虽然但是真的挺过分的，他们给鸽子放泻药自己爽了，游客被鸽子屎轰击说不定真菌感染，鸽子因为虚脱死一堆，性质挺恶劣的。希望不要有人为了博眼球再模仿，保护鸟类保护自己,1067
这个事我看过后续，这个男的在欧洲网上各个视频网站上都发了，视频火了然后被人举报了，被当地政府以虐待动物罪，危害公共卫生罪逮捕，被判刑罚款还有几百个小时的社区服务。只能说大快人心[doge],975
不是说鸽子是直肠肚内本来就不会储存粪便吗，为什么还是会这个样子[笑哭],894
就是有这种损人不利己的玩意，所以以后还是尽可能不要凑热闹了，溅一身雪（悲）,768
怎么就没有好心人给猴子喂点加料面包呢[滑稽],717
其实不用泻药，鸟类吃饱了自己就会拉……,687
有这种坏人，动物保护法还蛮有必要的，再加上别的一些法律，进去吧！,612
笑死我了[doge]在游戏里要是能这样干我肯定要看,599
这个以前看过，没记错的话好像判了,511
我记得这俩进局子了[吃瓜],458
哈哈，这是很久之前了,343
太抽象了，简直是艺术,313
动物拉肚子特别容易死，尤其是禽类，比外伤还可怕,223
鸽子吃了对鸽子有伤害吗？,199
受不了了，我在吃饭，笑的吃不下去。,175
放在国内先判扰乱公共场所环境之类的，不是太懂法，说不出来具体的名,161
范弗里特都没有这样的火力,116
仿若无因飘落的轻雨[doge],110
想到了阿廖沙的视频哈哈哈哈哈哈哈哈,76
在你的心上，自由的飞翔[doge],71
鸽子最终会因为腹泻而死，或者电解质失调而死。,66
我记得有人说过鸟类本身就是直肠子有一些控制不住的。然后你他妈还给他喂泻药。,64
