comment,like
这是因为对面男方也对她有意思 要是对面男的不喜欢你千万别这么聊[大哭],14825
开个系列吧，trouble maker和double joker的故事~,13886
又来看龙图姐和华为哥了[鼓掌],10851
省流：什么锅配什么盖[笑哭],7162
谁发的“～”代表高能磷酸键，死去的生物知识在攻击我[喜极而泣],5095
两个人在实力这方面真是旗鼓相当,4744
"有点e了，我还以为是有点饿了……结果是emo 
我还以为是……
男：有点e(饿）了
女：兄弟抱（饱）一下～
并且还没觉得有啥问题……[妙啊]",4317
两个逆天神人，直接干碎了4个军师[吃瓜]笑死我了，真的好单纯啊，双方都是[笑哭],3496
能不能拍个男寝军师视角啊，真的真的很想看哈哈哈哈,3085
知道是剧本之后就没那么好磕了[大哭],2804
所以“有点e”是eom了。我还以为是有点饿[笑哭],2416
事实证明，你交不了朋友不是不会聊天，喜欢的人再抽象都会双向奔赴，别再锲而不舍的地做🤡了家人们,1250
根本不敢想象华为哥每天点开她的对话框是用什么样的心情[微笑],1243
我真的好喜欢这个悟空对黛玉的语音包哈哈哈哈哈哈哈哈哈,748
兄弟抱一下这个很巧妙哎，以后有机会我也用,674
三个人时刻控制在镜头内，并且没多余的小动作，剧本合理，这一看就是专业公司拍的,501
去试了，他让我别吓他（）,414
不过说实话，如果真的有这样的女孩子会很喜欢吧，很可爱诶很真诚,337
可是我喜欢的人跟我这么聊天我会觉得她超级可爱,178
那我这头像岂不与徐公媲美？,151
哈哈哈，被训得有一点委屈但又有点内容想反击的样子2333[大笑],136
"兄弟们有没有有入赘经历的 今天我爸跟我说 我大伯母的弟弟家想找个上门女婿 跟我同岁 
俩家这关系是从爷爷辈开始的 一直挺好 
我俩都内向这二十年也没啥联系  伯母说了 他家里没啥意见 只要我同意这事基本能成
给点建议呗[害羞]",92
就我觉得军师好漂亮吗[脱单doge],89
看来看去还是龙图那一集最有喜剧效果最耐看哈哈,88
稳啦稳啦，我差点以为我要变成小丑了[doge],84
这次居然有原声大碟[星星眼],82
我朋友的头像[藏狐]她觉得很酷,68
