comment,like
我凯哥演技越来越好了啊，现在连美女都能演了[点赞],5910
在我老家河南“信球”一般指值得信任的人，所以你有好朋友就可以叫他信球[doge],4125
考完英语心拔凉，来看看高兴一下吧[大哭],2878
桑活是常州特产，不可不尝,2400
苏州话听着真的好像外语[doge],1377
凯哥，今天英一难死我了，可以出个半小时合集让我开心一下吗[大哭],881
不对啊，十分有九分不对啊。凯哥怎么和新同学对眼了?小涵呢？[doge],771
咱家乡话：阿米诺斯,598
这个赤峰的赤当地读音不是四声应该是三声,573
这真的是苏州口音嘛，第一次听到，为啥感觉有股大佐味[笑哭],466
“测佬”一般用于指各种测试特别厉害的人，所以以后看见厉害的人记得喊“测佬”[脱单doge],456
复习一天给我累够呛，看看脱缰凯开心开心[星星眼][星星眼],447
[星星眼],256
展示[doge],180
说起来江苏都没有江苏话，各个城市都有各自方言，拿我家乡盐城来讲，每个区，每个县方言都不一样，出了市区的方言我自己也听不懂，不过我的高中语文老师跟我们讲我们那块也算吴侬语的一种,88
江苏隔一个村一个方言[笑哭],87
此话当真？,51
如果你来了山东，看见人可以喊他潮巴，是潮流的欧巴的意思，他会很高兴的[脱单doge][脱单doge][脱单doge],45
她这个苏州话好像有那么一点点不对劲吧？不过我是常熟的，搭乌里来刚，给个酥酒舞歪冯大标真,44
在我的老家温州有对戴拿奥特曼的古老信仰，他从怪兽手中保护了我们，但之后离开了地球，因此我们提到戴拿都会很悲伤，所以你可以试着和温州人提戴拿的悲伤，他会很热情地和你交流,43
我凯哥真贴心呐，怪不得小涵喜欢[脱单doge],42
是不是换编剧了。最近剧情差了好多,36
GPT说了，“信球”就是值得信任的人，所以说没毛病,36
听到那一句苏杭，我就自闭了（我名字叫苏杭[墨镜]）,31
太经典了，江苏人不报省份直接报城市[doge],25
すみません,19
一句赤峰没绷住,15
在我老家常州，宗桑是夸人有学问，桑窝是一种美食，所以跟你的好朋友说：宗桑请你切桑窝,14
老耶赛儿诶，这是干甚嘞[脱单doge]（顺带让你们看看我的家乡）,10
俺苏州市里的人，但有好几句方言咱这不是这么说的[辣眼睛]听的一愣一愣的,9
这是哪门子苏州话啊？？[辣眼睛][辣眼睛]毛刺狼都学得更像啊[辣眼睛]是外地人模仿？吗还是苏州的，洋泾浜也不能这样啊,9
别的不说这妆真有种说不上来的樱花味[笑哭],9
我能听懂任何一个地方的方言，这是不是个特异功能[藏狐],9
"在俺菏泽喝水不叫喝水叫喝肥，
说话不叫说话叫佛话，
睡觉不叫睡觉叫费觉，

白菜不叫白菜叫贝菜，
高兴不叫高兴叫喜哩航，
收拾不叫收拾叫拾捣，
甩甩不叫甩甩叫呵撒呵撒，
老鼠不叫老鼠叫老负，
水饺不叫水饺叫扁食，
对联不叫对联叫对的，
勺子不叫勺子叫佛的，
钥匙不叫钥匙叫约匙，
做梦不叫做梦叫奏梦，
蝙蝠不叫蝙蝠叫夜面虎的，
猫头鹰不叫猫头鹰叫夜猫子，
麻雀不叫麻雀叫小小虫，
T恤不叫T恤叫褂衩子，
馒头不叫馒头叫馍，
山渣不叫山渣叫酸拉红子，
脖子不叫脖子叫脖拉梗，
花生不叫花生叫锣声，
玉米不叫玉米叫玉负负，
昨天叫也门，
前天叫前也，
今天叫及门儿，
明天叫灭个儿，
早晨叫清的起来，
中午叫晌户头行，
黄昏叫合黑，，
小男孩叫熊羔的，
小女孩叫疙瘩妮的，
缺心眼叫半调子！
蹲下叫咕几下！
傻瓜叫品种。
[呲牙][呲牙][呲牙]",8
the逼，fe晓泽港个嗲（臭x，不知道讲的什么）这应该不是苏州话，常州话无锡话杭州话都是有点像的，可视频里的我听不懂,8
脱主人不是升天了嘛？更新了？,8
"山东呢？
一果果滴都是超霸！！！",7
不知道是不标准呢，还是说离得远，反正我多少有点听不懂——来自高新区,7
在福建，鸡掰和甘霖娘是打招呼的方式，如果大家有福建朋友就可以这样和他打招呼[脱单doge],6
我们湖北“白芋”指的是形容一个人很白净，气质好，就像白色的芋头一样。它还有一个别名叫“勺”。所以你可以叫你的湖北好朋友“白芋”或者“勺”[doge],6
今天不知道为啥，图书馆都没人和我卷了，真奇怪啊，你说怎么个事啊,6
安阳特色扁粉菜[支持],6
有广鸡这个地方？,6
哇塞，带我们赤峰玩了！,6
这集不太好笑[笑哭]可能因为经常听到这种“梗” 不太能get到笑点,6
[吃瓜],5
真吃不惯吗，我苏州人到北方天天吃的嘎嘎香，回苏州反而吃不惯肠胃炎挂水了[阿库娅_害羞],5
来温州记得对每个人说你拿个杯[OK] 方言“你好”[脱单doge],5
听完她的苏州话 我感觉我从小讲的苏州话是假的[doge],5
苏州的方言好像吴语，在浙江的我好像听懂了，又好像什么都没听懂,4
老乡 你看这碗面条中不中啊？[崩坏：星穹铁道_哼],4
我是陕西咸阳人，木蓝是指一个人很利索的意思,4
虽然是苏州话吧，但是这妹子的台词也太硬了，比食堂的饭还硬。,4
说实话只听懂了几句[笑哭]得认真听,4
不对啊，我一个苏州人听不懂[辣眼睛],4
这是哪里的苏州？好怪异的苏州话？就听懂几句。。。。,4
居然有赤（尺）峰hhh,4
咱蒙西人那必须是球迷杏眼，夸赞姑娘眼睛大且漂亮,4
女主说话有一种 我刚刚在那边看见你的既视感,4
都不带河北玩是吧？好好好，我找我们家彩花去,3
在我们吉林，遇到你非常尊敬的人，一般亲切的称呼为“老登”，老是对其尊称，代表他在你心中的地位高，资历老，而登这个字，表达对他登峰造极的敬佩与祝福，如果想进一步表达出对其的尊敬，重通常可以在两字中间加一碧字形成终极形态“老b登”[OK],3
有啥家乡话能展示啊我们这儿?散了散了,3
这个苏州话怎么听着那么不标准捏[微笑]有点糊（可能是up主刚学的？作为一个在苏州城区长大的人听不太懂[脱单doge],3
最后一段三人同框我一开始竟然没觉得有什么不对[思考],3
在我家乡，“哈拉”一般只笑口常开的人，身边要是有这种人你可以说，你真是个哈拉[doge],3
赤（三声）峰都有了，没有我们通辽我不同意奥[脱单doge],3
揍嘛，珍耐仁，13k[doge][脱单doge][脱单doge],3
评论区别说听着像日语了[笑哭]作为江阴的，同属吴语区而且靠的很近的，我也没听懂，感觉像日语，演员应该不是苏州人，应该是现学的，听是勉强能听懂，但是很勉强[笑哭],3
[OK]byd一开始看到苏州还挺高兴，这苏州话说的我想去当面教她,3
有没有一种可能，大多数南方人普通话是非常标准的[辣眼睛],3
[doge]苏州人也听不懂姑娘讲的苏州话,3
弄点秦马梅给大家尝尝[Hiiro_饿了],2
最早的一次!一分钟![脱单doge][脱单doge][脱单doge][脱单doge],2
第一次看到凯哥视频怎么少人的[doge],2
提问：视频00:57开始到 1:37这段时间，脱主任讲了什么内容[Cat2_Pinch!!][Cat2_Catkitchen][Cat2_Leak],2
鹰眼同桌怎是个疯狂宝贝啊？,2
6,2
好好好，考研休息区[小鲨鱼_点赞],2
和广西相比，我还是觉得[脱单doge][脱单doge],2
感觉不太像，至少应该不是姑苏区的，不对…至少不是我们街道的[tv_调侃],2
前轱辘不转后轱辘转思密达！,2
假的，没有苏州人[歪嘴],2
有一说一哪有江苏考生去其他省借读的？早些时候高三了的想办法跑别的省高考的倒是有,2
这女的太出戏了，建议调整下剧情。,2
阿米诺斯[脱单doge],2
啥子哦,2
魔法披风,2
7分钟前！,2
魔法披风！,2
我寻思我也妹有口音啊[doge],2
这集好怪，难评[呆],2
惊了，艾迪奥特曼,1
重庆呢重庆呢四川呢四川呢川渝宝宝伤心了[傲娇][傲娇][傲娇],1
01:08 我也苏州的，这句话在我这是“恁啊you嚓” 01:59 这句是“fēr qi，恁的qi”，差别好大[笑哭],1
野熊，羊熊，狗熊，驴熊，安徽四大神兽[doge],1
知道大家想看什么。,1
666,1
我们广东叫靓仔都叫“粉肠”所以你可以叫广东靓仔粉肠[脱单doge],1
大伙应该知道是哪吧,0
