comment,like
"上集：这辈子一定要去一次墨脱
这集：这辈子一定要去一次新疆
疆域广阔就是好啊，神州大地处处都有意想不到的美",4876
六月的新疆白哈巴 漫山遍野都是蒲公英,3301
在新疆伊犁住过两年，有幸见过这些野花海中的绝大部分。这些美景中的绝大部分在景区是见不到的，需要当地人的带领才能在偏僻的荒山里偶遇。比如在万物凋零的寒冬跟着朋友到八十公里外的沙漠，看亚洲最大的一片野生沙枣林，也看沉寂的伊犁河缓缓淌过河滩；比如在初春的寒风里跟着新疆的朋友驱车几十公里跑到天山某条不知名的山谷里邂逅一大片顶冰花和其中夹杂的野生郁金香，却因为运气不佳没看见白番红花，午餐过后又不死心的跑了几十公里才在雪未化尽的牧民牧区看见一小片小白花，被融雪形成的小溪叮咚治愈了疲惫的身心；又比如起大早在初夏严酷的日光里骑着两个小时共享单车又推着车爬了三小时才到当地人说看到野罂粟的山坡，却因为来晚了只看到一小片还未凋谢的红花，垂头丧气地想到山顶歇一会儿，却看到了山坡另一边绵延无际的蒲公英花海，突然庆幸没有爬到一半就因为饥饿而放弃……还有盛夏跟着当地人组成的徒步团看过的点地梅、贝母、剑鸢尾以及其他很多不知名的野花。当地人说新疆的景区其实开发的连十分之一都不到，而且野花每年盛开的地方也会不停地改变，也许只有住下来，跟着花海移动的脚步慢慢探索才能真正欣赏到伊犁的美。现在回来了依旧很想念那个地方的景色和人，也许以后退休了会去那边定居慢慢看吧。,1774
虞美狐[星星眼][星星眼][星星眼],1249
"[生气]辞职！气氛到这必须辞职了！
大好河山半点没见，每天办公室和家两点一线，工资还没几个子[大哭]00工作一年表示受够了，就算穷游睡大街也想出去游！啥时候一个子不剩再打两年工，然后又出去看世界[doge]",918
秋天时树叶黄的让人经验，比饱和度战士拍下的还离谱,878
是时候秀一波新疆美图了[doge],801
展示一下在新疆野外考察拍到的花,763
心有萌狐，细嗅芳菲[脱单doge],719
我贡嘎复地的花海也不错哦，大家来玩儿[脱单doge],598
暑假自驾游时候拍的，欢迎大家来新疆[脱单doge],597
最花里狐少的一集[藏狐],590
乌鲁木齐南山，随便某个山坡上，各种野花绚烂[OK],554
拍摄于内蒙古阿鲁科尔沁旗沙地草原上的狼毒花花海，确实是一大片，象征着草原的退化。。。,467
妈妈的朋友圈背景，至今还是我和爸爸十几年前在一个春天大片的黑环罂粟花盛开的时候拍摄的照片。在江苏的这几年，已经很久没看见这些花了，今天看到视频，突然发现每一种花都很熟悉，都是童年在漫山遍野的山坡上奔跑玩耍时的回忆。,452
《藏狐卧春图[doge]》,367
同样在伊犁，一座雪山下的山沟里拍到一整棵开满花的树，花瓣落下时就像天山上又下起了雪，远处的云杉草地上的蘑菇都是大自然的精灵,332
有机会一定带着我家几千万只蜜蜂去新疆采蜂蜜[打call],301
"上集：同事去印尼找咖啡，没带我
这集：新疆花海[doge]",258
六月的唐布拉仙女湖[脱单doge]现在依旧是我的壁纸,180
这是我十一拍的我们青海,162
夏季南极洛的花海,159
那拉提草原的花[胜利],143
是这种吗？小河边大把大把的,121
小亮老师，上一期网络热门生物视频已经是五个月前了，更一期吧[大哭],118
这不是我家嘛，伊犁那边，我姐结婚照就拍的那个红花，真的太好看了，呜呜呜。。想家,115
封面是世界名画藏狐嗅花图，距今发现已经有15分钟了，这是藏狐历史上的一小步，是人类发现藏狐习性的一大步。,101
是时候拿出我珍藏多年的新疆美图了[脱单doge],99
我也来晒图，去年去独库公路骑车，一路风景特别美，从奎屯到库车五百公里，真的想再去一次,78
这是在新疆乌鲁木齐南山拍的照片。我最喜欢的婚纱照，漫山遍野的小野花[给心心][给心心][给心心],77
开往春天的列车,70
去那拉提草原时看到过[星星眼],68
很久以前拍的照片了，真的超好看！,68
