comment,like
"曾经我家的肥猫从11楼掉下去安然无恙 只是被吓到了…那会我还纳闷是不是因为它胖。第二天带去医院检查医生指着片子说：你看这里。
麻的把我吓坏了，我说咋了咋了
医生说：它太胖了，这里全是脂肪[笑哭][笑哭]",20145
这猫求生欲好强，引体向上居然能做这么久，我看过好多猫一种要不就是觉得掉下去也没事的，另一种就是不想掉但是撑不住几秒的，这视频里的猫真的有点强的,17730
听到有人夸了，说他是英雄[打call]，就要当场夸夸,11277
救小孩的是英雄，救小猫的也是英雄,4485
看到弹幕里有说“摔下来也没事”的，真的是比较缺乏正确的知识，实际上猫在2米高的地方摔下也是有可能受伤的，更何况视频上的高度，而且还是小猫，掌握不好平衡，“猫有九条命”并不是说它们真有九条命，而是它们生命力顽强，不是“没事”,4196
以前我对生命嗤之以鼻，觉得天底下这么多生命死一两个又有什么，后来我才知道生命的珍贵，每一个自然诞生的动物都有权利活着，挽救一个生命内心是幸福的。,3982
很棒，而且小朋友自己没有受伤，但还是不建议这么做[笑哭],3925
小孩哥救了小猫命！！好孩子！！这么高小猫掉下来真的会有事的 别再臆想猫有九条命了 那是猫不是神仙,3516
养猫要封窗，都说累了……,2906
真是勇敢的执行力强的好孩子,2807
小猫真的好努力，坚持那么久，不敢想掉下来那一瞬间有多绝望，小孩哥也好厉害，有勇有谋,2804
万一位置判断错误，砸脸上真不是开玩笑，不过结局是好的，不建议模仿,2225
真不建议这么做，我小时候接一个在树上的猫，结果它跳我脸上了，一个特别深的抓痕，得有两三毫米，幸亏没有抓到眼睛,1950
猫自由落体会伸出爪子乱抓，有可能把人抓伤,1161
画了一下这位小英雄[tv_点赞],1018
不管是否爱猫，这种尊重生命的行为都是值得肯定的,773
小男孩以后铁定是那种责任感超强的人👍,763
致敬小孩哥[星星眼],682
被接住的那一刻，小孩哥就是小猫咪世界里的神！,549
小猫：我不会是有超能力吧[妙啊],430
好基因好孩子。比某些阴暗生物强,225
截到了，猫猫定律，四爪朝地,212
不爱猫人士可以嗤之以鼻，但我觉得小伙子是英雄，珍惜看重生命的人在其他领域也能拿出他的信仰,191
有爱心的小男孩,189
"这个高度正常猫跳下来可能会没事，但也没准。要看猫的能力，像有些人家养的猫都又懒又肥肯定是够呛的，而且也要看地面平整度和硬度。
更何况猫咪为了爬上去已经力竭了，已经没有体力在空中调整身体了，视频里也能看到掉下来那一瞬猫咪是狠狠砸进小哥怀里，可想这要是砸在地面上会有多惨[辣眼睛]",144
虽然但是，如果身边没有衣服遮手的话不建议模仿，猫应激以后会到处抓，挠轻了给你来一爪子，重了可能直接毁容了,124
好帅气的小哥😚😚😚,104
"有没有一种可能
建议孩子以后遇到这种状况，先做好自我保护措施再去保护其他人或小动物（就像友好提醒见义勇为下水救人的人，有条件的话先给自己热热身/找个帮手/套个绳索/拿个游泳圈下去救人一样）
比泼冷水直接建议他们放弃施救更能体现某些旁观者对施救者和被救者一视同仁的担心和关爱？
建议不要救的人，是不是过于笃定自己的幸运值了[妙啊]",97
虽然好多人说很危险，但是如果是我看到，我也会去做,92
他嘿嘿一笑说包住了，我眼泪却下来了[大哭]刚考完研知道自己上不了岸，好治愈,92
小哥做的很好，大家下次碰到量力而行[星星眼],87
"可以放个垫子在下面，真的不建议模仿这个男孩子（虽然他很厉害），因为猫猫掉下来的时候会伸爪子
我一个舍友之前接从上铺掉下来的猫猫被抓花了脸差点抓到眼睛。我接我自己养大的猫猫胳膊被挠了一道（之前手术缝针都不留疤，但是那一次留了一道五六厘米的细白疤痕，大家对比一下应该能知道被抓的多深了）",83
小孩哥真棒！祝你期末考试满分[doge],73
"1.养猫要封窗（不针对这个视频，针对评论说自己养猫猫从楼上摔下来的）
2.小孩哥很棒！",71
该说不说，拍摄的这个人，高低得给他颁一个运镜奖[doge],71
勇敢且有耐心，小伙子有前途,67
结局皆大欢喜！！小猫猫没受伤，小哥精准接住了猫猫，自己也没受伤！！！ 这个23年年底看到的最好的事情之一！！！ 不过还是希望做类似的事之前，尽量做好防护，我就怕猫猫掉下来砸到或应急抓伤小哥，虽然猫猫也不会故意抓人的,48
养猫封窗封阳台，说一百遍,45
小孩哥配享喵喵太庙！[Cat!_congrats],43
楼层不高，加上猫不大，否则不提倡效仿,40
孩子很善良,36
谢谢你小哥 你挽救了一个小小的生命 [委屈][委屈][委屈],35
