comment,like
暴走十几公里，结果没瘦一斤[微笑],9781
这期感觉好舒服啊，像一家人出门踏青一样[群星闪耀时半年庆_惬意],3260
我有个想法，你们徒步去羊村拯救变成npc的小精灵[妙啊],3153
本人是一名混吃等死的大二女学生，从不锻炼，看了暴走系列之后就上头了，走了三万多步，怎么也有个十五六公里了，用的是我平时走路的速度，中间休息了半小时一次（看下一个是谁[脱单doge]），感觉一般，十五公里没有很难走，第二天腰有点酸，除此之外没有不舒服的，十五公里我这种严重缺乏锻炼的人都觉得没什么，所以大家也可以尝试尝试[打call]锻炼身体[打call],1839
郭雨视频里已经很久没出现黄力元了,1312
我觉得要不别叫城市暴走了，改叫城市暴吃也不错[藏狐][藏狐][藏狐],1185
下一个视频:蹭饭挑战双人版! 雨哥快更 马上都年末了什么时候更新[doge],501
"力元君：雨哥，又找我录蹭饭挑战了，今天蹭谁的？[doge]
雨哥：蹭你的[doge]",493
所以下一期雨哥六道和力元君，这到底是城市暴走还是随机挑战[doge],467
论小潮team的衣服到底有多好穿（六道还穿着哈哈）[兔年][打call][思考],319
谁还记得这系列最初是为了减肥[doge],218
原来不止一个人认为六道戴这帽子像琴酒,139
有一说一我不是雨哥的粉丝因为我觉得雨哥挺多视频都尴尬到让我看不下去[笑哭]（嗯…），但是暴走系列每一期都特别好看！！无论是正能量扶车、随机游戏、买伴手礼一路吃吃吃，都没有刻意整活，特别自然且有意思，剪辑节奏也超级棒！！！城市暴走目前是我最喜欢最期待的系列了！！！[喜欢],76
要不再去一次小潮哪里吧，要件长袖的文化衫，再不要六道要冻死了,18
啊啊啊 我家就在这啊 我怎么没遇到啊[大哭][大哭],18
这几个B整天挑战毫无意义的事情,13
跟朋友在一起的氛围感觉很好[兔年],6
谁懂啊，感觉好像疯狂动物城里面那个做瑜伽刘海遮住了脸的羊驼[星星眼][脱单doge],5
内容有点单调且重复了感觉,4
烤鸭没了，厨子偷吃是吧[脱单doge],3
大城市的钱真好赚，而且大家都心安理得的觉得理所当然,3
我还是很喜欢这种氛围。朋友之间相处得很自然,3
终于更新这个系列了，很喜欢一起玩的感觉，感觉很快乐,0
