comment,like
up有没有打算做个大一点的，一百平左右的，这样空间大方便我日常生活,5524
前排，有一种玩经营建造游戏的满足感,4125
天使区up,1981
个人建议，流动水池既然结冰，没法使用了，最好将冰砸碎了扔出来。盖上塑料布密封好，因为一旦冰开始化了，小猫容易掉进冰窟窿有危险。,1819
您好up我之前是安全员。感觉你这个结构可能不太防火，天气暖一点可能会发生火灾。投明的墙如果有水滴，经过阳光聚焦可能会让毯子和木结构温度过高。小门的设计不利于快速逃生。建议准备一些措施，比如烟感报警器和灭火器之类的。,1810
看了这么多期，永远不缺评论区大手子指点[doge],1441
"让买猫门的，应该是不太懂野猫。
真正的乡下猫，只有洞才会钻进去
关上在他们的意思里面就是没有出口",799
我算是知道网上喷子的思维模式了，1.不全面了解已有信息。2.只会指手画脚。3.把自己认为的结论强制套在现实。4.考虑问题偏面还喜欢不过脑子直接说。总结:现生肯定也是不过脑子说话，现生肯定也老是因为这个思维做事不顺。,693
这几期看下来，每次我这边刚感觉好感动，就会飘过那种弹幕“木条会不会有刺呀”“怎么没有门呀”“怎么不放个酸奶机呀”………原来懂王就在弹幕里,612
评论区给我看笑了，up尽自己所能做到最好，各位一分不出在这小嘴巴巴的,570
很难见到这么有爱心喜欢猫咪动手能力又强的女up,458
"第一次刷到，不太了解，就是想问问这些猫猫会安排绝育吗[捂眼]，毕竟猫猫不是人类，不会计划生育，因为猫猫繁殖力还挺强的，再加上这个基本舒适的环境，一年两胎的话也会有大概四到十只小猫咪诞生，而且不止一只母喵，管理起来还挺难的。
（叠甲:猫猫在房里安睡真的很治愈，如果我以后有幸发达了，也打算在院里搞一个。再叠一层:up怎么做是up的自由，我只是问一下！毕竟，up这么养，这些猫已经算是她家的家猫了，怎么对待和管理这些猫猫，是up的自由，也是up的责任，我只是个路人，路过问问而已！）",415
感觉评论区的大家好多“建议” 本来以为都是夸夸 看着有点不爽,330
我之前看到个视频，说这种冰天雪地的地方，猫猫狗狗们好多都是活不过冬天的，因为实在太冷太冷了，食物也非常难找，只有运气好遇到心软两脚兽的猫狗才能平安渡过冬天，感觉UP这样的已经算是功德无量了,325
[思考]看了这么多期，我一直好奇猫窝里的温度如何，到底暖不暖和～不如里边放个温度计测试一下吧，白天晚上都测一下，我觉得没问题[doge],183
Up是真的火了，来了不少只出一张嘴的精神股东。,82
"有点好奇到夏天的时候这个房子怎么办？
就放在那里吗？[doge]",69
我还是建议大家，就是在你没有能力去帮这些猫的时候，不要对别人指手画脚好吗？,56
up太有心了,50
