comment,like
"风平浪静的圣诞节
“哪，苏茜，别看了，吃颗糖吗。”
“？好。。。。。。好辣！”
“哈哈哈。。。冬天当然是吃辣糖，这可是罗德岛传统。”
————
“四年了啊。”",6566
无鳞同胞，圣诞快乐[脱单doge],5243
这两位歌手乍一看不知道[吃瓜]但是这首歌大家想必都听过了[脱单doge]https://b23.tv/BV17x411E7ko,4369
这是澄闪，她很可爱[脱单doge],3714
标题看成Snow Padoru了[藏狐],2967
一想到我在听新歌的时候外服在打空想花庭，我的心情就不是一般的好。,2926
恭喜namie老师的两个孩子都有2个ep！！,2713
借地方许个愿希望我偏瘫马上康复愿这片大地都能安然入睡再无苦难,2575
澄闪兔兔可爱，啥时候出个喜夜侍者皮肤的兔兔[脱单doge],2176
给家里宝贝过了圣诞节，但是没时间玩方舟了捏[酸了],2121
魔法猫咪，稳辣,1963
"祝博士们考研上岸！！！
（好像哪里怪怪的）",1581
今天是我跟阿能、史都华德、灰烬的生日[打call],1490
你永远也猜不透角的突袭时间,1446
这下namie俩娃都是双ep雅士了[星星眼][星星眼][星星眼],1429
苏茜小姐平安夜快乐！[明日方舟·音律联觉-愚夜密函_胜利],1414
这就是我们粉色猪猪的实力，俩个EP，圣诞特辑！[星星眼][星星眼],1262
圣诞快乐，我的朋友。,1261
好耶！（数学好难）,1212
祝大家圣诞节快乐，还有就是请不要忘记今天是我们的荣誉干员霜星小姐的上岛日😎,1059
冷知识，这首歌的歌手就是唱《summertime》的那位，就是这个https://b23.tv/BV17x411E7ko,799
"可汗：嘿！沙阿，你整天当圣诞老人的日子结束了，把圣诞礼物给我。
沙阿：If you want it……",795
感觉现在不仅是年味淡了，圣诞味也淡了，要不是yj发ep我都想不起来[脱单doge],641
哇哦，粉猪猪，可爱～像个小蛋糕似的～～,585
嘿嘿，我的小澄闪[打call],514
什么？你怎么知道今天是我的生日，也是能天使、史都华德和Ash的生日[脱单doge],484
这是送给你我的圣诞树哦[脱单doge],484
今天是我的生日，但是还是要上班，前几年也是上班没休息，泪就止不住留下来，从小到大没吃过自己的蛋糕，也没人送过，23了希望这仪式感能让我开心起来。许个愿望。,364
今天生日的干员和博士好多啊……什么我也是啊，那没事了[doge],356
"邪魔在这里也祝大家圣诞节快乐[doge]
BV1YN4y147gw",354
澄闪两个皮都买了我还没有本体[热],346
"@Namie在B站  mom,this way[脱单doge]",340
我一直对贵舰情报官晓哥“更容易获得未获得的线索”的基建技能抱有一丝小小的疑问[呆],292
今年pv居然有澄闪！拍了正片对轴好开心hh,289
看到方舟发EP才发现，圣诞节到了啊……那就祝各位学习工作顺利，2023年的愿望都能实现吧。,282
祝各位圣诞快乐，以及圣诞后的考试不会挂,220
厨namie家真的太好了，亲妈顶级售后不说，要动皮有动皮，要音乐有音乐，太幸福啦😭,215
下面玩偶有段时间会跟着摇摆，好可爱[星星眼],211
@Namie在B站  mom，this way!,190
圣诞节要来了，我们明日方舟有自己的圣诞树🎄[音律联觉_吃瓜],172
艹，突然想起来🐷符咒的能力是放电，刚好和澄闪对上，可澄闪是小🐱不是小🐷[大哭],164
怎么可以让澄闪在寒冷的雪天中站在外面😡，肯定是要把这家店买下来让宝宝暖暖和和过圣诞了🥰,160
"谢谢，看完EP,一个人的平安夜也温暖起来了（泪目）",156
刚出考场的朋友们，别多想了，事已至此，先玩吧，痛苦和成功不是因为你考研成功而决定的，每一份带来痛苦的压力，都暗含着你对自己的期许，是你自己选择了这些经历，而不是因为考研给你带来了这些回忆。你欠缺的只是一份对自己的信任而已，考研给了你勇气，让你相信自己或许能做到一些不一样的东西，这和你最后有没有考上并不是绝对的关系。无论你的成绩如何，你都可以做到自己想做的事。想要始终对明天充满着热情，就要坚持对自己充满自信。所以啊，请不要再怀疑自己，睡吧，玩吧，美丽的未来不会因一场考试而逝去，希望的灯火，要靠自己的热情来长明！[UPOWER_343348_播不播得],152
圣诞节快乐！和朋友一起在东京塔下恰咖啡可丽饼！,119
终于考完研了[tv_大哭][tv_大哭][tv_大哭]谢谢一出考场鹰角就让我听好听的歌,85
原来是猪猪,80
[辣眼睛]鹰角真是给namie老师足够宠了，亲儿子主题肉鸽亲女儿两个pv，音律联觉全息舞蹈还亲自接待,69
澄闪猫猫的出现就像ex8里的所有火炉都被点亮，暖暖的，很安心[脱单doge],64
@破竹残羽Jalen 来看你老婆的新EP[脱单doge],64
去年这个时候我买的皮肤，今年这个时候我还没有澄闪[微笑],57
"悠长的，肃静的，安宁的，
我们手中紧握着，那个特别的雪夜。
我们舞蹈和欢笑，睡进节日的怀抱。
你笑着说加入罗德岛
可那夜过后,我再也没有听到过雪的声音，我曾默立雪中,希望觅到你的痕迹。却只感受雪花仓促的拥抱,无知无觉的融化,以及脸颊，耳廓,手心静静的湿冷",56
祝看到这条信息的人天天开心[保卫萝卜_哇][保卫萝卜_哇][保卫萝卜_哇],54
虽然考试没希望了，但还是祝大家节日快乐,53
"角的自由不是混沌，是对猫猫的怜爱。这片大地悲剧已经太多，而那幸福的时刻不过转瞬，因此角降下pv，将澄闪的幸福记录。
角门[保佑]",52
圣诞快乐🎄恭喜namie的俩孩子都是双ep了[音律联觉_赞],51
