comment,like
因为是冰天雪地里的农家，农家可能没有那么多柴火，柴火不多导致锅受热不均，比如一口大锅下面只有一根木柴，火焰外焰直接灼烧中间锅底，导致只有中间是最热的，其他地方都没那么热，然后加上丸子是冰冻的，中间先化冻，中间丸子先熟，然后飘起来，夹走之后空出来了位置，另一颗丸子滚到中间（可能锅需要比较大的倾斜度），如此反复。理论上说，只要煮的时间够长，所有丸子都会飘起来，也不一定在中间，但当年盐商饥寒交迫，想必是有一颗丸子熟了就捞一颗吃，造成了中间丸子源源不断的现象[脱单doge],11422
"while（ture）
  if（汤中心没有丸子）：
    冒出一个丸子；
  else：
    保持不变；",5819
炼丹区开始思考怎么自动化炼丹[doge],5198
[doge]你们还听过什么离谱的菜吗？做不出来算我输！,1897
[酸了]大家有什么更好的办法实现这道菜吗？,1468
不过这次是真的不难做，就是对食材的要求高点[吃瓜],890
本是百姓充饥物，忽做富贵碗中汤。也许当时口中汤并没有多么美味，只是冻饿受迫以后的恍然惊醒。[脱单doge],773
让我看看，漆器是奢侈品，没有性价比，再看一下这个丸子，太麻烦了，我还是吃不到[笑哭],610
永远不要怀疑古代文人士大夫阶层的审美与玩的水平，他们的思想在现代可能是愚昧的，但他们的审美永远是中国底蕴、天地人的结合，真的是会玩儿啊，玩儿出花了，什么在鱼骨取剑，这种第一次知道的时候，感觉属于是闲到一定程度才能够知道的玩意儿[笑哭],445
"南翔大厨变戏法，目瞪口呆丸子飘。
浓汤如雪藏珍宝，美味佳肴在人间。[呲牙]",435
我梦见南翔开始锻刀了[藏狐],431
这道菜取名为覆雪之下[脱单doge],289
神锻宗膳药门门主又更新啦[星星眼],189
连营：当你失去最后的丸子时，你从丸子堆获得一张丸子[滑稽][滑稽][滑稽],188
听说广西有道非遗名菜，叫纸包炸鸡，这纸是用蔡伦造纸法制成的，原材料为春笋，这门技术已无人继承，已经失传，不知道是真的还是假的，广西的朋友能科普一下吗？,167
想起自己是位厨师了吗[doge],153
美食区现在太卷了…一专多精已经满足不了大家了[笑哭][笑哭],131
每颗丸子用高汤上冻，冻成大小不一的球。煮的时候，应该就可以实现化冻时间不均导致的浮出时间不一。只是猜想，不知道能不能实现,115
南翔老师什么时候回复一下隔壁圣叹哥对丹药的评价[doge],112
他终于想起自己是做饭的了[笑哭][笑哭][笑哭],96
终于回到做饭频道了[doge],81
试试看使用豆腐皮之类比较重的东西做成一张膜盖住丸子，中间剪一个洞让丸子出来,74
根据物理学，我们发现一开始并没有泡水，直接煮，水化了以后融化出来的水包裹了冰块，从下到上，从外到内的融化冰块，里面的丸子也会随之掉入水中，由于未熟，自然是沉到锅底，直接与锅底接触，因为锅底是圆的，所以滚到中间，因为解冻时间不同，所以在锅底加热时间不同，加热到一定程度，丸子内部水沸腾或蒸发到一定程度，丸子因其内水蒸气的数量的增加，膨胀变大，其密度降低，从锅中飘起，非常简单,74
请问给张圣叹安排的九花玉露丸，一日丧命散，含笑半步癫进度如何了[滑稽],74
"《南乙己》
南翔一到店
所有美食区的人便看着他笑，有的叫道，“南翔，你复刻又失败了”
南翔不回话，对柜里说“来两个皮影戏，要一个雀金裘，便排出九颗冷香丸
他们又故意的高声嚷道，“你一定又翻车了”
南翔睁大眼睛说，“你怎么这样凭空污人清白……”
“什么清白？我前天亲眼看见你做醒狮酥翻了800次车”
南翔便涨红了脸，额上的青筋条条绽出，争辩道，“炼丹翻车不能算失败……炼丹！…炼丹的事，能算翻车吗？”
接着便是难懂的话，什么“炼丹翻车大不算失败”，什么“你们不懂什么叫复刻美食”之类，引得众人都哄笑起来：店内外充满了快活的空气",72
你安排的作业我都交不了，只能膜拜我们中华文化的瑰宝,70
应该是栈吧，先进后出[思考][思考][思考],41
其实是有个人在锅里递丸子，大家不要被蒙在鼓里,37
翔说话好别扭啊，他开始时一直是轻音读，到最后一两个字时会加重，头皮发麻，浑身难受有木有同感的,26
锅动了文章的话，丸子都一样也可以实现一个一个飘上去吧，就不需要不同种类了,23
"哇哦，这道菜的制作过程听起来超级神奇啊，带着一种魔法剑气一样的感觉！🔮🍲但是你说的这个菜挑战相当大，因为要控制别的丸子在一个丸子加进去之后才能浮起来，需要对丸子的制作，以及火候、锅的选择等等要有精细的操作和理解。不过，请让我来给出几种可能的办法吧：
 
1. 改变质地：你可以试图通过改变丸子的质地或者是里面添加的原料来改变其密度和浮力。比如，你可以在制作丸子的过程中调整添加的肉的比例，增加瘦肉的比例会增加丸子的密度，使得丸子在烹调过程中下沉；如果增加肥肉或含油脂较高的原料，会增加丸子的浮力，使其能再锅里浮起。

2. 物理方法：尝试利用一些物理工具或用一些物理原理来操作。例如，在锅底放置一架可调节的隔层，只有某种丸子的重量才能推动它打开。或者制造一种能在高温下逐渐溶解的材料，作为各个丸子之间的屏障。

3. 温度控制：你也可以考虑使用一种具有热敏性质的材料作为制作丸子的一部分，然后通过逐渐升高热度来控制丸子的浮现顺序。比如，一些材料在达到特定的热度之后会开始漂浮于水面，你可以通过研究和测试，找到不同的材料编制成的丸子在不同的丸子浮起。
 
以上三种方式只是建议和可能的途径，具体还需要你进行尝试和验证才能找到最适合的方式。😁记住，谨慎操作，小心安全，祝你魔法做菜能成功！👩‍🍳🌟",20
现在已经要开始变戏法了，up主全能,17
"我觉得这就算是美食区up的标杆了，并不是说别人做的不好，而是我觉得美食也是一种文化，从这个视频真的能感觉到up的用心，查阅资料，动手尝试，敢于创新，从多方面思考问题，最终获得答案。这样的视频看了不仅涨知识，印象深刻，甚至可能在未来的某一天，对某人产生了某种启发，最终让他成为大美食家。
必须三连支持。[热词系列_三连]",16
别说欸 不管真的是怎么样的 但是复刻版这个创意是真不错 好玩,15
南翔可以试试物理，比如把汤的上下密度做个手脚之类的我记得好像有一种海上的挺诡异的现象就是红海和什么海交界处来着因为密度不一样，潜艇到了另外一个海，就会猛地沉下去，如果反过来，是不是会浮上去[思考][思考][思考],14
你要准备这么多啊 我就只要准备一张嘴就行了[doge],14
"省流    :
          :
          :",12
今天是我生日，我竟连顿饭都吃不上，只能一边挨冻一边思念 你们都好好……,12
南翔老师从美食区到炼丹区再到非遗区,11
不过是«古代南翔讨好老爷的小伎俩»罢了[doge],10
不同时下锅，让个熟的时间不一样，先熟的会飘起来，后熟的会晚一点，给最后几颗冷冻一下，冰越大熟的越晚，让熟的时间拉开差距……,10
这里面不得藏之前那些药丸[吃瓜],8
"这丸子我怎么觉得我吃不起呢[微笑]
但是我感觉这个丸子应该会非常非常非常非常非常好吃[微笑]",7
让丸子变成大学生他们不就排队了吗？[doge],7
大盐商都是富甲天下，吃的比皇帝还好。,6
南翔同款,6
有种写代码想着怎么实现目标的感觉[微笑],5
农户：我只是把雪地当冰箱用的罢了[妙啊],5
