comment,like
如果我第一次听圣诞星原曲是这个版本的，我当时的反应肯定是激动得要哭了,2923
可能有的人觉得改的用力过猛了，但杰伦之前的乱舞春秋好几种旋律交错或者叠加，打碟声搭配拳皇的采样，从作曲到编曲都是才华横溢，只能说对于当年的Jay来说，虽然排的很满，但他可以让整体非常协调。这首新歌也是如此，如果这是杰伦的歌，不能说太过繁杂，顶多是融合的没有那么完美,2618
已经是别的曲子了（褒义）,2430
刚来，纯b站萌新[doge] 听完以后 一个字。“啊”？，简直太厉害了！,1727
如果你觉得这一版里边加的东西太多，说明还是对前期杰伦的歌听的太少……前期的歌里料越多听起来越得劲儿,1277
看到弹幕里所谓的杂 这可能不是一个能循环听的作品 但他展现了这首歌可以表现的各种形式他的多样性 每一部分都可以拎出来loop 他告诉我们这首歌可以这样写或者这样写 这就是用心和没用心的区别,1149
哇，惊艳！直接爆杀！比周杰伦还周杰伦系列！老实讲我知道原版有很多不足，也知道杰伦主副歌直接A+B复制粘贴的敷衍，但其实我还蛮喜欢听的，毕竟后期嗓音回春后的第一首歌。其他up改编的也听了不少，但多多少少都有些突兀。唯独大力的改编，真的丝滑，简直无懈可击！[支持][支持][支持]（三个大拇指代表已三连）,976
编曲确实丰富多了，但作为流行音乐旋律不够抓耳没有记忆点，有的时候太复杂也不一定是好事。不过最起码这首作品要比原曲更真诚，这足以反衬出原来的编曲是多么的敷衍。,949
《圣诞星》是周董送给华语乐坛的“圣诞礼物”，一个可以轻松超越传奇的机会。,802
实在不行以后我们拥你做新杰伦,573
感觉很多地方的节奏比原曲屌（原曲太平了），但感觉不太和谐（不懂别骂）,496
我开始以为我不喜欢圣诞星是我的问题，我居然连周董的歌都敢嫌弃了……感觉就像和尚念经……看大家评论都说很平，而且第二段完全是复制粘贴[笑哭]改编版本太棒了，其实真的希望周董能通过网络听到这个版本！网友说他真的大可不必一直带着那些扶不上墙的队友做歌，何不试试与年轻一代激活创作灵感的火花。虽然都是瞎操心，但……希望吧！,491
比黄雨勋天天搁周杰伦家里打煤气灶编曲好多了,300
兄弟们已经有画面感了,266
提前听了一遍的我…..,71
"虚假的粉丝: 杰伦的新歌真的好好听，好厉害不愧是杰伦，我天天循环，爱死了！！！

真正的粉丝:杰伦在搞什么，写的什么东西，受不了接受不了我要自己上了(哐哐哐一顿改编)，这样才像样嘛。

杰伦只用随便写一首，放个歌名，粉丝自己会按照自己的认知来改[妙啊]",69
"這首歌的層次和原版簡直天差地別，過多讚美的話我就不說了，留給被驚艷了的其他人說吧……我想來聊聊我的聽感：
1、首先大力版的這首歌改了液化灶，好評，但沒有完全改，保留了一些原本的味道XD，我想說液化灶閉鈸其實也不算一無是處，至少在進第二段副歌的時候就很點睛；
2、很多地方編曲與人聲和聲嵌套了很多層，就我個人而言這比敷衍的原版好到不知道哪裡了，但是我不確定是混音的問題還是什麼，很多時候樂器和人聲的平衡不是很到位，到了一些人聲的精彩段落卻會被樂器搶“鏡”……；
3、聽了幾遍，我不太確定，但我想問——大力你這版的編曲完全沒用弦樂嗎？我聽整體的樂器組聽感像是不連貫的一個個斷點，多循環幾遍就會感覺累，並不太耐聽。
……
不過總的來說還是很感謝大力這版改編，讓我對曾經的喜歡的歌手的失望少了許多。",59
只要你一声令下，我们立刻拥护你做新的周杰伦,48
我还不觉得太杂了（也是周杰伦歌迷），因为我感觉如果是圣诞曲繁杂一点也没什么，其实原版如果是个新人歌手唱的大家也不会有那么大反应，还是大家对杰伦太高期待了，而且原版有点太平了,30
因为你是大力，所以我说你用力过猛，但是如果你是周杰伦，我会说这是最伟大的作品,17
“你随便篡改我的歌词是画蛇添足，还看星星一颗两颗三颗四颗连成线，你以为你自己是贪吃蛇吗？我看你就来气！”,16
"驯鹿的响铃 和雪花的相遇
当作是我对你离开 描绘的旋律
柴火写了序 暖和童话的过去
远方的烟囱冒着烟
该不会是我的卡片(我的卡片）
那是我让圣诞老人
捎去...",13
。。。没想到的是这么多跟风无脑吹的[捂脸]个人观点，确实没原版好听、耐听。这个改编拼凑感强 听感很零碎，中间一段故意为了符合圣诞去强行加一段“叮叮当”并不适配，因为曲调走向和歌词内容确实搭不上边，这种刻意反而落了下乘。不过整体改编和唱都还是很厉害的，歌迷中的天花板,12
首先不否认歌还是挺好听的，技巧也满分，但是感觉up想把所有能想到的技巧元素都塞到这个改编上面，听完好像听了5-6首歌一样，没有太有记忆点的调调，段与段之间割裂感比较强，听完就有点像古巨基的情歌串烧的感觉，不像一首完整的歌，个人意见，不喜勿喷,8
一整天都热门+在线3000+  播放量才69w?,7
"刚听第一遍的时候，觉得惊艳，听到了很多元素是以前杰伦的歌里会有的。连听四五遍就觉得元素堆砌太多，不够和谐，很吵，经不住单曲循环的一首歌。
属于会加入哄up主专用收藏夹，但不会再翻出来听的类型。",7
这首歌因为是周董唱的所以只能给低分，只能说相比于其他的歌这首有些太平平无奇了，从主歌到副歌都没有让人惊喜的存在，所以up的翻唱才会显得更加亮眼，周董这两年的歌确实质量下降的厉害，但这首是我最认为迟暮的作品，另外一首是mojito，哪怕是最伟大的作品和还在流浪都有让人感到亮眼的地方，只有这首真正让我感觉我的关注点只有歌手的名字，杰迷勿喷，随便bb的,7
"前半段感觉太杂且油腻，不如原版
后半段感觉好很多，编排比前半段好
其实我觉得原版杨瑞代那几句挺好听的。其实这首歌我这几天脑子里旋律一直在不自觉响起，周杰伦的这首歌我个人观点并没有网上某些人批评的那么差，“小品”有小品的长度和适当的复杂度",6
你随便篡改我的歌就是画蛇添足，还铃儿响叮当，你以为你是圣诞麋鹿吗[doge],6
我更愿意相信伦的新歌就是这样的[委屈]，明明一直觉得他的歌那么有节奏感上头的，为什么圣诞星这么平淡啊，一点感觉没有，能听但不上头，听一遍就行了的那种。,4
现在还有两千人，你们是听了几遍?,2
