comment,like
人之所以成为人类，就是从柴火开始。太棒啦！！！,8385
爷爷应该文化水平不低，说想造飞机大炮时候那语气那眼神不像开玩笑,5382
挺有文化底蕴的感觉，飞机大炮估计也不是爷爷说着玩的,3936
是不是老门东那个蛮有名的柴火小馄饨？,3738
感觉文化水平不低啊，像一个隐居高人,2119
爷爷这属于好人有好报,1155
这个爷爷包含我对仙者所有的幻想，白发，开朗，豁达,1031
我愿意为了这个爷爷和这顿馄饨跑一趟南京。有南京的兄弟给个详细地址吗😇,644
大家如果想去到爷爷那里打卡，请不要浪费粮食也不要干扰爷爷生意哦[脱单doge][脱单doge]（狗头保命）,470
2023.9,455
"兄弟们兄弟们找到了
秦淮区-三条营10号
名字叫又见炊烟柴火馄饨
明天就去[给心心]",346
这家店叫啥啊 想回去吃,293
大家如果去的话，最好不要和爷爷开玩笑说他长得像宫崎骏哦[脱单doge]，老一辈的南京人真的没法对日本人有太多好感[藏狐]去感受下爷爷的和蔼可亲就好啦，有些梗年轻人聊聊就好了。,281
南京老门东柴火混沌。上去去干了2碗🥣,265
说想做飞机大炮的时候气质和语气明显不同，说不定是真的[doge],192
老爷子脸上皱纹很少，印堂开阔又红光满面，一看就是豁达开朗之人,111
看完我觉得这爷爷说造飞机大炮不是玩笑[思考],105
这大爷真是混沌仙人 放日综高低拍几期,84
老头换身行头你说是老教授我都信[doge],81
好人幸运一辈子[星星眼][星星眼][星星眼],51
老人家心肠非常善良，他的前女婿和他女儿离婚后得了绝症，是他和他老伴出钱救治的。,43
南京哪的啊，第一次刷到自己家[doge],37
我们这一拆迁，老租户都走了，这些小吃在我们这再也看不见了，早餐店倒是有馄饨，一碗20才五六个。。。。[辣眼睛],27
这爷爷在看到彩票的时候问的是刮得多了怎么办，而不是刮得少亏了怎么办，看得出心态真的非常好,25
人心美，才是真的美！！！,23
八几年大部分人刚从人心龃龉的深渊脱离的时候，这位爷爷就在做爱心餐这个近些年才火起来的概念，真的是一个脱离了低级趣味的伟大的人[抱拳],21
人的精神状态真的不一样。这位老爷爷精神饱满，像个孩子。我却是年纪轻轻就满脸愁容，像个老头。[难过],20
我梦里的馄饨摊，场景、人物、连天气都一模一样,15
可以的，看着就面善，好人有好报，好人一生平安,15
我也超级超级喜欢这种小摊的馄饨[星星眼]我记得我特别小的时候，我们那有个小区门洞门口全是修鞋的鞋匠，一人一个铁砧，一个牛皮毯子，门洞外面就是一个高个光头的老爷爷，每天晚上推着他的小车，走到泛黄的路灯底下，对面是我们那老城区最大的超市，没什么东西，但是吃着特别香,14
和女朋友去过这，可惜那天老爷子不在。,13
看完视频我发现我一直在笑，我这不一个我在笑什么，但这老爷子真的能给他人带来笑容，我特别想跟这老爷子多待一会儿，多聊聊天，开心快乐。,12
从中有问到免费给吃个饭，但是这位爷爷说的是记个账，因为怕有人不好意思。怎么说呢，就是这种，有很厚的中国文化,12
那句玩笑不像是玩笑，我个人的感觉,11
我看评论这是老门东？回国就去吃！！！在外面最想念的就是南京这一口馄饨[大哭][大哭],11
不希望爷爷被太多人看见，省的招来一堆牛鬼蛇神,9
这样的爷爷值得中彩票[打call],8
古希腊掌管馄饨的神[脱单doge],8
啊？常州人愣住了，七里香馄饨是我们这的啊,8
羡慕了 我们这边的馄饨不是给人吃的 又贵 里面还跟没放馅一样,7
这个就是我们南京老爷爷独有的幽默风趣[笑哭],6
南京？是在哪里呀，我也想去吃，小巷看起来好温馨[大笑][大笑],6
地址，我需要地址，我想去老爷爷的摊上吃一顿[打call],6
看了吧[doge]老爷爷做了一辈子善事刮刮乐也才赚了40[doge]我们去刮搞不好就是恭喜你成功欠债200w,6
人之所以成为人类，就是从柴火开始，这句话真的很有哲理啊，爷爷活的挺通透,5
这个老爷子说飞机大炮这句话，感觉未必是玩笑。第二这个老爷子一看就不是个一般老爷子，说话也好面相也罢感觉不一般啊,5
不知道是不是我的错觉，柴火烧出来的，确实有一股木材的清香，而用煤球烧出来的，是有一股煤球味道。是不是烟的味道溶到汤里了。,5
看到这个爷爷就想起到了海明威，感觉这个爷爷的心里住着一个硬汉,5
这个吗[doge],5
真正的圣诞老人,5
这家馄饨我几年前去吃过，那个时候年龄小，在老门东和爸爸妈妈怄气，乱跑迷路了，路过这家小馄饨，老门东里面就属于比较繁华的，这家小馄饨在老门东的边边一家小巷子里，然后就买了一碗吃。确实味道很淡，没有加什么调味料，也没有什么味儿，不过我个人还蛮喜欢吃的[Sonny_喝咖啡],5
其实我们的雪也挺大的,4
喜欢这个爷爷[害羞]但真心希望大家也别一窝蜂跑去打卡，碰到了支持一下就行，很担心会给爷爷带来不必要的麻烦,4
说实话，这就是超越性，这就是艺术，这就是直指内心,4
老爷爷很接地气 和蔼可亲 身体健康长命百岁,4
是南京老门东那家吧，吃了好多回了,4
在哪个位置啊，我在南京去支持一下[吃瓜],4
我都想喊一声爷爷了，我玩那么多次都没他一次中的多,4
你不会以为爷爷说的造飞机大炮是开玩笑吧[歪嘴],4
我吃混沌就是为了喝那个汤，从来不放任何东西，不管他放了多少鸡精味精那个味道就是好喝,4
这老爷子有点圣诞老人的范儿[doge],4
老爷爷真好啊,4
这种视频看着就让人感到舒服[OK],4
灶王爷下凡来了[鼓掌]祝老爷爷健康长寿！,4
去南京的时候，在巷子里迷路了，顺着灯火找到了柴火馄饨，吃完了之后，把碗给爷爷放到了台子上，爷爷冲我笑了笑，我和爷爷都很开心[脱单doge],4
这真的是好人有好报,4
至少，他不会嘴上说着不卖馄饨了，却在几个月后推出超级无敌plus版大馄饨，还免费公开配方,4
如果这背后真的有惊涛骇浪的故事。。。我很感兴趣,4
我去南京玩 误打误撞去了这里  缘分就是很奇妙,4
现在正好在南京上学，呆了一学期了，还没出过门，争取过几天趁着期末考完看看去[2233娘_大笑],4
这个爷爷给我一种什么感觉呢，说不上来，就是感觉他这个语气和说话的方式不像他这个岁数,4
[doge],3
祝爷爷身体健康。90块中130自己赚40，太低了。风险还大。今年年初刮刮乐容易翻倍中,3
我们这也有店记账，结果一群公司领导天天去吃白食[doge]后来没钱给拿公司股份顶，一直把人家店给顶倒闭了，现在公司上市了老板赚麻了,3
要是刮刮乐中了一等奖就是另一个故事力,3
刮刮乐又滞销了，哈哈，不过以这种方式做个节目还行,3
千里香原来是常州的啊，刚从常州回来没多久,3
看到这个馄饨，我就想起了小时候，每次去幼儿园都在家门口那个早餐店里点一碗馄饨吃，真的就是柴火烧的，而且不是速冻的，现场包的，他们还有个，调味酱是自己调的，可香了,3
确实我喜欢柴火味，就那个木头燃烧的味道我闻着很安心，有生活气息，以前住偏的地方就用柴火烧水,3
这老爷子形象真的好，谈吐也有水平,3
遇到这种老人，我建议还是给现金，因为这种老人不会用手机给他的钱都是转到儿女那边去的，之前买菜的时候都是这样，只有给现金的时候，那些老人才会拿到钱，才会露出微笑[脸红],3
爷爷也会玩梗哈哈哈，“我们这吃醋不打架”,3
常州人出来澄清一下 那家店是安徽人开的 也就是打人的店主[笑哭],3
上次去逛了，爷爷可有趣，精神也好，馄饨我也爱吃，下回逛老门东再去一趟。,3
爷爷很善良过得很通透，up拍的也很好，但我还是感觉这条视频火了的话，有可能会有网红去骚扰爷爷，希望爷爷能永远快乐,3
敢在我们这烧柴火，灶都给扒了[OK],2
