comment,like
耶海皇宝宝  我还想看每年的team考试！,6038
竟然还记得这个节！！！,4306
我被禁言了能接着拍吗，想看看小砍和犀利怎么发挥,3162
你谁来着？!,2132
我不懂，为什么一出现别人就说彩虹人，都没有判断能力吗都这么喜欢拔别人隐私吗[微笑],2120
"提前祝各位圣诞🎄快乐哦！
2024年大家也要顺顺利利！
小潮team越来越好！",2118
海皇这种生物非常泛滥，每年都有很多海皇过着热闹的海皇节,1836
海皇我知道你现在没啥活拍了，去拍演员的诞生！今天刚回味一家人吵架那个片段给我看哭了我勒个豆，想看你们再演戏，认真演或者搞笑的都行，点名小潮院长出境！想看你们演哭戏哈哈哈哈哈哈哈,1494
我觉得高斯其实不能走。规则是，满七颗星才能离开羊村，但高斯并没有七颗星，所以他无法完成任务――现在立刻马上离开羊村，应该扣一颗星，变成np斯的[doge],880
明天生日！,688
有没有人知道上一个海皇节是哪期视频来着，谢谢了,588
海皇节快乐[脱单doge][脱单doge][脱单doge],509
这么巧[doge]作业刚写完,417
是不是该年度考试了[脱单doge],364
昨晚上还梦见彩虹人成常驻了[星星眼]说真的，羊头人和彩虹人两个账号不出内容有点可惜［也许适当的更新一些游戏视频会不会更好呢，一月一更保持热度就可以了，彩虹人一个20秒视频能有百万多粉丝，这流量不利用有点可惜］,341
皇哥是真不打算换这个头像了吗？[笑哭],304
海皇，还记得你说过要和马哥整黄金矿工第二集吗？,299
提醒一下，海皇上一期视频（除羊村外）是10月29号的[吃瓜],216
海皇宝宝你终于想起你的B站密码了[大哭],209
不仅海皇喜欢海皇节，谁都喜欢海皇节[doge],151
平安夜快乐呀海皇[doge],127
轮到我啦！今天18岁生日！[打call][打call][打call][打call]原来我的生日是海皇节[给心心][给心心][给心心],92
想看海皇玩植物大战僵尸随机模仿者[给心心]想见证一下欧皇玩随机模仿者会是什么样子[doge]能不能一直出魔法猫咪,77
今年快结束了！还有team考试没考呢！,76
24岁，事海皇,50
提个建议，致命公司[脱单doge]但是别坐在一起，用游戏麦[脱单doge],50
话说，你们之前玩的游戏输了换头像不就只换一个月吗[呆],43
俩月没更新！！！！!！！！你知道我们等的有多苦吗！！！,37
我看到这个视频的反应,37
卧槽你还知道更新[大哭][大哭][大哭],30
呀呼！,30
感觉看视频只看小潮team就行了。,29
今天是我生日，谢谢小潮TEAM今天发布的视频，圣诞快乐[打call][打call],28
哈哈哈哈哈，好欢乐啊，等天气热起来就跟朋友一起去玩，现在真的太冷了，完全不想动弹,27
忍不住发发我第一次射箭的靶子[脱单doge],26
wow，最早的一次，海皇节快乐哈，大家也开开心心[加油][脱单doge][爱心],25
海皇我考研没考好快来安慰我[大哭],20
老皇小视频，无广不更新[tv_doge],17
这不整一个小潮team期末考啊[doge],17
刚好今天就是我生日，不过家里没有人给我祝福，看到小潮team的视频，我开心了很多，真的非常感谢，这一期真的很感动[崩坏：星穹铁道_心],17
那一年，海皇终于想起了海皇节的温暖，就像999感冒灵一样，暖暖的，很贴心…(那种语气),16
果然看key的视频，就知道海皇要更新[doge],14
终于又过了海皇节，小狗说包场地，我还以为包的又是自己家呢,12
