comment,like
退一万步来说，不能马上就更新吗,10004
好漫长，好孤独，还要多久...到1.6(´；ω；`),9705
"菩萨蛮·风柔日薄春犹早
【作者】李清照 
风柔日薄春犹早。夹衫乍著心情好。睡起觉微寒。梅花鬓上残。
故乡何处是。忘了除非醉。沈水卧时烧。香消酒未消。",8648
这个小糕点真的很可爱！米哈游真的不做糕点或者那种叠叠乐周边吗！,8534
最后那一句话看来，培育出的虫子，这种位格的生物对她来说并没那么重要，只是个研究样品罢了，眼神和语气里里温柔中带着某种高等生命对低阶存在的漠视和不屑，我只能说不愧是直视过古神还能开智的狠人，温文尔雅但绝不可小觑，她看生命的视角已远超普通人,7643
还有一年就能抽阮梅了，大家加油啊坚持住[墨镜][墨镜],7134
搞不好天才俱乐部一圈看下来最“傲慢”的黑塔反而是最人性化的[笑哭],6792
所以阮梅的故乡是仙舟吗，提到故乡的时候看到了仙舟的鱼灯怪[思考],5862
"群里真实对话：
A：最让我震惊的是前六句格律全是对的，薄是仄声没问题[哦呼]
B：这首词就是李清照原作[OK]
A：对不起，我是xx对不起[笑哭]",5329
"woc，最后一句话吓到我了……有股子你家清冷疏远优雅博识但挺温柔的大姐姐突然微笑着淡淡的口出狂言说我收留你就是为了让你当我的研究材料，研究完了你就自生自灭吧/研究完了就给你噶了，那种毛骨悚然的感觉，有种她骨子里十分的高傲，研究生命又想要掌控生命的那种平淡的疯的感觉
不过天才俱乐部的天才在咱们庸人看来确实基本都很疯就是了",5281
这位可是崩铁里最可爱的角色，毕竟她是软（阮）妹（梅）[doge],4540
梅猫饼和狗袋[doge],3465
你知道阮.梅在今年过年怎么取暖吗？答案是和黑塔螺丝咕姆一起烧柴烤火。因为他们都是“添柴”俱乐部的。,2988
你来啦，十连满命的开拓者,2642
在看什么呢？这位即将十连满命阮·梅的小伙子[脱单doge],2307
"风柔日薄春犹早，夹衫乍著心情好。睡起觉微寒，梅花鬓上残。故乡何处是，忘了除非醉。沉水卧时烧，香消酒未消。
宋代·李清照 《菩萨蛮·风柔日薄春犹早》",2245
"普通科幻片场:实验品失控逃脱，变身大逃杀boss，现场无人生还
阮梅片场:老弟你终于失控了啊，我养你这么久总算给点反应了，别～害～怕～",2230
弹幕里的“梅猫饼和狗袋”笑死我了！天才俱乐部第86席就是你了,2063
"忽闻阮声回廊，雪落枝梅，帘外有暗香。
阮·梅我来了！",2056
我这名字都起好了，你就带我走吧[给心心][给心心][给心心],1774
个人观点，可轻喷：卡芙卡和刃的cg之所以让大伙觉得看的来劲，是因为卡芙卡和刃的音乐踩点鼓点等刺激玩家神经的节奏感很强，在加上特效过于华丽，所以让人看的很兴奋，就跟你看鬼灭一样，特效配乐已经拉满到让你看的只知道爽，中途一旦节奏慢下来就会很不适应，所以阮梅的cg突兀的平稳和清淡，让有的玩家一时半会受不了，就好比你餐餐都是大鱼大肉，今天突然让你清淡一下胃口一样一时半会适应不了,1471
我有时在想，开拓者常常在待机动画里玩手机通关。那ta在那时候是不是也算是一种“打phone计关”？,1179
外表这么温婉的姐姐居然能培育这么恐怖的虫子，这反差感挺强的。,1082
阮梅要是哪一天一时兴起，把繁育和贪餮一结合整出一个泰伦出来就麻烦了。[笑哭][笑哭],956
这地我熟啊（x）[妙啊],914
终于到我了[星星眼][星星眼][星星眼],901
阮梅几乎是最可怕的那种人，就是真正的把你所了解的一切看破的，而且她的野心大的吓人，而且她的表面又很正常，可以说算的上米家游戏最令人恐惧的角色，多托雷和奥托一个坏的明显一个目的人尽皆知，阮梅真的是正常的发邪,798
一些因为缺少爆点就说不行偏低的，这不符合阮梅的文静美人的人设，内敛含蓄的性格特点决定了她不会有突出的宏大表现，就是要深沉文艺一点的。,796
"阮梅赋
明天更新心情好
睡起觉开门
阮饭干饭人
黑塔空间站
球球别再歪
钱包总会枯萎
琴音周而复始
心意本质如一
有时候
不抽就是等梅
背包里的每一张黄票
无论何时下池
终会有等来的那一天
别害怕，至少你们
人人都有梅好的明天[脱单doge]",752
"「唇齿最为敏感，糕点要评得上筹，只要一小口的机会。」
「我偏爱鲜果花木等时令原材，定格在片刻的生命仪态，更易引起多巴胺反应。」

中文CV：
阮•梅——张文钰

日文CV：
阮•梅——大西沙织

英文CV：
阮•梅——Emi Lo

韩文CV：
阮•梅——윤여진",747
这里里外外的信息怎么给我一种阮梅最后会把自己整成新的繁育星神的感觉。。。你也要当虫群之心？[doge],677
对，就是这个眼神[喜欢][喜欢][喜欢],643
阮梅人物形象像李清照，科学属性像王贞仪,630
难以想象，抖音评论区好多人说跟饮月pv一样烂[笑哭],557
"「唇齿最为敏感，糕点要评得上筹，只要一小口的机会。」
「我偏爱鲜果花木等时令原材，定格在片刻的生命仪态，更易引起多巴胺反应。」

中文CV：
阮•梅——张文钰

日文CV：
阮•梅——大西沙织

英文CV：
阮•梅——Emi Lo

韩文CV：
阮•梅——윤여진",551
"找到的开头词句的释义供参考[给心心]：
“风柔日薄春犹早，夹衫乍著心情好。睡起觉微寒，梅花鬓上残。”
春风柔和，阳光淡薄，已经是早春的季节了。刚脱掉棉袄，换上夹层的青衫，我的心情很好。一觉醒来微微有些寒意，鬓上的梅花妆现时已经乱了。

“故乡何处是，忘了除非醉。沉水卧时烧，香消酒未消。”
我日夜思念的故乡在哪里呢？只有在醉梦中才能忘却思乡的愁苦。香炉是我睡的时候点着的，现在沉水香的烟雾已经散了，而我的酒气却还未全消。",430
在看什么呢？一发10连满命阮梅的小伙子,400
求求你别歪了[大哭][大哭],305
"来吧来吧！！
贴贴
碧珠丝履绣罗裳，青丝盘卷玉颜凉。
模拟宇宙雪中炭，祝福奇物一并尝。
枕前枕后闻阮语，梦里梦外沁梅香。
今日提笔六十字，但求十连又双黄。",272
有些人，看到pv不以燃为主基调，没有战斗的场景，鉴赏能力直接化为0，挺乐的,268
"阮梅的狗应该不少吧，不如成立一个
伺梅会[doge]",249
笑死了，继冷门诗人以后出现了冷门词人,213
虽然日配的声音也很好听，但还是觉得中配最好，有那种很平静的情绪，什么都不在乎的感觉[脱单doge],164
吃饭点吃点阮的[脱单doge],159
"菩萨蛮·风柔日薄春犹早
【作者】李清照 
风柔日薄春犹早。夹衫乍著心情好。睡起觉微寒。梅花鬓上残。
故乡何处是。忘了除非醉。沈水卧时烧。香消酒未消。",143
最后那一句话瞬间就把阮梅的人设立起来了，天才科学家的疯狂与大家闺秀的温柔性格既然毫无违和感的融合在了一起....,140
现在人少，我是软饭的狗[星星眼][星星眼][星星眼],133
阮梅弹的，是阮！不是琵琶！[难过][妙啊],131
玩了七八年米家游戏，阮梅这个建模算得上极少让我感觉第一眼看去就非常惊艳的了，颇具东方美人的那种气质，有几分俏丽妖娆，又有几分淡雅温婉，明眸皓齿、温润似水，不得不说，实在是让人为之眼前一亮。[tv_doge][tv_doge],128
阮梅是我见到的第一个国风角色里面参DNA元素的角色，但是效果又意外的好[思考],117
阮·梅博士在PV开头念的正是易安居士南渡之后于宋高宗建炎三年（1129年）所作的一首《菩萨蛮》。上阕仅用两句便把南渡前后生活境遇的对比描写无比凝练，下阕更是将思乡之情寄于醉梦之中，读完使人恍惚惆怅。联想到之前的千星纪游PV和这次具有仙舟旋律BGM，阮·梅博士的家乡会是仙舟吗？[思考][思考],113
想当阮梅的修勾的，这边排队拿号，一个一个一个来，不要挤不要插队[doge],107
这个眼神，我怀疑她想研究的不是手底下的虫子而是屏幕外的我[热],102
那么生命将无法进步，种群也面临灭亡。所谓没有毁灭就没有新生，地球资源是有限的，如果生命体实现永生，那么生育意愿就会随之下降，生育受到限制，种群就无法进一步进化，进化停止了，但环境的变化并不会停止，所以整个种群所面临的就是灭亡。如果人类早早就进化出了永生的能力，那么人类也就不可能进化出现在的智慧。,90
每次经典配音，PV又来了，说真的，不喜欢可以退坑，大伟哥和我们都会很开心[脱单doge],80
真的不能一键速进到明天11点嘛[大哭],70
“那一刻，开拓者忽有预感，有一天他会与寰宇无尽生灵一同见证，「创生」的扬升。”,67
太美辣[星星眼],66
明天的你[墨镜],66
"下载更新包（7891MB）
很喜欢卡维和派蒙的一句话：夺少？？？
我这64G破手机能容下你们米家俩大王本就难，你这下子是想让我手机炸仓呢？[笑哭][笑哭][笑哭]",64
无内鬼，来点nga笑话[滑稽],63
中式古典美女冰辅助要打斗高潮和激情的音乐的你纯粹是个山猪吃不来细糠的（以下言语太过肮和激烈不予显示）,58
到我了,56
所以角色pv和千纪pv的区别是？,49
上个PV那些说阮梅不是仙舟人的可以歇了！我看到了很多罗浮风格的建筑还有绥园！[吃瓜],48
"菩萨蛮·风柔日薄春犹早
李清照
风柔日薄春犹早，夹衫乍著心情好。睡起觉微寒，梅花鬓上残。
故乡何处是，忘了除非醉。沉水卧时烧，香消酒未消。

好家伙，真就赛博李清照了[笑哭]",44
"「唇齿最为敏感，糕点要评得上筹，只要一小口的机会。」
「我偏爱鲜果花木等时令原材，定格在片刻的生命仪态，更易引起多巴胺反应。」

中文CV：
阮•梅——张文钰

日文CV：
阮•梅——大西沙织

英文CV：
阮•梅——Emi Lo

韩文CV：
阮•梅——윤여진",44
从开服到现在只遇到过两次阮梅，暗示我十连双黄？,43
逆天，还有带pv质量节奏的？😅,40
看评论区挺多人觉得这pv不好，挺意外的，因为我和几位后期同事今天中午看后都觉得不错，探讨其中一些效果是怎么实现的，这pv的质感很高了。看大家的不满主要集中在音乐和人物动作展示上，那就是觉得记忆点少了，音乐不够劲。这点确实，我原先想的是音乐可能会更偏古风乐器一点，但提琴占比也很多，可能想展示角色身上的中西结合的特征吧。老实说，元素啊、音乐配器啊这些都是ip部门考虑的，单从后期层面，我是觉得运镜和氛围渲染都很到位，肉眼可见的下了很多功夫。说是常驻水平大可不必。,40
终于轮到我了帕！[hanser_滑稽],40
明天十连必拿下 这就是究极大保底的力量 小子,37
所以说跟这种人讲东西，头痛的一批，我知道都喜欢燃的爆的，所以一旦有一个风格不一样的，就是不用心吗？,29
我们惊婴论坛已经说了，李清照的诗是口水诗，太尬了[墨镜],28
不是她在吃糕点，是糕点在品尝她的舌头[喜欢][喜欢][喜欢],28
"「唇齿最为敏感，糕点要评得上筹，只要一小口的机会。」
「我偏爱鲜果花木等时令原材，定格在片刻的生命仪态，更易引起多巴胺反应。」
[热词系列_知识增加]",26
"银狼专武池抽了73发没出，现在卡池关了。
陌生人，可以安慰我一下吗[灵魂出窍]",25
第一次，为了吃软饭[星星眼],25
阮梅姐姐，我愿意贡献我的DNA供你研究[给心心][崩坏3_吃],24
天才俱乐部目前这三位，最像正常人的居然是螺丝咕姆，而最正常的居然是黑塔[笑哭],19
研究生命的科学家，研究到最后自然就是不当人了，失去了人性。许多人对此感到意外，但其实这反而很真实。她让我想起了星际争霸里的萨尔那加一族，他们只专心创造生命，不求名不图利也不争权，毫无人性可言，根本无法从人的角度去理解他们。阮梅目前虽远没有达到萨尔那加的高度，但已经初具雏形有那味了。我还是挺吃这种脱离人性的高阶种族俯视宇宙的设定的。但同时我也明白，吃这种设定的人注定不会太多。要是她没有这身好看的皮囊，强度再低点，冷板凳绝对坐地死死的。,19
作为一个coc玩家，我只能说阮梅做出了我心目中的app18的味道。从小直面未知的巨型生命，不仅不掉san，反而灵感大成功，从此身登天才阶梯，探究万物起源，走上成神之路。不仅外貌是18，内核更是表现出了未知的恐怖，我很好，我非常好[给心心][给心心][给心心],16
阮饭！[打call][打call][打call],15
"音清身阮不惧谩，
雪照寒梅犹当风。
能看到名字吗？[兔年]",15
你们怎么知道我吃上阮饭了[脱单doge],15
不出所料，NGA上已经有人喷开头的李清照词是打油诗了[喜极而泣][doge],14
"风柔日薄春犹早，夹衫乍著心情好。睡起觉微寒，梅花鬓上残。
故乡何处是，忘了除非醉。沈水卧时烧，香消酒未消。李清照的词",13
正好生日当天抽[脱单doge],13
"“别害怕，至少，你们仍有研究的价值……”
[星星眼]阮梅是怎么做到用这么温柔的语气说出这么可怕的话的，不愧是智者型的疯批美人[打call]",13
看内鬼舞到官方评论区的你没事吧，祝多吃几个大保底不然怎么对得起你这么关注[脱单doge],13
"宋·李清照《菩萨蛮· 风柔日薄春犹早》
风柔日薄春犹早，夹衫乍著心情好。睡起觉微寒，梅花鬓上残。
故乡何处是，忘了除非醉。沈水卧时烧，香消酒未消。

Th...",12
[给心心],12
我我我[惊喜],12
阮·梅应该很让人联想到生命工程这一专业专有名词（至少从直播和PV中，给我的感觉是这样的）；在天才俱乐部中，每个人都有超高的智商与各自擅长的领域，而天才的人往往都有一点疯狂，让人期待这样一位身着类似旗袍，手拿古典乐器的成女角色，会在剧情中展现何种有着些许反差的一面[打call][打call][打call],12
"这么看的话，李清照很多词都很适合阮梅，比如临江仙那首。
庭院深深深几许， 云窗雾阁春迟。 为谁憔悴损芳姿。 夜来清梦好， 应是发南枝。
玉瘦檀轻无限恨， 南楼羌管休吹。 浓香吹尽有谁知。 暖风迟日也， 别到杏花肥。
[歪嘴]我已经大保底又抽了40发了，明天一上线就可以直接娶走，阮梅要不要做一期她的古诗词向解析呢，感觉很有意思[UPOWER_25253795_ZZZ]",12
"科普下阮·梅的中配和日配cv
中配cv：张文钰
主要配音角色：
“心理学家”————《第五人格》
瑟莉娅(爱莉希雅的母亲)————《崩坏3》
多萝西————《冒险岛》
.
日配cv：大西沙织
目白麦昆————《赛马娘》(和隔壁安柏有过比赛画面)
式守————《式守同学不只可爱而已》
泽村·斯宾塞·英梨梨————《路人女主的养成方法》(男主是隔壁的魈)
千寿村正————《埃罗芒阿老师》(男主也是隔壁的魈)
薇奈————《珈百璃的堕落》
十条姬和————《刀使之巫女》
帆稀（龙妈）————《公主连结Re:Dive》
色川琉姬————《Comic Girls》(芳文社)
雾间凪————《不吉波普不笑》
渡边星————《夫妇以上，恋人未满。》
艾丝·华伦斯坦————《在地下城寻求邂逅是否搞错了什么》
九条美由纪————《我被抓到贵族女校当“庶民样本”》
别西卜————《只要别西卜大小姐喜欢就好》
白河月爱————《经验丰富的你与经验为零的我交往的故事》
菲雅娜·雷·奥地西亚————《精灵使的剑舞》
白崎香织————《平凡职业造就世界最强》
柴崎万叶————《少女编号》
黑————《异世界食堂》
希————《漂流少年》
新户绯沙子————《食戟之灵》
御神乐星锁————《御神乐学园组曲》
二宫爱————《蓝海少女》
丰口乃音————《竞女!!!!!!!!》
玛莉·蓓尔·布列格————《时钟机关之星》
冰室濑名————《蔚蓝档案》
摩耶(犮)————《碧蓝航线》
四宫冬实————《雀魂》
【如果有没提到的，求帮忙补充一下】",11
我义父的PV呢[吃瓜],11
所以，为什么搜不到呢,10
本以为是梅博士的梅，没想到是梅比乌斯的梅[惊讶],10
为什么刃和卡夫卡像别的团队做一样，比别的PV做得都好，感觉不在一个层次上。,10
英配版押韵了，看得出制作方下了很多功夫[支持],9
汉语言专业的表示，很喜欢词但是居然对李清照这篇没啥印象（惭愧惭愧）[脱单doge]但是两句七言加四句五言且凡四易韵压两仄两平，还是猜出来这首词的词牌是菩萨蛮了，刚开始居然还在怀疑mhy自己写的……,9
"有书香气的理工科女生，这气质太戳了[汤圆][汤圆][汤圆]
阮梅姐姐带我走吧。",9
看完后的感觉：？,9
"「唇齿最为敏感，糕点要评得上筹，只要一小口的机会。」
「我偏爱鲜果花木等时令原材，定格在片刻的生命仪态，更易引起多巴胺反应。」

中文CV：
阮•梅——张文钰

日文CV：
阮•梅——大西沙织

英文CV：
阮•梅——Emi Lo

韩文CV：
阮•梅——윤여진",9
"感觉阮梅的PV和之前那些“王道”PV比较不一样，在多个片段，音乐我都以为要炸了，结果突然又寂静下去，有点不习惯。只不过这么一来，又能感受到阮梅独特的平静。[脱单doge]
比如面对虫子那段，当我以为要开大暴打，结果直接回转，虫子乖巧地一动不动，阮梅展露出冷酷一面，音乐也是缓缓而来，显出一种特别的漠视和高傲，还是挺有意思的╮(￣▽￣)╭",9
你怎么知道我…[doge],8
千星纪游太猛了所以角色pv无感了,8
感觉阮梅PV是崩铁PV里最接近动画的一集，老米真的在阮梅身上下了很多功夫，而且可以看出米哈游制作PV的技术又进化了,8
你知道阮·梅在今年过年怎么取暖吗？答案是和黑塔螺丝咕姆一起烧柴烤火。因为他们都是“添柴”俱乐部的[doge],8
这个眼神！！！wk姐姐杀我,8
"解剖「记忆」，调控「均衡」
解构「纯美」，再现「不朽」
我将理解「生命」，触碰「概念」
也许我也可以…
成为，阮梅的「■」[doge]ĕ",8
感谢米哈游，生日当天可以看到最爱的阮·梅姐姐的PV！[给心心][给心心],8
为数不多的两次，希望这一次还能再相逢。[崩坏3_哭哭哭]回应我吧，阮梅姐姐！,8
东风无力百花残_(:з」∠)_ 01:37,8
[喜欢][喜欢][喜欢][喜欢][喜欢]阮梅小姐，行走许久，已然累了吧，快快脱掉鞋子，让我用舌头按摩按摩[喜欢][喜欢][喜欢][喜欢][喜欢],7
没看懂，看完一点印象都没有，这是能说的吗,7
"《菩萨蛮·风柔日薄春犹早》
【作者】李清照 
风柔日薄春犹早。夹衫乍著心情好。睡起觉微寒。梅花鬓上残。
故乡何处是。忘了除非醉。沈水卧时烧。香消酒未消。",7
少前2来学一下，PV改怎么做[思考],7
起猛了，居然真有游戏角色姓这个，我也姓阮,6
阮·梅:别害怕，我会让你的尸体--排上大用场,6
这是第一个没有展示大招的pv诶,6
"「唇齿最为敏感，糕点要评得上筹，只要一小口的机会。」 这句话表明了阮梅对于美食的挑剔和品味，她不满足于普通的糕点，而是要求有高质量和精致的制作。她也暗示了自己的节制和优雅，只需要一小口就能感受到美味。这可能反映了她的学者气质和对生活的追求。

「我偏爱鲜果花木等时令原材，定格在片刻的生命仪态，更易引起多巴胺反应。」 这句话揭示了阮梅对于生命科学的兴趣和专业知识，她喜欢使用新鲜的、与季节相应的原材料来制作糕点，这可能与她对生命本源的研究有关。她也用了一个生物学术语“多巴胺”，这是一种神经递质，能够在人体内产生愉悦和满足的感觉。她认为用这样的原材料能够更容易激发多巴胺的分泌，从而增加糕点的美味和享受。这可能表达了她的创新和实验精神，以及对生命现象的好奇和探索。

综上所述，阮梅的话语反映了她的性格特点，如温婉、优雅、挑剔、节制、专业、兴趣广泛、创新和好奇。她是一个有着高深学识和独特品味的学者，同时也是一个喜爱传统戏剧和点心的女性。她的话语也与她参与的“模拟宇宙”项目有关，这是一个利用人工智能和虚拟现实技术来模拟不同世界的实验，由黑塔、螺丝咕姆和斯蒂芬等人共同开发。",6
你知道阮.梅在今年过年怎么取暖吗？答案是和黑塔螺丝咕姆一起烧柴烤火。因为他们都是“添柴”俱乐部的。,6
用诡秘世界观说就是，阮梅已经没有多少人性了，仅靠传统文化作为锚点来维持作为人的认知。,6
"《菩萨蛮·风柔日薄春犹早》（宋）李清照
风柔日薄春犹早，夹衫乍著心情好。睡起觉微寒，梅花鬓上残。
故乡何处是，忘了除非醉。沉水卧时烧，香消酒未消。 00:35",6
"阮梅想成神
想，所以去做，没有任何顾虑，更没有人世俗理的纠结，只有最纯粹，最纯粹的思考与探究
在我看来，她才是真正意义上的疯子。
疯狂绝非外在表现的痴颠，纯理性，具备自我内驱完整动力，能够构建独立的“观念”，所行才配得上疯，不然就只是颠
阮·梅确实也具备走向这条道路的资格
我很欣赏她，甚至有些震撼，希望在未来能够看到吧，阮梅的，对生命的追求",6
哇丢，阮梅姐姐真的好好看，还有我后天生日！[打call],6
"PV这一档本来就是婉约，梅花香自苦寒来
PV主打叙事性和吊足胃口我很期待
模拟宇宙DLC+1",6
我看她比符玄青雀更像活了成百上千年的人[笑哭],6
00:27  00:32  00:41 啊？如此好看✿ヽ(°▽°)ノ✿,6
这个pv让我感觉有点细思极恐啊，阮梅的温柔更像是人类蔑视虫子一般，毕竟没有哪个人类会无端的生哪只虫子气,6
文人气质的理工女🥵我们这个阮梅啊，不抽不行的🥵🥵,6
千星PV太惊艳了，反而显得这个PV有些平淡[笑哭],6
最后两秒她究竟是看虫子生气了呢，还是看我生气了呢[冷],6
"成为…
成为…
成为…
成为…
成为…
千人律者[脱单doge]",6
《写的跟打油诗一样，尬死我了》😂,5
pv确实一般[以闪亮之名_吃瓜]别说因为她是辅助，罗刹和藿藿的不都挺好的吗，而且罗刹的pv也不是那种燃的……,5
她真好看,5
大家阮梅不歪我给大家免费撅[脱单doge],5
嘿嘿，阮•梅赶紧来我身边[花丸晴琉_喜欢][花丸晴琉_喜欢],5
王虫：我亮相了，下一秒，我成标本了。[大笑],5
祝看到这评论的玩家们！阮·梅不歪！欧欧欧！[桃源_给花花],5
"风柔日薄春犹早，夹衫乍著心情好。睡起觉微寒，梅花鬓上残。
故乡何处是，忘了除非醉。沉水卧时烧，香消酒未消。",5
哪个倒霉的和我一样？官方底下的推荐视频全tmd的是糊脸内鬼[辣眼睛],5
