comment,like
“从来不让孩子在谁面前唯唯诺诺的，这个我受不了”谁懂这句话的含金量啊太好哭了吧！！,10313
“我是一个生意人，不做赔本的买卖；但我又是个失败的生意人，因为没有腰缠万贯。”,9841
感谢，这场平等的交换，而不是施舍，是孩子们自己值得。,2109
也致敬所有的乡村支教老师[给心心]我认识的就有一位@林银的黄金,1630
“不用记着我们是谁，用不着”真的看哭了[大哭],953
"这让我想起金星老师在她的脱口秀讲到的一件事情，说是有个节目组拍摄明星给山区捐赠的故事，捐赠活动大张旗鼓，镜头毫不掩饰的拍下山区的大人和孩子们，但更多情况是山区的人们并不接受这种捐赠。这种充满可怜，以强者姿态向弱势群体的施舍，对他们来讲反而是一种伤害。
up的这种方式，捐赠的不仅是物资，捐赠的更是一份尊重与平等",860
你值得投币[傲娇],358
"向这些为了美好不断奋斗的人致敬。
感谢你们让我看到了这个世界上更多的善良、爱心，以及陌生人之间不求回报的付出。",315
"""我们不希望这是一场捐赠，因为他们从来都和别的孩子一样""",287
这是孩子们所能支付的最昂贵，最美好的货币！,254
感谢阿园支持哔哩哔哩公益，关注到“壹基金温暖包计划”，这个项目将为欠发达和受灾害影响地区的儿童们，送去满足他们应急生活和心理关怀需求的温暖包。https://b23.tv/Gf7Z0Mz 这个冬天，让我们大手拉小手，一起给孩子带去温暖吧[给心心]～,191
“我是一个生意人，不做赔本的买卖；但我又是个失败的生意人，因为没有腰缠万贯。”,146
“从来不让孩子在谁面前唯唯诺诺的，这个我受不了”谁懂这句话的含金量啊太好哭了吧！！,116
没有腰缠万贯，但却赚的盆满钵满。,113
这才是对的，让孩子们得到帮助的同时又不会让他们感到自卑[支持],62
好黑心的商人，这收益好高，真眼红啊[墨镜],41
赚大了[星星眼],28
天呐，之前做志愿亲自参与了温暖包的分装工作[大哭][大哭],14
他真的，我哭死[大哭],9
让他赚让他赚！,7
你个B   站Up，怎么老让人泪目。可恶。[大哭],6
你值得投币[傲娇],3
抱歉我只有这么多了,2
致敬所有乡村教师[大哭][大哭][大哭],1
"他们用心中最美好的未来换来了生活必需品
谁说梦想和现实难以接近
在大人们编织的童话里
孩子们的梦就是最珍贵的宝物",0
今天的两个币给你了[OK],0
