comment,like
"him头：滞空，电击，瞬移
TNT：TNT发射
基岩：瞬间摧毁
幽匿传感器：蜘蛛感应
蜘蛛网：蛛丝发射
传送门框架：传送门制造
红石：能量供给，高能激光
青金石：附魔，飞行
炼药台：药水喷射",6750
"幸运方块之神限时返场
说起来其实这位是AVM系列最怨种的反派了——其他反派都是主动来找主角的麻烦，这位出场两次都是被主角团惹毛了反击的",4538
"ko:那些孩子肯定会拿我的权杖拯救世界，他们是英雄
看到这集的ko:[辣眼睛]",3368
"橙王：很难想象这群孩子会用我的权杖做出什么伟大的事
五个柴*本期视频[doge]",3157
很难想象这个法杖有多大的潜力,3032
这短短一集却塑造出了一个无比鲜活的苦力怕小蜜蜂，最开始动不动就想自爆，中间懂事的安慰小红并跟大家并肩作战，最后自我牺牲，虽然它最开始出来的时候就猜到了它大概会死，但最后真看到它死了心里还是有些难过[委屈],3020
"小红：吃了吗您
小黄：我吃柠檬[微笑]",2825
阴间短篇编剧之一Skim表示：那只苦力怕蜜蜂叫做Beeper，虽然但是这跟寻呼机半毛钱关系都没有，纯粹就是把bee（蜜蜂）和creeper（苦力怕）这两个词合起来得到的[doge],2352
不行了，再临的雷霆切尔西太好笑了[脱单doge],1832
"本期看点
red：古希腊掌管友情与羁绊的神
green：古希腊掌管机动性的神
yellow：古希腊掌管高科技的神
blue：古希腊变化之神
橙王：古希腊掌管放水的神
Alan：古希腊掌管动画的神
这期打斗含金量快超越KO大战了，他的技术力还在提升！",1788
苦力bee：不用谢我，我的名字是雷蜂[脱单doge],1771
苦力怕蜜蜂红全程护着果然是关键点，让我感到意外的是幽匿感测体一直在接受信号竟然没有事情发生[思考],1474
"钻石块：较大范围破坏
下界合金块：大范围破坏
黑曜石：小范围击飞/放置黑曜石
基岩：连锁范围击飞/放置基岩
羊毛：放置羊毛类方块
圆石：放置圆石类方块
原木：放置木质方块
工作台：快速合成
熔炉：快速熔炼
附魔台：超级附魔
酿造台：药水与药水效果/改变方块（疑似药水效果）
音符盒：五线谱（硬控）音符（法伤）
末地传送门边框：虫洞
刷怪笼：融合生物大制造
骨块：催熟
岩浆块：火球术
活塞：弹跳器与钩锁
营火：天选之子的火焰
铁砧：太重拿不起来
发射器：加特林
TNT：召唤点燃的TNT
红石块：超高强度红石信号/天选之子的激光
青金石块：漂浮/控制方块
幸运方块：大型爬塔副本
下界岩：放置下界岩类方块
书架：喷书
滴水石方块：生成石笋
砂轮：研磨破坏
蜂巢：召唤蜜蜂
冰块：生成冰块
避雷针：引雷
HIM头：飞行/瞬移/发射史蒂夫头等
幽匿尖啸体：自动识别声源提供自动战斗效果
蜘蛛网：spiderman/发射蜘蛛网
钟：击晕
凋零骷髅头颅：发射黑/蓝色凋零骷髅头颅（即凋灵的攻击）
雪块：发射雪球
磨制花岗岩方块：放置磨制花岗岩
炼药锅：吸收药水效果
水晶块：放置水晶
铁块：发射锁链
石英块：放置石英块",1450
非常喜欢火柴人在我的世界，爱来自海的上面[喜欢],1377
想截公主抱的结果正好截到了四只胳膊的再临救命哈哈哈哈哈哈哈哈哈两帧的胳膊怎么同时出现了,1281
"总结了一下：
命令方块：更快速便捷使用指令
钻石块：击碎大部分砖块
下界合金块：击碎全部砖块+电脑桌面（破坏力最强）
黑曜石：强行打飞位移
基岩：横着打飞一横排，斜着打飞一打斜排
羊毛：（没啥用但可以制造羊毛，弹性十足）
石头：set block（包括各种制造后的）
木头：与石头类似
工作台：快速建造
熔炉：快速烧制
附魔书：快速伏魔（最高级）
幸运方块：危
总结：这权杖也太强了，大大增强效果啊[星星眼]",1199
ko锻造的这把权杖真牛，啥都能塞下并且强化，很难想象这是一个普通人家家里材料能造出来的,1096
猜猜这个能干什么[滑稽][滑稽],1024
"小红搞事情逗死了哈哈哈[笑哭]不过苦力怕蜜蜂挺可惜的，一开始就知道后面会起大作用
目前搞过事的好像有：小蓝，小黄，小红
搞起三人组是吧[脱单doge]",929
我也有,787
纪念英勇牺牲的beeper[大哭],780
橙王前期放水了呀，如果他知道这个法杖这么厉害，那该多可怕呀！,730
