comment,like
不去情侣酒店，可以减少50%被直播的风险，虽然别的酒店也有被直播的风险，但是就被流出的直播来看，目前95%以上的直播摄像头都是藏在情侣酒店里面的复杂装饰物，装饰花里面的，那里面太好隐藏摄像头了。普通连锁酒店，装修简洁，想安装直播摄像头都没地方安装。,12194
其实有个玩意也可以，只是成本贵多了，用夜视仪就行，进酒店不开灯，窗帘拉上，戴上夜视仪所有位置扫一圈，摄像头那个不可见光在夜视仪里面，就是一个大灯泡，本人亲测非常有效,5984
就是个红外光接收器，有红外光在他接受范围内就会激活点亮。偷拍镜头上也会有红外收发器来判别镜头内是否有人活动来开启镜头，等于是个反向追踪范围内是否有红外装置，必进这是不可见光人眼看不到[doge],4934
此时此刻摄像头监控室！监控人员突然红光满面！啊我的眼睛！！！[doge],4218
很久以前自己搭了一个[妙啊]封到滴胶里可以手持，检测有红外的摄像头还是很管用的，但白天用得拉上窗帘避免被阳光干扰。加个喇叭还可以做火焰报警器，很灵敏[妙啊],3536
达文西理念超前，检测到光才会发光的手电筒,2488
酒店一般隐藏摄像头很少用夜视的吧 毕竟不是全彩的,2290
这玩意只能针对红外夜视摄像头有用。如果我用使用温度成像的夜视摄像头阁下如何应对？,1569
"可以拼夕夕买个三四十的运动相机，把镜片里面的红外滤波片拆掉，直接照就行了，哪有摄像头哪发光。
自己装一个红外补光灯还能当夜视仪",1190
红外摄像头的画面发白，偷拍的很少用这种摄像头，而且白天摄像头不开红外补光的话这个也没反应。感觉还是不太好用。,376
买个折叠便携帐篷就行，平时扔后备箱，开房带上！还能感受野外的乐趣[doge],317
就是个红外光接收器，有红外光在他接受范围内就会激活点亮。偷拍镜头上也会有红外收发器来判别镜头内是否有人活动来开启镜头，等于是个反向追踪范围内是否有红外装置，必进这是不可见光人眼看不到[doge],234
这好啊[星星眼],226
不去情侣酒店，可以减少50%被直播的风险，虽然别的酒店也有被直播的风险，但是就被流出的直播来看，目前95%以上的直播摄像头都是藏在情侣酒店里面的复杂装饰物，装饰花里面的，那里面太好隐藏摄像头了。普通连锁酒店，装修简洁，想安装直播摄像头都没地方安装。,207
找针孔摄像头？这个好啊！,204
我之前自己也做过一个红外接收器，很简单的，用一个红外光敏接收器，然后串一个发光二极管，然后连两个电阻，接电源就可以，我拿来测遥控器好坏的[笑哭][笑哭],169
接受红外光会通电，可以连接个加热装置，接上自制擦炮，放到敌人经过的路径上。,165
真人cs可以用[doge],114
什么原理？我也要一个,74
酒店电视机下面的，不蹲下看不见,52
偷拍可不一定所有都是带红外的。,43
没用，现在大部分都换成了无红外补光灯设计了，你开灯就拍，不开灯大不了不清楚。连网的还甚至能查出来一些，更绝的是不联网就拿存储卡拍的。除非你住酒店翻遍每一个角落每一个缝隙。,41
emmmm要是贴一整身的这个东西，是不是不会被摄像头照到了，只要在身上全部角落都贴上这种东西，摄像头拍你就全是红光，。。。（想法不成熟，不建议采纳）,37
足球上粘满这个东西，往床中间一摆，直接能定位屋里各个角度,19
不懂。。。up主拍摄此视频的摄像头为啥不能触发这个好东西？是只有带夜视功能(有红外线发射器)的摄像头才可以吗？,11
这个发明在我心中的重要性不亚于太阳能手电筒,10
上链接！！,8
红外接收头+三个红色led灯珠+纽扣电池,8
关键你拿手机拍那个手电筒他就在发光呀！,7
针孔可以检测吗？就是酒店里面那种,6
这应该叫红外感应灯吧，那如果摄像头没有红外，那是不是就没用了,5
传说中的圣诞星吗？,4
感觉红外摄像头很少见，这个只能检测红外摄像头，你看用手机拍了全程都检测不到[脸红],4
一般针孔摄像头不带红外功能的，因为体积没法放主动红外模块，所以这种东西检测不到，各位还是小心吧。,4
我为什么要买，那些装摄像头能不能死恶心死我了还浪费老子的钱。这世上为什么就会存在这种没妈没祖宗的玩意艹了,4
4.8一个，小夜灯，同样的功能,3
隐私摄像头没有红外特征，测不出来,3
我在想，你用摄像头拍它的时候它并不会亮呀,3
改成极光，直接烧坏对面摄像头[doge][doge],3
只对主动式红外摄像头有用,2
它万一没有补光灯，是被动红外摄像呢[吃瓜],2
这玩意的缺点是接收范围太小了 不知道在哪或者不知道有没有的情况下还要晃半天 不知道有没有广域接收的 先测一下有没有,2
而且我记得红外线在这些能看到红外线的摄像头里也是能制造高亮区域的吧？是个不错的闪瞎监控者的机会,2
我头上就长了摄像头,1
啊？@牢里拉大饭,1
它对着你手机的时候为什么不发光[呲牙],1
这个放鬼屋里面，鬼的两个眼睛搞上，拿手电筒照不吓死个人,1
芜湖～,1
户外抓鬼主播狂喜,1
我觉得可以起到杀手47的硬币或者刺客信条里口哨的作用。,1
补货please[保佑],1
保安大晚上有个摄像头闹鬼巨红。,1
什么红外对管什么槽型光耦[灵魂出窍],1
你这垃圾是从销售手里捡的？你还来挂链接，卖二手是吧[doge],1
这是靠谱吗？,1
室内尽量保持黑暗，打开手机相机，也能看到红外光,1
卧槽卧槽( ゜- ゜)つロ,1
这啥原理呢？[疑惑][疑惑],1
IR不可见光,1
哥们从不在宾馆办事，随便拍,1
跟小三在酒店再也不怕被偷拍了[打call],1
如果没装红外关了灯他也看不见。,1
关键是针孔貌似没有红外光啊,1
关键词是啥！！,1
"质疑达文西
理解达文西
成为达文西",1
OK，上霍格沃兹学院[OK],1
碰到微光摄像头就没用了。其实偷拍得更多是在有光线的情况下拍摄的。多数人去酒店也就是拉好窗帘吧。,1
偷偷告诉你，你的手机可以在黑暗环境下，用照相机拍到监控的夜视灯。（用你家遥控测试一下，对准遥控可发射口，按遥控有红光就是可以看到红外线的手机摄像头）,1
原来文西发明的东西是有用的，只是我们不会用[嗑瓜子][嗑瓜子][嗑瓜子],1
IQ[doge],1
给个链接,1
女生住酒店必备！,1
这你不去酒店转一波?直接热搜[doge],1
酒店偷拍的一般都不是红外摄像吧，红外摄像拍的东西根本看不清,1
完了完了，下次坐地铁 我的鞋子要反光了[哦呼],1
哈哈，能想象up主大晚上拿着瓶盖在公园到处晃被191抓走的场景[妙啊],1
我靠，，。。我在酒店奖励自己，岂不是都被。，。，，希望不会发网上[笑哭],1
@夏天一起喝冰水 kk,1
学会了，这就去练练手[doge],1
好家伙，刚刚上一个视频是你觉得骨传导耳机的意义是什么，这个视频直接一个捡垃圾,1
up快补货啊[笑哭],1
卖吗哥们,1
那个白色会亮的小东西在哪买呀？,1
王多鱼：这个项目我投了，谁还有梦想？,1
声音好听[给心心][给心心][嘟嘟][嘟嘟],1
这才是真有用，可以避开那些智商税了,1
不是，偷拍的不都是针孔摄像头吗？哪个偷拍的摄像头还带一个红外灯啊，放得下么,1
很有用的，女孩子在外面租房住，范围再大一点，可以发现隐蔽角落的摄像头就好了,1
探测区域能更大就好,1
灵感来源：达文西[doge],1
一本便利贴的事[捂脸],1
这样去酒店就担心直播了,1
都说了是假设，你们怎么联想到酒店摄像头的，再说了，现在有不需要红外线的摄像头，就算用红外的，也有很多方法可以避开你检查，不用想怎么规避摄像头了，自己带个露营帐篷，除了你自己，谁也拍不到，说到帐篷我这里推荐[藏狐],1
文西觉得很赞[星星眼],1
那为什么录像的时候不会触发呀？明明把探测器对着镜头了也没亮呀[人格贴纸-INFP_吓傻了],1
探花快乐器,1
要不想想量产吧？[doge],1
给我车上装一个，如果他亮了，我就老实一点开[吃瓜],1
妙,1
"这是什么原理？
摄像头：哈哈，你发现了我，我也发现了你",1
哪里有卖呢，商品名称是什么呢,1
我总担心发现摄像头之后，安摄像头的狂徒会恼羞成怒马上报复[保卫萝卜_哭哭]然后本来被偷拍升级到人身有危险,1
最难找也是最需要找的就是针孔摄像头，这东西能对针孔摄像头反应吗,1
你怎么知道我在酒店[doge],0
话说 酒店如果找到偷拍摄像头可不可以直接拿了走 毕竟算违法,0
当关掉全彩补光和红外补光不知阁下该如何应对,0
评论区都是跟女朋友去酒店开房的吗[大哭],0
手机带红外夜视一扫一目了然[doge],0
@轻灵出境 看完，集美,0
说什么报答之恩，日后你要惹出祸来，不要把为师说出来就行了,0
规避摄像头，犯罪证据啊,0
那啥他照手机摄像头不就没有亮,0
[打call][打call][打call],0
开源踢我一脚[脱单doge],0
文西你好,0
卧槽，牛逼啊,0
上链接！！！！！！！！！,0
别说了，上链接,0
这是不是就红外对管的另一半~白色那只管子,0
[支持][支持][支持],0
+10 +10 +10,0
wc，要是坏人利用了怎么办？,0
我怎么能看到？我不是人那，我到底是不是人那？！,0
我在弹幕看到一个天然的杠精是这么说的“那如果偷拍不用摄像头呢？”,0
怎么补货中啊d(ŐдŐ๑)！,0
过于吹捧了，有些没有红外的……,0
[doge][doge][doge]可以搞,0
文西发明的东西还有点用处,0
？？摄像头不是红外的怎么办,0
不如整个热成像[笑哭],0
什么才一天就没了[大哭],0
不要乱捡东西有东西有毒还有放射性东西,0
贵了些[doge],0
用大功率激光直接灭了coms[嗑瓜子],0
在带一只激光笔 能不能破坏摄像头呢,0
要看見窮人不可見光最快最便宜的方法（不需DIY的前提下）就是數位夜視儀，便宜的一千多RMB就能直接看見紅外光源了,0
呜呜，来晚了,0
真当我们针孔摄像头不进化？[吃瓜],0
手机摄像头就够了,0
神谕亮了的那个拖出去,0
还以为是真人CS用的呢,0
能不能给偷拍别人并拿去盈利的，判死刑,0
快补货，留个坐标，有货了弹我一下,0
那手机摄像头照到都不亮 智商税,0
手机摄像头能看到吗,0
反隐,0
这么火爆…说明出去开房的太多了，而且是开房办事的,0
唉。这个是不是打枪那个？？,0
哥，在哪捡的？（扛麻袋）[阴险][阴险],0
手机相机一打开就知道了啊,0
卖不卖。钓鱼有东西用了,0
去酒店偷偷拍设备[doge][doge][doge],0
以后开房带野炊帐篷[doge],0
pdd上防窥手电筒，15元[嗑瓜子],0
还想要，在卖点,0
这个范围多大呀？就是说，我举着大概位置就有感应吗？还是要偏角为多少度以内？？,0
？这玩意真的能在路上随随便便捡到吗？,0
你们都是在哪里看偷拍的，我想看一下自己有没有被偷拍,0
今晚我开房，主角我来当，,0
组成矩阵整个12寸的板子[doge],0
繁荣见证,0
所以这东西叫什么,0
wk，这个好,0
请问哪里可以买到？,0
达文西是吧？,0
可以做制导ZD了。,0
关上灯，打开手机摄像扫一圈不行吗？,0
所以你把捡来的垃圾买给我们[脱单doge],0
派出所狂喜,0
上！链！接！,0
很实用，你再试一下那些小微型摄像头看看，可以的话应该很好卖。[doge],0
弹幕里的老哥别太搞笑。咋，单身狗为什么不需要这玩意。。。单身狗就没有别的原因要住酒店了？酒店的作用只有开房？,0
这种是什么原理啊 有有谁能解释一下的,0
捡来的是垃圾，连接是商品[doge],0
我要买饿,0
排眼,0
笑死，捡？,0
没货,0
@大狗头吃小孩 用这个偷超市吧[微笑],0
上次有个人捡垃圾，捡了一条手链,0
量产量产,0
好好好   放宇宙里  看看能不能知道有没有别的东西,0
@阳光开朗大修狗 @江之岛梯子,0
雾化器十几块钱一个,0
@潦草小破狗,0
你的主场找摄像头行，你要是潜入别人的主场。亮起的瞬间，摄像头就发现了你。[doge],0
那么摄像头为什么要开红外呢,0
本质就是探测ir补光罢了，要是没有补光灯的摄像头一点用也没有,0
你拿手机拍他都不亮，有什么用[喜极而泣][喜极而泣][喜极而泣],0
@大声哭泣啊淦,0
难道他真是个天才？,0
和兄弟们聊过了，以后就从你这进货了，这下踩点方便多了🥴,0
这就是国产凌凌漆发明的需要另外一个手电照着才亮的灯泡。,0
装激光强光手电上，照瞎监控。,0
热知识:手机摄像头也能检测，只需打开相机[doge],0
手机的夜视仪是不是不管用,0
镜子里面好像惊声尖叫的杀手啊,0
@东村苏秦 主人 和老头奔现的时候记得买一个[大哭],0
要是没有红外的摄像头呢,0
所以有没有妹子跟我一起去酒店找摄像头[doge],0
偷拍的摄像头压根不会用红外补光吧？单纯就是一个小摄像头,0
为什么你手机拍摄的时候它不会亮呢[辣眼睛],0
我还以为你捡到什么炸弹呢，用那个遥控器一按就爆炸[doge],0
所以这是啥？,0
监控室：你在玩火？[doge],0
红外传感器吗,0
快搓，等你,0
我超，速度补货,0
教一个低成本防止视频流出，随身携带迪士尼公仔在身边就好了[doge],0
那么问来了，你拍的时候咋不亮,0
嘶！我悟了，以后进攻b点的时候就可以用这个探测保安的摄像头在哪，这个东西一出保安直接T0变T2了，一波智的飞跃，日落之城的b点直接破了，鸡妈妈的使用率爆增！[星星眼][星星眼][星星眼],0
我靠星星点灯,0
用来吓人，挺不错的。[doge],0
你捡到的却想卖给我们,0
好烦啊住个酒店都要心惊胆战的,0
如果摄像头不会发光呢[doge],0
难怪彩六干员能知道对面在扫你（）,0
@@Francesca_Swift,0
好玩,0
@午餐番茄蛋花汤,0
囚笼启动,0
可以的，有卖点,0
说实话，你那身材开直播也没几个人看，30s的过程更是无人问津，别担心[脸红],0
晃到我眼睛了！,0
@ERNEST-JT,0
有些摄像头不带红外，关灯之后，随便玩[tv_doge],0
火男给闪了,0
可以用来玩猫鼠游戏嘛,0
我靠   快上链接！,0
有点意思 可以护身也能害人,0
damn!,0
魔法，一定是魔法[嗑瓜子],0
这个有什么用呢 就是很棒 棒在很棒,0
赶紧申请专利,0
好的文西,0
注意安全,0
可惜了，我自己住酒店不怕[doge],0
非常需要，看我不去酒店把针孔摄像头全拆下来卖了[tv_发财],0
女孩出门在外住，还是在被子里换衣服，穿内衣洗澡比较好，黑灯再擦擦。,0
没了   呜呜呜呜呜呜求,0
倘若没有红外补光[脱单doge],0
卖货就卖货，装什么捡垃圾捡到的,0
闻西大喜,0
@DomineeringJJ,0
流弊卧槽,0
都什么年代了还用红外，照出来黑白的谁看,0
@Nana_viii,0
买个宾馆专用帐篷吧,0
支持,0
那为啥被你头上的摄像头招到不会发光,0
老邓(登)[doge],0
文西牛逼,0
那您为啥不直接用手机摄像头扫描红外灯呢？[藏狐],0
