m,n,p,single,multi
1,500,500,0.001555,0.024013
1,500,500,0.000926,0.005480
1,500,500,0.000757,0.011518
1,500,500,0.000850,0.032767
1,500,500,0.001239,0.004611
21,500,500,0.016831,0.007323
21,500,500,0.015639,0.011265
21,500,500,0.015498,0.050337
21,500,500,0.020036,0.027144
21,500,500,0.032547,0.030993
41,500,500,0.034497,0.010132
41,500,500,0.036837,0.053347
41,500,500,0.034715,0.015400
41,500,500,0.030398,0.015110
41,500,500,0.029788,0.005779
61,500,500,0.046764,0.045035
61,500,500,0.055114,0.033855
61,500,500,0.056499,0.036558
61,500,500,0.051678,0.016944
61,500,500,0.044023,0.012693
81,500,500,0.065960,0.043737
81,500,500,0.081338,0.017874
81,500,500,0.063709,0.009686
81,500,500,0.064770,0.040887
81,500,500,0.067811,0.029478
101,500,500,0.096988,0.024810
101,500,500,0.073271,0.030500
101,500,500,0.076578,0.068703
101,500,500,0.077768,0.028352
101,500,500,0.081955,0.038974
121,500,500,0.099478,0.032149
121,500,500,0.087599,0.021587
121,500,500,0.087477,0.029695
121,500,500,0.089653,0.030071
121,500,500,0.094584,0.027062
141,500,500,0.109435,0.041006
141,500,500,0.106017,0.041186
141,500,500,0.104675,0.031369
141,500,500,0.115106,0.048683
141,500,500,0.103102,0.028281
161,500,500,0.118221,0.029550
161,500,500,0.120239,0.034122
161,500,500,0.113068,0.070363
161,500,500,0.130756,0.027757
161,500,500,0.134264,0.028659
181,500,500,0.134686,0.049681
181,500,500,0.183487,0.032689
181,500,500,0.132563,0.031490
181,500,500,0.171618,0.026133
181,500,500,0.133471,0.058428
201,500,500,0.177533,0.033421
201,500,500,0.158209,0.032976
201,500,500,0.166416,0.027992
201,500,500,0.155386,0.033442
201,500,500,0.154922,0.033509
221,500,500,0.181020,0.030933
221,500,500,0.167472,0.035601
221,500,500,0.181441,0.036525
221,500,500,0.195514,0.050569
221,500,500,0.185386,0.034360
241,500,500,0.198718,0.041325
241,500,500,0.198039,0.044951
241,500,500,0.187010,0.029671
241,500,500,0.183893,0.032040
241,500,500,0.200943,0.037940
261,500,500,0.213567,0.034392
261,500,500,0.199251,0.041078
261,500,500,0.260958,0.038830
261,500,500,0.197467,0.038544
261,500,500,0.215790,0.036854
281,500,500,0.231569,0.043590
281,500,500,0.233715,0.047159
281,500,500,0.211181,0.051638
281,500,500,0.228956,0.046370
281,500,500,0.249380,0.038738
301,500,500,0.255392,0.045692
301,500,500,0.241707,0.038260
301,500,500,0.262886,0.040073
301,500,500,0.239353,0.046904
301,500,500,0.229894,0.046913
321,500,500,0.239968,0.041703
321,500,500,0.248841,0.042250
321,500,500,0.260008,0.054497
321,500,500,0.283468,0.043639
321,500,500,0.274175,0.040542
341,500,500,0.272146,0.049498
341,500,500,0.284763,0.040623
341,500,500,0.267166,0.043135
341,500,500,0.303255,0.053069
341,500,500,0.300310,0.041187
361,500,500,0.275526,0.046263
361,500,500,0.297471,0.055631
361,500,500,0.306821,0.054964
361,500,500,0.295049,0.042832
361,500,500,0.269948,0.052485
381,500,500,0.309811,0.051765
381,500,500,0.299065,0.056215
381,500,500,0.315518,0.053833
381,500,500,0.329854,0.052337
381,500,500,0.334252,0.055833
401,500,500,0.349434,0.056714
401,500,500,0.326274,0.059686
401,500,500,0.338224,0.053678
401,500,500,0.332598,0.047740
401,500,500,0.350776,0.060173
421,500,500,0.355868,0.058429
421,500,500,0.351228,0.062276
421,500,500,0.321356,0.053735
421,500,500,0.374621,0.058550
421,500,500,0.371403,0.065096
441,500,500,0.380657,0.052789
441,500,500,0.361794,0.062821
441,500,500,0.411161,0.065002
441,500,500,0.382282,0.058532
441,500,500,0.359853,0.046307
461,500,500,0.369047,0.053018
461,500,500,0.429199,0.060759
461,500,500,0.352637,0.064562
461,500,500,0.373749,0.059748
461,500,500,0.414745,0.056134
481,500,500,0.412588,0.060876
481,500,500,0.425509,0.060292
481,500,500,0.393389,0.073512
481,500,500,0.423847,0.060871
481,500,500,0.414261,0.066730
501,500,500,0.425572,0.050954
501,500,500,0.439648,0.071798
