m,n,p,single,multi
500,500,1,0.000787,0.001016
500,500,1,0.000736,0.002482
500,500,1,0.000850,0.003372
500,500,1,0.000701,0.003708
500,500,1,0.000747,0.003152
500,500,21,0.017664,0.017031
500,500,21,0.027235,0.037871
500,500,21,0.019779,0.027692
500,500,21,0.027413,0.027669
500,500,21,0.023608,0.016045
500,500,41,0.038326,0.018594
500,500,41,0.034084,0.061063
500,500,41,0.027998,0.019421
500,500,41,0.029044,0.016379
500,500,41,0.028635,0.010595
500,500,61,0.041920,0.077053
500,500,61,0.073373,0.032686
500,500,61,0.049836,0.010563
500,500,61,0.045067,0.011338
500,500,61,0.048362,0.023629
500,500,81,0.068224,0.015333
500,500,81,0.057222,0.015241
500,500,81,0.060220,0.016899
500,500,81,0.062750,0.024254
500,500,81,0.054920,0.012570
500,500,101,0.088261,0.037305
500,500,101,0.072025,0.041485
500,500,101,0.069232,0.011470
500,500,101,0.072454,0.022748
500,500,101,0.071146,0.014372
500,500,121,0.100431,0.031339
500,500,121,0.086986,0.021606
500,500,121,0.100756,0.030339
500,500,121,0.090912,0.024529
500,500,121,0.084598,0.012882
500,500,141,0.099638,0.024216
500,500,141,0.099399,0.036425
500,500,141,0.102084,0.024842
500,500,141,0.114248,0.033629
500,500,141,0.115740,0.049248
500,500,161,0.117466,0.019466
500,500,161,0.130663,0.029068
500,500,161,0.119721,0.044783
500,500,161,0.120017,0.028100
500,500,161,0.150616,0.045490
500,500,181,0.143651,0.062506
500,500,181,0.132667,0.028906
500,500,181,0.125579,0.034114
500,500,181,0.131050,0.035183
500,500,181,0.128894,0.048636
500,500,201,0.151136,0.035321
500,500,201,0.169305,0.034568
500,500,201,0.149791,0.034864
500,500,201,0.145921,0.052056
500,500,201,0.150337,0.035870
500,500,221,0.164815,0.036675
500,500,221,0.171834,0.033571
500,500,221,0.173714,0.034920
500,500,221,0.162344,0.032477
500,500,221,0.188005,0.039220
500,500,241,0.174973,0.035217
500,500,241,0.190655,0.049375
500,500,241,0.184970,0.034722
500,500,241,0.188621,0.036787
500,500,241,0.176395,0.041404
500,500,261,0.226636,0.060958
500,500,261,0.212600,0.028283
500,500,261,0.192602,0.049636
500,500,261,0.187654,0.040363
500,500,261,0.215723,0.033498
500,500,281,0.211997,0.039069
500,500,281,0.245289,0.038459
500,500,281,0.213180,0.066505
500,500,281,0.222712,0.041780
500,500,281,0.229277,0.044860
500,500,301,0.237248,0.057811
500,500,301,0.250773,0.060899
500,500,301,0.254674,0.037090
500,500,301,0.249488,0.038691
500,500,301,0.217748,0.047350
500,500,321,0.257929,0.035248
500,500,321,0.257153,0.043235
500,500,321,0.264499,0.049528
500,500,321,0.279312,0.040660
500,500,321,0.269002,0.042021
500,500,341,0.286152,0.050264
500,500,341,0.259922,0.052548
500,500,341,0.274043,0.042074
500,500,341,0.288806,0.060511
500,500,341,0.285781,0.044878
500,500,361,0.289493,0.045761
500,500,361,0.287051,0.043020
500,500,361,0.296878,0.045995
500,500,361,0.305471,0.046076
500,500,361,0.276052,0.044285
500,500,381,0.298933,0.046693
500,500,381,0.331836,0.065873
500,500,381,0.299674,0.049575
500,500,381,0.322288,0.049123
500,500,381,0.299339,0.051913
500,500,401,0.311805,0.063894
500,500,401,0.335538,0.051510
500,500,401,0.315960,0.053482
500,500,401,0.319191,0.048172
